id,ru,ja,ru_negated,ja_negated,count
P568,лежачий бок,下位層,нет лежачий бок,いいえ 下位層,1555
P2453,номинант,候補者,нет номинант,いいえ 候補者,164
P9813,упаковка,容器,нет упаковка,いいえ 容器,60
P38,денежная единица,通貨,нет денежная единица,いいえ 通貨,2098
P183,является эндемиком в,生息域,нет является эндемиком в,いいえ 生息域,32262
P556,кристаллическая система,結晶系,нет кристаллическая система,いいえ 結晶系,5448
P4988,метод испытания,試験方法,нет метод испытания,いいえ 試験方法,27
P6948,видеосистема,ビデオシステム,нет видеосистема,いいえ ビデオシステム,7
P2992,обеспечение качества ПО,ソフトウェア品質保証,нет обеспечение качества ПО,いいえ ソフトウェア品質保証,447
P2438,рассказчик,ナレーター,нет рассказчик,いいえ ナレーター,2267
P3491,конечное место крепления мышцы,筋停止部,нет конечное место крепления мышцы,いいえ 筋停止部,57
P282,письменность,文字体系,нет письменность,いいえ 文字体系,611234
P291,место публикации,出版地,нет место публикации,いいえ 出版地,271222
P6275,защитник авторских прав,著作権代表者,нет защитник авторских прав,いいえ 著作権代表者,81054
P20,место смерти,死亡地,нет место смерти,いいえ 死亡地,1212693
P3680,утверждение поддерживает,この主張の支持者,нет утверждение поддерживает,いいえ この主張の支持者,58
P5202,адаптирован,翻案,нет адаптирован,いいえ 翻案,3430
P2184,история темы,主題の歴史,нет история темы,いいえ 主題の歴史,2171
P450,летал на,宇宙飛行士のミッション,нет летал на,いいえ 宇宙飛行士のミッション,1836
P2813,издание организации,社内報,нет издание организации,いいえ 社内報,1120
P6942,художник-мультипликатор,アニメーター,нет художник-мультипликатор,いいえ アニメーター,4025
P3712,цель проекта или миссии,計画や行為の目的,нет цель проекта или миссии,いいえ 計画や行為の目的,1632
P8822,эпитет,形容語句,нет эпитет,いいえ 形容語句,26
P3764,поул-позиция,ポールポジション,нет поул-позиция,いいえ ポールポジション,4769
P2361,онлайн-сервис,オンラインサービス,нет онлайн-сервис,いいえ オンラインサービス,48
P5126,второй режиссёр,助監督,нет второй режиссёр,いいえ 助監督,559
P2882,выбывшие,勝利した対戦相手,нет выбывшие,いいえ 勝利した対戦相手,2906
P2634,модель,作品モデル,нет модель,いいえ 作品モデル,280
P1625,содержит мелодию,引用された旋律,нет содержит мелодию,いいえ 引用された旋律,2139
P5096,член экипажа,以下の乗組員,нет член экипажа,いいえ 以下の乗組員,1386
P1990,содержащиеся виды,飼育生物,нет содержащиеся виды,いいえ 飼育生物,7902
P9972,иллюстративное содержание,実例となる内容,нет иллюстративное содержание,いいえ 実例となる内容,61
P1462,орган по стандартизации,標準化団体,нет орган по стандартизации,いいえ 標準化団体,2799
P449,первоначальный вещатель,放送当初のネットワーク,нет первоначальный вещатель,いいえ 放送当初のネットワーク,93087
P6001,касается людей,あてはまる人々,нет касается людей,いいえ あてはまる人々,16
P5800,нарративная роль,作中の役割,нет нарративная роль,いいえ 作中の役割,4591
P517,фундаментальные взаимодействия,相互作用,нет фундаментальные взаимодействия,いいえ 相互作用,291
P7937,форма искусства,創作物の形式,нет форма искусства,いいえ 創作物の形式,342698
P6872,писал для,寄稿先,нет писал для,いいえ 寄稿先,3252
P1884,цвет волос,髪の色,нет цвет волос,いいえ 髪の色,11981
P3018,находится в охранной зоне,位置する保護区,нет находится в охранной зоне,いいえ 位置する保護区,36798
P1686,за работу,対象作品,нет за работу,いいえ 対象作品,50
P4241,уточнение даты,該当時期,нет уточнение даты,いいえ 該当時期,0
P3975,генеральный секретарь,総書記,нет генеральный секретарь,いいえ 総書記,1431
P140,религия,宗教,нет религия,いいえ 宗教,444622
P59,созвездие,星座,нет созвездие,いいえ 星座,7371215
P1434,описывает вымышленный мир,舞台の架空世界,нет описывает вымышленный мир,いいえ 舞台の架空世界,15814
P1923,команда-участница,参加チーム,нет команда-участница,いいえ 参加チーム,148066
P930,система электрификации,電化方式,нет система электрификации,いいえ 電化方式,5562
P1546,описание девиза,標語,нет описание девиза,いいえ 標語,509
P149,архитектурный стиль,建築様式,нет архитектурный стиль,いいえ 建築様式,124958
P1389,сертификат продукта,製品認証基準,нет сертификат продукта,いいえ 製品認証基準,8990
P1656,кем торжественно открыт,除幕者,нет кем торжественно открыт,いいえ 除幕者,444
P509,причина смерти,死因,нет причина смерти,いいえ 死因,115623
P967,почётный гость,来賓,нет почётный гость,いいえ 来賓,803
P3026,закрыто,休業日,нет закрыто,いいえ 休業日,136
P3081,повреждено,半壊,нет повреждено,いいえ 半壊,86
P111,физическая величина,測られる物理量,нет физическая величина,いいえ 測られる物理量,3611
P1013,используемый критерий,使用した基準,нет используемый критерий,いいえ 使用した基準,69
P8646,дополнение относится к,以下の拡張パック,нет дополнение относится к,いいえ 以下の拡張パック,1507
P5998,речной рукав,派川,нет речной рукав,いいえ 派川,119
P538,излом,断口,нет излом,いいえ 断口,11
P4968,соответствующая квалификация,関連する資格,нет соответствующая квалификация,いいえ 関連する資格,55
P680,молекулярная функция,分子機能,нет молекулярная функция,いいえ 分子機能,1210165
P35,глава государства,元首,нет глава государства,いいえ 元首,1841
P2715,выбран по результатам,選出選挙名,нет выбран по результатам,いいえ 選出選挙名,183
P589,точечная группа симметрии,点群,нет точечная группа симметрии,いいえ 点群,274
P516,движитель,動力装置・エンジン,нет движитель,いいえ 動力装置・エンジン,11110
P1142,политическая идеология,政治イデオロギー,нет политическая идеология,いいえ 政治イデオロギー,23809
P2700,протокол,プロトコル,нет протокол,いいえ プロトコル,231
P2827,цвет цветков,花の色,нет цвет цветков,いいえ 花の色,551
P9241,демография темы,主題の人口統計,нет демография темы,いいえ 主題の人口統計,1155
P2159,решает,解決可能問題,нет решает,いいえ 解決可能問題,119
P2568,скорректирован,以下の文書によって廃止,нет скорректирован,いいえ 以下の文書によって廃止,33377
P823,выступающий,講演者,нет выступающий,いいえ 講演者,5293
P4100,парламентская группа,会派,нет парламентская группа,いいえ 会派,1970
P495,страна происхождения,本国,нет страна происхождения,いいえ 本国,1345801
P1056,продукция,生産品目,нет продукция,いいえ 生産品目,45764
P2348,эра,時代,нет эра,いいえ 時代,202625
P3602,кандидат на выборах,立候補選挙,нет кандидат на выборах,いいえ 立候補選挙,158938
P1412,"языки, на которых говорит или пишет персона",使用可能言語,"нет языки, на которых говорит или пишет персона",いいえ 使用可能言語,2221570
P1308,должность занимает,在職者,нет должность занимает,いいえ 在職者,17533
P750,распространяется,配給元,нет распространяется,いいえ 配給元,158589
P364,язык оригинала фильма или телешоу,原語,нет язык оригинала фильма или телешоу,いいえ 原語,379770
P5134,оценка для,以下の評価,нет оценка для,いいえ 以下の評価,26
P88,заказчик произведения,依頼者,нет заказчик произведения,いいえ 依頼者,23429
P3189,иннервируется,支配神経,нет иннервируется,いいえ 支配神経,293
P1011,исключая,以下を除く,нет исключая,いいえ 以下を除く,6
P1995,медицинская специальность,診療科,нет медицинская специальность,いいえ 診療科,10263
P415,формат радио,ラジオ・フォーマット,нет формат радио,いいえ ラジオ・フォーマット,3611
P1310,утверждение оспаривается,この主張の反対者,нет утверждение оспаривается,いいえ この主張の反対者,5
P1444,пункт назначения,目的地,нет пункт назначения,いいえ 目的地,25554
P4330,содержит,内容,нет содержит,いいえ 内容,8269
P5095,разлом,断層,нет разлом,いいえ 断層,20
P2633,география темы,主題の地理,нет география темы,いいえ 主題の地理,726
P800,известная работа,主要作品,нет известная работа,いいえ 主要作品,96985
P1775,является последователем,以下のフォロワー,нет является последователем,いいえ 以下のフォロワー,22
P1606,является носителем патогена,以下の自然宿主,нет является носителем патогена,いいえ 以下の自然宿主,17
P1264,действительно для периода,あてはまる期間,нет действительно для периода,いいえ あてはまる期間,219
P4774,биологическая фаза,生物学的時期,нет биологическая фаза,いいえ 生物学的時期,21
P27,гражданство,国籍,нет гражданство,いいえ 国籍,4426813
P3274,хостинг,コンテンツの提供元,нет хостинг,いいえ コンテンツの提供元,6
P2679,автор предисловия,まえがきの筆者,нет автор предисловия,いいえ まえがきの筆者,1543
P913,обозначение,表記法,нет обозначение,いいえ 表記法,214
P1909,побочный эффект,副作用,нет побочный эффект,いいえ 副作用,39
P2079,метод изготовления,制作技法,нет метод изготовления,いいえ 制作技法,126162
P1605,носитель возбудителя инфекции,自然宿主,нет носитель возбудителя инфекции,いいえ 自然宿主,443
P1537,способствует,以下の寄与因子,нет способствует,いいえ 以下の寄与因子,324
P2881,вышедшие,選抜された対戦相手,нет вышедшие,いいえ 選抜された対戦相手,1228
P469,водоём на реке,関係する湖,нет водоём на реке,いいえ 関係する湖,3384
P542,кем официально открыт,公式開会者,нет кем официально открыт,いいえ 公式開会者,1047
P8739,запрещает,以下を禁止する,нет запрещает,いいえ 以下を禁止する,16
P2318,дебют для участника,初参加者,нет дебют для участника,いいえ 初参加者,217
P4290,официальное приложение,公式アプリ,нет официальное приложение,いいえ 公式アプリ,101
P2675,в ответ на,返信先,нет в ответ на,いいえ 返信先,387
P275,лицензия,利用許諾,нет лицензия,いいえ 利用許諾,161241
P87,автор либретто,台本作家,нет автор либретто,いいえ 台本作家,7358
P1363,кем забиты голы или набраны очки,得点者,нет кем забиты голы или набраны очки,いいえ 得点者,2441
P768,избирательный округ,選挙区,нет избирательный округ,いいえ 選挙区,18986
P1068,набор инструкций,命令セット,нет набор инструкций,いいえ 命令セット,448
P358,дискография,ディスコグラフィ,нет дискография,いいえ ディスコグラフィ,11952
P84,архитектор,設計,нет архитектор,いいえ 設計,75317
P6118,окончание сезона,シーズン終了時期,нет окончание сезона,いいえ シーズン終了時期,39
P3985,поддерживает язык программирования,サポートするプログラミング言語,нет поддерживает язык программирования,いいえ サポートするプログラミング言語,228
P2667,шаблон для свойства,対応するテンプレート,нет шаблон для свойства,いいえ 対応するテンプレート,860
P8810,родитель,親,нет родитель,いいえ 親,13
P4733,производит звук,発生音,нет производит звук,いいえ 発生音,56
P2505,несёт на себе,通るもの,нет несёт на себе,いいえ 通るもの,12478
P2680,автор послесловия,あとがきの筆者,нет автор послесловия,いいえ あとがきの筆者,99
P5054,кабинет,内閣,нет кабинет,いいえ 内閣,5
P744,семейство астероидов,小惑星族,нет семейство астероидов,いいえ 小惑星族,184
P1080,из вымышленного мира,登場する架空世界,нет из вымышленного мира,いいえ 登場する架空世界,31385
P1875,кто представляет,仲介者,нет кто представляет,いいえ 仲介者,8117
P135,школа (движение),ムーブメント,нет школа (движение),いいえ ムーブメント,58648
P9793,список номеров,セットリスト,нет список номеров,いいえ セットリスト,140
P1210,нагнетатель,スーパーチャージャー,нет нагнетатель,いいえ スーパーチャージャー,7
P618,источник энергии,エネルギー源,нет источник энергии,いいえ エネルギー源,6188
P923,медицинский осмотр,診察,нет медицинский осмотр,いいえ 診察,993
P8107,шина,バス,нет шина,いいえ バス,17
P2632,место содержания под стражей,収監場所,нет место содержания под стражей,いいえ 収監場所,145141
P2935,разъём,コネクタ,нет разъём,いいえ コネクタ,788
P1012,включая,以下を含める,нет включая,いいえ 以下を含める,59
P171,ближайший таксон уровнем выше,上位タクソン,нет ближайший таксон уровнем выше,いいえ 上位タクソン,3600730
P1547,зависит от,依存しているソフトウェア,нет зависит от,いいえ 依存しているソフトウェア,18192
P5280,радикал,部首,нет радикал,いいえ 部首,2355
P8032,жертва,被害者,нет жертва,いいえ 被害者,870
P1419,имеет форму,形状,нет имеет форму,いいえ 形状,1875
P5824,отозвано в,以下によって撤回,нет отозвано в,いいえ 以下によって撤回,1462
P2416,спортивная дисциплина,競技種目,нет спортивная дисциплина,いいえ 競技種目,49498
P3828,надето,以下を着用,нет надето,いいえ 以下を着用,1752
P5389,постоянный резидент,永住権保有国,нет постоянный резидент,いいえ 永住権保有国,1288
P4006,отвергает,以下の判例を変更,нет отвергает,いいえ 以下の判例を変更,10
P69,учебное заведение,出身校,нет учебное заведение,いいえ 出身校,2269402
P3094,развивается из,以下から発生,нет развивается из,いいえ 以下から発生,110
P2825,через,経由地,нет через,いいえ 経由地,861
P4934,вычисляется из,以下から算出,нет вычисляется из,いいえ 以下から算出,578
P400,платформа,プラットフォーム,нет платформа,いいえ プラットフォーム,98555
P4353,кто номинировал,推薦者,нет кто номинировал,いいえ 推薦者,230
P690,кристаллографическая группа,空間群,нет кристаллографическая группа,いいえ 空間群,2228
P681,компонент клетки,細胞の構成要素,нет компонент клетки,いいえ 細胞の構成要素,899727
P425,сфера деятельности,専門的職業の分野,нет сфера деятельности,いいえ 専門的職業の分野,5765
P1049,божество относится к,信仰元,нет божество относится к,いいえ 信仰元,2380
P831,родительский спортивный клуб,親クラブ,нет родительский спортивный клуб,いいえ 親クラブ,4473
P1881,список персонажей,登場人物の一覧,нет список персонажей,いいえ 登場人物の一覧,878
P2175,применяется для лечения,対象となる医学的状態,нет применяется для лечения,いいえ 対象となる医学的状態,6992
P3512,способ передвижения,移動手段,нет способ передвижения,いいえ 移動手段,103
P418,описание печати/эмблемы,印章の解説,нет описание печати/эмблемы,いいえ 印章の解説,110
P1571,кодомен,終域,нет кодомен,いいえ 終域,76
P3461,признаётся террористической организацией по версии,テロ組織と認定した国,нет признаётся террористической организацией по версии,いいえ テロ組織と認定した国,238
P1592,обвинитель,検察官,нет обвинитель,いいえ 検察官,426
P5051,по направлению к,方面,нет по направлению к,いいえ 方面,64
P200,впадающие в озеро реки,流入源,нет впадающие в озеро реки,いいえ 流入源,14887
P1924,является вакциной против,ワクチンの対象,нет является вакциной против,いいえ ワクチンの対象,203
P703,имеется у таксона,これを持つタクソン,нет имеется у таксона,いいえ これを持つタクソン,2853804
P5816,современное состояние,保全状態,нет современное состояние,いいえ 保全状態,32936
P2308,класс,クラス,нет класс,いいえ クラス,4
P2673,следующая переправа выше по течению,上流側の構築物,нет следующая переправа выше по течению,いいえ 上流側の構築物,1587
P1706,совместно с,以下とともに,нет совместно с,いいえ 以下とともに,72
P1318,кем доказано,証明した人,нет кем доказано,いいえ 証明した人,125
P2578,предмет изучения,研究分野,нет предмет изучения,いいえ 研究分野,1954
P812,специальность,大学における専攻,нет специальность,いいえ 大学における専攻,2838
P8058,является символом,以下の象徴,нет является символом,いいえ 以下の象徴,49
P4584,первое появление,初登場,нет первое появление,いいえ 初登場,6985
P1456,список памятников,記念碑の一覧,нет список памятников,いいえ 記念碑の一覧,20144
P4446,программа вознаграждения,報奨プログラム,нет программа вознаграждения,いいえ 報奨プログラム,275
P1532,представляет страну в спорте,代表国,нет представляет страну в спорте,いいえ 代表国,201826
P344,кинооператор,撮影監督,нет кинооператор,いいえ 撮影監督,91536
P2319,избиратель,選挙人,нет избиратель,いいえ 選挙人,67
P500,эксклав от,飛地の本体,нет эксклав от,いいえ 飛地の本体,130
P2396,множество значений,像,нет множество значений,いいえ 像,47
P1454,организационно-правовая форма,組織形態,нет организационно-правовая форма,いいえ 組織形態,197130
P467,принят законодателем,制定した立法府,нет принят законодателем,いいえ 制定した立法府,46724
P3349,предназначен для перевозки,輸送対象,нет предназначен для перевозки,いいえ 輸送対象,166
P2851,допустимые виды оплаты,料金の支払い方法,нет допустимые виды оплаты,いいえ 料金の支払い方法,39226
P7137,благодарности,謝辞の相手,нет благодарности,いいえ 謝辞の相手,858
P5102,природа утверждения,情報の状況,нет природа утверждения,いいえ 情報の状況,29
P8625,библиография,書誌,нет библиография,いいえ 書誌,70
P736,художник обложки,装丁家／ジャケットデザイナー,нет художник обложки,いいえ 装丁家／ジャケットデザイナー,6718
P9071,тип персонажа,キャラクターのタイプ,нет тип персонажа,いいえ キャラクターのタイプ,3186
P770,причина разрушения,破壊原因,нет причина разрушения,いいえ 破壊原因,1380
P1393,представитель,代理人,нет представитель,いいえ 代理人,49
P2821,побочный продукт,副産物,нет побочный продукт,いいえ 副産物,49
P647,задрафтован,ドラフト指名したチーム,нет задрафтован,いいえ ドラフト指名したチーム,11790
P531,дипломатическая миссия,在外公館,нет дипломатическая миссия,いいえ 在外公館,1710
P1313,должность главы правительства,行政府の長の地位,нет должность главы правительства,いいえ 行政府の長の地位,62785
P5460,присуждает учёную степень,授与する学位・称号,нет присуждает учёную степень,いいえ 授与する学位・称号,696
P5023,правила поведения в этом месте,利用案内,нет правила поведения в этом месте,いいえ 利用案内,130
P8791,оцифровано,デジタル化した者,нет оцифровано,いいえ デジタル化した者,2705
P2095,штурман,コ・ドライバー,нет штурман,いいえ コ・ドライバー,48
P537,двойникование,双晶,нет двойникование,いいえ 双晶,10
P991,победивший кандидат,当選者,нет победивший кандидат,いいえ 当選者,23167
P2238,официальный символ,公式シンボル,нет официальный символ,いいえ 公式シンボル,1419
P8324,заказчик,資金提供者,нет заказчик,いいえ 資金提供者,1904
P1780,принадлежит школе,所属学派,нет принадлежит школе,いいえ 所属学派,19
P8047,страна приписки,船籍国,нет страна приписки,いいえ 船籍国,68644
P1876,транспортное средство,船,нет транспортное средство,いいえ 船,846
P2378,кем выдан,ID発行者,нет кем выдан,いいえ ID発行者,1797
P608,история выставок,展示歴,нет история выставок,いいえ 展示歴,26633
P2822,побочный продукт от,以下の副産物,нет побочный продукт от,いいえ 以下の副産物,35
P7374,уровень образования,教育段階,нет уровень образования,いいえ 教育段階,81
P414,биржа,証券取引所,нет биржа,いいえ 証券取引所,13231
P518,указано для части,あてはまる部分,нет указано для части,いいえ あてはまる部分,203
P6439,имеет текст,歌詞付き,нет имеет текст,いいえ 歌詞付き,404
P505,генеральный менеджер,ゼネラルマネージャー,нет генеральный менеджер,いいえ ゼネラルマネージャー,1482
P1001,юрисдикция распространяется на,管轄・適用区域,нет юрисдикция распространяется на,いいえ 管轄・適用区域,938663
P6886,язык письменных произведений,記述言語,нет язык письменных произведений,いいえ 記述言語,162201
P1777,в манере,同じスタイルの人物,нет в манере,いいえ 同じスタイルの人物,9
P1574,является экземпляром,以下のものの原本,нет является экземпляром,いいえ 以下のものの原本,1740
P1387,позиция в политическом спектре,政治的立場,нет позиция в политическом спектре,いいえ 政治的立場,4250
P91,сексуальная ориентация,性的指向,нет сексуальная ориентация,いいえ 性的指向,4111
P30,часть света,大陸,нет часть света,いいえ 大陸,83038
P2515,дизайнер костюмов,衣裳デザイナー,нет дизайнер костюмов,いいえ 衣裳デザイナー,12686
P2647,источник материала,産地,нет источник материала,いいえ 産地,147
P611,монашеский орден,宗教会,нет монашеский орден,いいえ 宗教会,33053
P3294,кодировка,符号化,нет кодировка,いいえ 符号化,2
P54,член спортивной команды,所属チーム,нет член спортивной команды,いいえ 所属チーム,1546197
P479,способ ввода,入力機器,нет способ ввода,いいえ 入力機器,15149
P6885,исторический регион,歴史的地域,нет исторический регион,いいえ 歴史的地域,15038
P541,это выборы на должность,争われた公職,нет это выборы на должность,いいえ 争われた公職,42849
P1774,из мастерской,所属していた工房,нет из мастерской,いいえ 所属していた工房,7
P543,кто давал клятву,宣誓者,нет кто давал клятву,いいえ 宣誓者,90
P1199,тип наследования,遺伝形式,нет тип наследования,いいえ 遺伝形式,85
P6166,цитирует работу,引用作品,нет цитирует работу,いいえ 引用作品,410
P1906,должность главы государства,国家元首の地位,нет должность главы государства,いいえ 国家元首の地位,563
P4647,место первого исполнения,初演地,нет место первого исполнения,いいえ 初演地,18266
P1079,подрядчик запуска,打ち上げ業者,нет подрядчик запуска,いいえ 打ち上げ業者,254
P1399,осуждён за,罪名,нет осуждён за,いいえ 罪名,10528
P4220,порядок битвы,戦闘序列,нет порядок битвы,いいえ 戦闘序列,409
P2501,результаты,競技結果,нет результаты,いいえ 競技結果,84
P735,личное имя,名,нет личное имя,いいえ 名,6673611
P126,ответственность несёт,管理者,нет ответственность несёт,いいえ 管理者,528563
P1408,лицензия на вещание в,放送区域,нет лицензия на вещание в,いいえ 放送区域,16665
P5009,соответствует норме,適合基準,нет соответствует норме,いいえ 適合基準,163
P1437,признание вины,罪状認否,нет признание вины,いいえ 罪状認否,7
P8626,время открытия,開館時間,нет время открытия,いいえ 開館時間,9
P533,цель,標的,нет цель,いいえ 標的,1496
P816,распадается на,崩壊生成物,нет распадается на,いいえ 崩壊生成物,7387
P2291,занял место в,チャートイン,нет занял место в,いいえ チャートイン,1601
P1383,включает населённый пункт,包含する集落,нет включает населённый пункт,いいえ 包含する集落,32821
P6758,болеет за команду,支援するスポーツチーム,нет болеет за команду,いいえ 支援するスポーツチーム,710
P5817,состояние использования,使用状態,нет состояние использования,いいえ 使用状態,62593
P3005,истинно для места,あてはまる場所,нет истинно для места,いいえ あてはまる場所,173
P8196,избирательная система,投票制度,нет избирательная система,いいえ 投票制度,1362
P1840,расследуется,調査者,нет расследуется,いいえ 調査者,576
P5307,дисплейная технология,ディスプレイ技術,нет дисплейная технология,いいえ ディスプレイ技術,161
P5422,имеет орнамент,装飾パターン,нет имеет орнамент,いいえ 装飾パターン,407
P912,оборудован,保有施設,нет оборудован,いいえ 保有施設,16547
P3967,финальная часть,決勝戦,нет финальная часть,いいえ 決勝戦,1860
P3014,применяемый закон,適用法,нет применяемый закон,いいえ 適用法,173
P1192,обслуживается маршрутом,所属運行路線,нет обслуживается маршрутом,いいえ 所属運行路線,41150
P4101,диссертация защищалась в,論文の提出先,нет диссертация защищалась в,いいえ 論文の提出先,69721
P2360,целевая аудитория,この項目が想定する対象,нет целевая аудитория,いいえ この項目が想定する対象,7870
P7084,связанная категория,関連するカテゴリ,нет связанная категория,いいえ 関連するカテゴリ,16261
P2239,меры первой помощи,応急処置,нет меры первой помощи,いいえ 応急処置,2825
P560,направление,方向,нет направление,いいえ 方向,36
P1596,наказание,科刑,нет наказание,いいえ 科刑,1918
P4387,метод обновления,更新方法,нет метод обновления,いいえ 更新方法,119
P5030,гость ток-шоу,トーク番組のゲスト,нет гость ток-шоу,いいえ トーク番組のゲスト,15550
P2341,происходит из,地域・民族,нет происходит из,いいえ 地域・民族,18247
P1027,награда от,授与者,нет награда от,いいえ 授与者,15110
P941,вдохновлено,着想を得たもの,нет вдохновлено,いいえ 着想を得たもの,5758
P1877,в результате влияния работы,原作者,нет в результате влияния работы,いいえ 原作者,12339
P4969,производная работа,派生作品,нет производная работа,いいえ 派生作品,19804
P6440,метод обслуживания,保守方法,нет метод обслуживания,いいえ 保守方法,38
P6237,застройщик,不動産デベロッパー,нет застройщик,いいえ 不動産デベロッパー,79
P92,главный регулирующий текст,法的根拠,нет главный регулирующий текст,いいえ 法的根拠,9320
P520,вооружение,兵装,нет вооружение,いいえ 兵装,5520
P925,пресинаптическая связь,シナプス前細胞,нет пресинаптическая связь,いいえ シナプス前細胞,6
P205,бассейн объекта в странах,流域国,нет бассейн объекта в странах,いいえ 流域国,17703
P8744,экономика темы,主題の経済,нет экономика темы,いいえ 主題の経済,1377
P1028,подарок от,寄贈者,нет подарок от,いいえ 寄贈者,9673
P8225,метакласс для,以下のメタクラス,нет метакласс для,いいえ 以下のメタクラス,372
P3452,вывод из,以下から推測,нет вывод из,いいえ 以下から推測,2
P6224,уровень описания,説明のレベル,нет уровень описания,いいえ 説明のレベル,628069
P2392,методика обучения,教育法,нет методика обучения,いいえ 教育法,58
P2596,культура,文化,нет культура,いいえ 文化,10030
P1478,непосредственной причиной является,直接の原因,нет непосредственной причиной является,いいえ 直接の原因,125023
P485,архивы хранятся в,アーカイブ,нет архивы хранятся в,いいえ アーカイブ,75475
P2974,среда обитания,生息地,нет среда обитания,いいえ 生息地,162
P3301,транслируется на,放送媒体,нет транслируется на,いいえ 放送媒体,7431
P5236,простой множитель,素因数,нет простой множитель,いいえ 素因数,151194
P2964,право голоса,投票権者,нет право голоса,いいえ 投票権者,68
P97,титул,爵位,нет титул,いいえ 爵位,54552
P1136,кем решена,解いた人,нет кем решена,いいえ 解いた人,116
P16,система автомагистралей,道路システム,нет система автомагистралей,いいえ 道路システム,52704
P1622,сторона автомобильного движения,交通方法,нет сторона автомобильного движения,いいえ 交通方法,428
P4082,снято на,撮影機器,нет снято на,いいえ 撮影機器,20
P1897,верхняя нота,最高音,нет верхняя нота,いいえ 最高音,6
P4661,дамбовое водохранилище,ダム湖,нет дамбовое водохранилище,いいえ ダム湖,3203
P437,распространение произведения,メディア形態,нет распространение произведения,いいえ メディア形態,205282
P1171,аппроксимационный алгоритм,近似アルゴリズム,нет аппроксимационный алгоритм,いいえ 近似アルゴリズム,9
P3148,отменяет,以下の文書を廃止,нет отменяет,いいえ 以下の文書を廃止,28838
P6153,место проведения исследования,研究施設,нет место проведения исследования,いいえ 研究施設,266976
P5642,фактор риска,危険因子,нет фактор риска,いいえ 危険因子,198
P1406,направление письма,書字方向,нет направление письма,いいえ 書字方向,324
P4878,символизирует,象徴するもの,нет символизирует,いいえ 象徴するもの,51
P5072,представлено на,発表イベント,нет представлено на,いいえ 発表イベント,846
P3919,является соавтором опубликованной работы,貢献作品,нет является соавтором опубликованной работы,いいえ 貢献作品,5086
P5658,сторона железнодорожного движения,鉄道の交通方法,нет сторона железнодорожного движения,いいえ 鉄道の交通方法,282
P19,место рождения,出生地,нет место рождения,いいえ 出生地,3035164
P501,анклав в,包領の周囲,нет анклав в,いいえ 包領の周囲,249
P3091,верховое животное,騎乗する動物,нет верховое животное,いいえ 騎乗する動物,746
P1429,питомец,ペット,нет питомец,いいえ ペット,318
P3938,кем названо,命名者,нет кем названо,いいえ 命名者,628
P3082,уничтожено,全壊,нет уничтожено,いいえ 全壊,283
