,id,en,de,es,fr,count,en_negated,de_negated,fr_negated,es_negated
71,P6606,study or design for,Studie oder Entwurf für,estudio o diseño para,étude ou travail préparatoire pour,272,not study or design for,nicht Studie oder Entwurf für,ne pas étude ou travail préparatoire pour,no estudio o diseño para
72,P5126,assistant director,Regieassistent,ayudante de dirección,assistant réalisateur,550,not assistant director,nicht Regieassistent,ne pas assistant réalisateur,no ayudante de dirección
73,P2882,relegated,Absteiger,relegado,relégué,2899,not relegated,nicht Absteiger,ne pas relégué,no relegado
74,P2634,sitter,Modell,modelo,modèle,280,not sitter,nicht Modell,ne pas modèle,no modelo
75,P1625,has melody,verwendet eine Melodie aus,tiene la melodía de,contient une mélodie de,2107,not has melody,nicht verwendet eine Melodie aus,ne pas contient une mélodie de,no tiene la melodía de
76,P5096,member of the crew of,Mitglied der Besatzung von,tripulante de,membre de l'équipage de,1359,not member of the crew of,nicht Mitglied der Besatzung von,ne pas membre de l'équipage de,no tripulante de
77,P7228,access restriction status,Zugangsbeschränkung,restricción de acceso,conditions d'accès,403541,not access restriction status,nicht Zugangsbeschränkung,ne pas conditions d'accès,no restricción de acceso
78,P1990,species kept,gehaltene Arten,especies presentes,espèce conservée,7902,not species kept,nicht gehaltene Arten,ne pas espèce conservée,no especies presentes
79,P9972,illustrative content,illustrativer Inhalt,ilustraciones contenidas,contenu illustratif,59,not illustrative content,nicht illustrativer Inhalt,ne pas contenu illustratif,no ilustraciones contenidas
80,P6954,online access status,Onlineverfügbarkeit,estatus de acceso,type d'accessibilité,5595,not online access status,nicht Onlineverfügbarkeit,ne pas type d'accessibilité,no estatus de acceso
81,P136,genre,Genre,género,genre,1520165,not genre,nicht Genre,ne pas genre,no género
82,P452,industry,Branche,industria,secteur d'activité,103636,not industry,nicht Branche,ne pas secteur d'activité,no industria
83,P4770,hydrated form of,ist eine Hydrat-Form von,es una forma hidratada de,est une forme hydratée de,170,not hydrated form of,nicht ist eine Hydrat-Form von,ne pas est une forme hydratée de,no es una forma hidratada de
84,P1462,standards body,standardisiert von,organismo de normalización,organisme de normalisation,2799,not standards body,nicht standardisiert von,ne pas organisme de normalisation,no organismo de normalización
85,P4510,describes a project that uses,beschriebenes Projekt benutzt,describe un proyecto que usa,décrit un projet qui utilise,87048,not describes a project that uses,nicht beschriebenes Projekt benutzt,ne pas décrit un projet qui utilise,no describe un proyecto que usa
86,P449,original broadcaster,Sender der Erstausstrahlung,emisora original,diffuseur original,90308,not original broadcaster,nicht Sender der Erstausstrahlung,ne pas diffuseur original,no emisora original
87,P6001,applies to people,gilt für Leute,válido para,s'applique aux personnes,16,not applies to people,nicht gilt für Leute,ne pas s'applique aux personnes,no válido para
88,P2872,visitor centre,Touristeninformation,oficina de turismo,office de tourisme,553,not visitor centre,nicht Touristeninformation,ne pas office de tourisme,no oficina de turismo
89,P5800,narrative role,narrative Funktion,función narrativa,rôle narratologique,4581,not narrative role,nicht narrative Funktion,ne pas rôle narratologique,no función narrativa
90,P517,interaction,Wechselwirkung,interacción,interaction,291,not interaction,nicht Wechselwirkung,ne pas interaction,no interacción
91,P7937,form of creative work,künstlerische Form,forma artística,forme de l'œuvre,339736,not form of creative work,nicht künstlerische Form,ne pas forme de l'œuvre,no forma artística
92,P6872,has written for,hat geschrieben für,editor en,rédacteur à,3180,not has written for,nicht hat geschrieben für,ne pas rédacteur à,no editor en
93,P1884,hair color,Haarfarbe,color de pelo,couleur des cheveux,11929,not hair color,nicht Haarfarbe,ne pas couleur des cheveux,no color de pelo
94,P3018,located in protected area,liegt in Schutzgebiet,localizado en el área protegida,aire protégée,36525,not located in protected area,nicht liegt in Schutzgebiet,ne pas aire protégée,no localizado en el área protegida
95,P483,recorded at studio or venue,Aufnahmeort,grabado en,studio d'enregistrement,5401,not recorded at studio or venue,nicht Aufnahmeort,ne pas studio d'enregistrement,no grabado en
96,P1686,for work,für das Werk,premiado por la obra,récompense pour,50,not for work,nicht für das Werk,ne pas récompense pour,no premiado por la obra
97,P3975,secretary general,Generalsekretär,secretario general,secrétaire général,1417,not secretary general,nicht Generalsekretär,ne pas secrétaire général,no secretario general
98,P1050,medical condition,Erkrankung,condición médica,affection médicale,241890,not medical condition,nicht Erkrankung,ne pas affection médicale,no condición médica
99,P2286,arterial supply,arterieller Zustrom,irrigación arterial,artère,288,not arterial supply,nicht arterieller Zustrom,ne pas artère,no irrigación arterial
100,P59,constellation,Sternbild,constelación,constellation,7371206,not constellation,nicht Sternbild,ne pas constellation,no constelación
101,P1201,space tug,Raketenoberstufe,remolcador espacial,remorqueur spatial,409,not space tug,nicht Raketenoberstufe,ne pas remorqueur spatial,no remolcador espacial
102,P8138,located in the statistical territorial entity,liegt in der statistischen Einheit,situado en la entidad territorial estadística,situé dans l'entité territoriale statistique,31918,not located in the statistical territorial entity,nicht liegt in der statistischen Einheit,ne pas situé dans l'entité territoriale statistique,no situado en la entidad territorial estadística
103,P1434,takes place in fictional universe,beschreibt fiktives Universum,describe el universo ficticio,décrit l'univers de fiction,14683,not takes place in fictional universe,nicht beschreibt fiktives Universum,ne pas décrit l'univers de fiction,no describe el universo ficticio
104,P8289,parish church,Pfarrkirche,iglesia parroquial,église paroissiale,7307,not parish church,nicht Pfarrkirche,ne pas église paroissiale,no iglesia parroquial
105,P3912,newspaper format,Zeitungsformat,formato de periódico,format de journal,4084,not newspaper format,nicht Zeitungsformat,ne pas format de journal,no formato de periódico
106,P1923,participating team,teilnehmendes Team,equipo participante,équipes participantes,147529,not participating team,nicht teilnehmendes Team,ne pas équipes participantes,no equipo participante
107,P930,type of electrification,Bahnstromsystem,tipo de electrificación,type d'électrification,5558,not type of electrification,nicht Bahnstromsystem,ne pas type d'électrification,no tipo de electrificación
108,P1546,motto,Wahlspruch,lema,devise,506,not motto,nicht Wahlspruch,ne pas devise,no lema
109,P149,architectural style,Architekturstil,estilo arquitectónico,style architectural,124633,not architectural style,nicht Architekturstil,ne pas style architectural,no estilo arquitectónico
110,P1389,product certification,Produktzertifikat,certificación del producto,certificat de produit,8990,not product certification,nicht Produktzertifikat,ne pas certificat de produit,no certificación del producto
111,P3803,original film format,Filmformat,formato original de la película,format de film original,6458,not original film format,nicht Filmformat,ne pas format de film original,no formato original de la película
112,P1656,unveiled by,enthüllt von,develado por,dévoilé par,439,not unveiled by,nicht enthüllt von,ne pas dévoilé par,no develado por
113,P509,cause of death,Todesursache,causa de muerte,cause de la mort,115336,not cause of death,nicht Todesursache,ne pas cause de la mort,no causa de muerte
114,P967,guest of honor,Ehrengast,invitado de honor,invité d'honneur,733,not guest of honor,nicht Ehrengast,ne pas invité d'honneur,no invitado de honor
115,P2925,domain of saint or deity,Patron von,dominio del santo o deidad,domaine du saint ou de la divinité,843,not domain of saint or deity,nicht Patron von,ne pas domaine du saint ou de la divinité,no dominio del santo o deidad
116,P3026,closed on,geschlossen an/am,cerrado en,jours de fermeture,136,not closed on,nicht geschlossen an/am,ne pas jours de fermeture,no cerrado en
117,P3081,damaged,beschädigt,ha dañado,endommage,86,not damaged,nicht beschädigt,ne pas endommage,no ha dañado
118,P6271,demonym of,Demonym zu,gentilicio de,gentilé de,2629,not demonym of,nicht Demonym zu,ne pas gentilé de,no gentilicio de
119,P6086,dramaturge,Dramaturg,dramaturgo,dramaturge (de production),3252,not dramaturge,nicht Dramaturg,ne pas dramaturge (de production),no dramaturgo
120,P111,measured physical quantity,gemessene physikalische Größe,cantidad física medida,grandeur physique mesurée,3610,not measured physical quantity,nicht gemessene physikalische Größe,ne pas grandeur physique mesurée,no cantidad física medida
121,P1013,criterion used,verwendetes Kriterium,criterio utilizado,critère utilisé,69,not criterion used,nicht verwendetes Kriterium,ne pas critère utilisé,no criterio utilizado
122,P8646,expansion of,Erweiterung von,expansión de,extension de,1498,not expansion of,nicht Erweiterung von,ne pas extension de,no expansión de
123,P1956,takeoff and landing capability,Start- und Landeweise,despegue y aterrizaje,décollage et atterrissage,5,not takeoff and landing capability,nicht Start- und Landeweise,ne pas décollage et atterrissage,no despegue y aterrizaje
124,P5998,distributary,Mündungsarm,distributario,défluent,119,not distributary,nicht Mündungsarm,ne pas défluent,no distributario
125,P538,fracturing,Bruch,fractura,cassure,11,not fracturing,nicht Bruch,ne pas cassure,no fractura
126,P4968,relevant qualification,relevante Qualifikation,cualificación relevante,qualification pertinente,55,not relevant qualification,nicht relevante Qualifikation,ne pas qualification pertinente,no cualificación relevante
127,P784,mushroom cap shape,Hutform,tipo de sombrero,type de chapeau,878,not mushroom cap shape,nicht Hutform,ne pas type de chapeau,no tipo de sombrero
128,P680,molecular function,Molekularfunktion,función molecular,fonction moléculaire,1210166,not molecular function,nicht Molekularfunktion,ne pas fonction moléculaire,no función molecular
129,P4443,card network,Kreditkarten-Netzwerk,red de tarjeta,réseau de carte bancaire,54,not card network,nicht Kreditkarten-Netzwerk,ne pas réseau de carte bancaire,no red de tarjeta
130,P35,head of state,Staatsoberhaupt,jefe de Estado,chef d'État,1834,not head of state,nicht Staatsoberhaupt,ne pas chef d'État,no jefe de Estado
131,P2715,elected in,gewählt in,electo en,élection,182,not elected in,nicht gewählt in,ne pas élection,no electo en
132,P1677,index case of,Indexpatient von,caso índice de,patient zéro de,29,not index case of,nicht Indexpatient von,ne pas patient zéro de,no caso índice de
133,P589,point group,Punktgruppe,grupo puntual,groupe ponctuel,274,not point group,nicht Punktgruppe,ne pas groupe ponctuel,no grupo puntual
134,P516,powered by,angetrieben von,impulsado por,origine mécanique de l'énergie,11070,not powered by,nicht angetrieben von,ne pas origine mécanique de l'énergie,no impulsado por
135,P1142,political ideology,politische Weltanschauung,ideología política,idéologie politique,23673,not political ideology,nicht politische Weltanschauung,ne pas idéologie politique,no ideología política
136,P7095,end grade,höchste Klassenstufe,grado final,plus haut niveau scolaire,3729,not end grade,nicht höchste Klassenstufe,ne pas plus haut niveau scolaire,no grado final
137,P8345,media franchise,Medien-Franchise,franquicia de medios,franchise médiatique,27415,not media franchise,nicht Medien-Franchise,ne pas franchise médiatique,no franquicia de medios
138,P2700,protocol,Protokoll,protocolo,protocole d'accès,231,not protocol,nicht Protokoll,ne pas protocole d'accès,no protocolo
139,P1911,increased expression in,erhöhte Expression in,expresión incrementada en,expression accrue dans,148,not increased expression in,nicht erhöhte Expression in,ne pas expression accrue dans,no expresión incrementada en
140,P2827,flower color,Blütenfarbe,color de las flores,couleur des fleurs,550,not flower color,nicht Blütenfarbe,ne pas couleur des fleurs,no color de las flores
141,P2962,title of chess person,Titel (im Schachsport),título de ajedrecista,titre au jeu d'échecs,31173,not title of chess person,nicht Titel (im Schachsport),ne pas titre au jeu d'échecs,no título de ajedrecista
142,P9241,demographics of topic,Demografie des Objekts,demografía del elemento,démographie du sujet,1155,not demographics of topic,nicht Demografie des Objekts,ne pas démographie du sujet,no demografía del elemento
143,P4688,geomorphological unit,geomorphologische Einheit,unidad geomorfológica,unité géomorphologique,1899,not geomorphological unit,nicht geomorphologische Einheit,ne pas unité géomorphologique,no unidad geomorfológica
144,P2159,computes solution to,löst,resuelve,résout,119,not computes solution to,nicht löst,ne pas résout,no resuelve
145,P6437,day of regular release,Tag der Veröffentlichung,día de lanzamiento regular,jour de parution,87,not day of regular release,nicht Tag der Veröffentlichung,ne pas jour de parution,no día de lanzamiento regular
146,P2568,repealed by,aufgehoben durch,abrogado por,abrogé par,33372,not repealed by,nicht aufgehoben durch,ne pas abrogé par,no abrogado por
147,P823,speaker,Redner,orador,orateur,5263,not speaker,nicht Redner,ne pas orateur,no orador
148,P4100,parliamentary group,Fraktion,grupo parlamentario,groupe parlementaire,1971,not parliamentary group,nicht Fraktion,ne pas groupe parlementaire,no grupo parlamentario
149,P495,country of origin,Ursprungsland,país de origen,pays d’origine,1342364,not country of origin,nicht Ursprungsland,ne pas pays d’origine,no país de origen
150,P1056,product or material produced,Produkt,producto,produit,45597,not product or material produced,nicht Produkt,ne pas produit,no producto
151,P5053,fastest lap,schnellste Runde,vuelta más rápida,auteur du meilleur tour,2718,not fastest lap,nicht schnellste Runde,ne pas auteur du meilleur tour,no vuelta más rápida
152,P8115,eligible recipient,für Erhalt qualifiziert,posible receptor,bénéficiaire éligible,67,not eligible recipient,nicht für Erhalt qualifiziert,ne pas bénéficiaire éligible,no posible receptor
153,P2348,time period,Zeitraum,periodo histórico,période,202508,not time period,nicht Zeitraum,ne pas période,no periodo histórico
154,P3602,candidacy in election,kandidiert für,candidato en la elección,candidat à l'élection,157377,not candidacy in election,nicht kandidiert für,ne pas candidat à l'élection,no candidato en la elección
155,P3610,fare zone,Tarifzone,zona tarifaria,zone tarifaire,5160,not fare zone,nicht Tarifzone,ne pas zone tarifaire,no zona tarifaria
156,P3033,package management system,Paketverwaltung,sistema de gestión de paquetes,gestionnaire de paquets,191,not package management system,nicht Paketverwaltung,ne pas gestionnaire de paquets,no sistema de gestión de paquetes
157,P6819,calligrapher,Kalligraph,calígrafo,calligraphe,278,not calligrapher,nicht Kalligraph,ne pas calligraphe,no calígrafo
158,P1412,"languages spoken, written or signed",gesprochene oder publizierte Sprachen,"lenguas habladas, escritas o signadas","langues parlées, écrites ou signées",2212454,"not languages spoken, written or signed",nicht gesprochene oder publizierte Sprachen,"ne pas langues parlées, écrites ou signées","no lenguas habladas, escritas o signadas"
159,P277,programming language,Programmiersprache,lenguaje de programación,langage de programmation,12170,not programming language,nicht Programmiersprache,ne pas langage de programmation,no lenguaje de programación
160,P1308,officeholder,Amtsinhaber,titular del cargo,titulaire,17417,not officeholder,nicht Amtsinhaber,ne pas titulaire,no titular del cargo
161,P750,distributed by,Distributor,distribuidor,distribué par,155113,not distributed by,nicht Distributor,ne pas distribué par,no distribuidor
162,P4147,conjugate acid,konjugierte Säure,ácido conjugado,acide conjugué,365,not conjugate acid,nicht konjugierte Säure,ne pas acide conjugué,no ácido conjugado
163,P9191,letterer,Letterer,letrista,lettreur,231,not letterer,nicht Letterer,ne pas lettreur,no letrista
164,P453,character role,Rolle,rol,rôle,506,not character role,nicht Rolle,ne pas rôle,no rol
165,P787,spore print color,Sporenpulverabdruck,color de espora,couleur de sporée,727,not spore print color,nicht Sporenpulverabdruck,ne pas couleur de sporée,no color de espora
166,P840,narrative location,Handlungsort,lugar de la narración,lieu de l'action,88410,not narrative location,nicht Handlungsort,ne pas lieu de l'action,no lugar de la narración
167,P5832,political coalition,Koalition,coalición política,coalition politique,146,not political coalition,nicht Koalition,ne pas coalition politique,no coalición política
168,P3437,people or cargo transported,transportiertes Gut oder Passagiere,carga o personal transportado,cargaison,223,not people or cargo transported,nicht transportiertes Gut oder Passagiere,ne pas cargaison,no carga o personal transportado
169,P3103,has tense,hat grammatische Zeitform,tiene como tiempo gramatical,a comme temps grammatical,145,not has tense,nicht hat grammatische Zeitform,ne pas a comme temps grammatical,no tiene como tiempo gramatical
170,P364,original language of film or TV show,Originalsprache,idioma de la película o programa de televisión,langue originelle du film ou de l'émission de télévision,378548,not original language of film or TV show,nicht Originalsprache,ne pas langue originelle du film ou de l'émission de télévision,no idioma de la película o programa de televisión
171,P6532,has phenotype,hat Phänotyp,tiene el fenotipo,a un phénotype,169,not has phenotype,nicht hat Phänotyp,ne pas a un phénotype,no tiene el fenotipo
172,P4324,combination classification,Kombinationswertung,clasificación de la combinada,classement du meilleur au combiné,669,not combination classification,nicht Kombinationswertung,ne pas classement du meilleur au combiné,no clasificación de la combinada
173,P4543,has listed ingredient,aufgeführter Bestandteil,ingrediente listado,ingrédient indiqué,604,not has listed ingredient,nicht aufgeführter Bestandteil,ne pas ingrédient indiqué,no ingrediente listado
174,P5134,evaluation of,Auswertung von,evaluación de,évaluation de,26,not evaluation of,nicht Auswertung von,ne pas évaluation de,no evaluación de
175,P88,commissioned by,Auftraggeber,comisionador,commanditaire,23361,not commissioned by,nicht Auftraggeber,ne pas commanditaire,no comisionador
176,P3189,innervated by,innerviert durch,inervado por,innervé par,288,not innervated by,nicht innerviert durch,ne pas innervé par,no inervado por
177,P1885,cathedral,Kathedrale,catedral,cathédrale,2129,not cathedral,nicht Kathedrale,ne pas cathédrale,no catedral
178,P3092,film crew member,Mitglied des Filmstabs,miembro del equipo de filmación,membre de l'équipe du film,4957,not film crew member,nicht Mitglied des Filmstabs,ne pas membre de l'équipe du film,no miembro del equipo de filmación
179,P9810,remix of,Remix von,remezclar de,remix de,85,not remix of,nicht Remix von,ne pas remix de,no remezclar de
180,P427,taxonomic type,nomenklatorischer Typ,tipo taxonómico,type taxinomique,28509,not taxonomic type,nicht nomenklatorischer Typ,ne pas type taxinomique,no tipo taxonómico
181,P2587,has phoneme,enthält Phonem,tiene el fonema,a le phonème,99,not has phoneme,nicht enthält Phonem,ne pas a le phonème,no tiene el fonema
182,P1423,template has topic,Hauptthema der Vorlage,tema tiene plantilla,sujet principal d'un modèle,21347,not template has topic,nicht Hauptthema der Vorlage,ne pas sujet principal d'un modèle,no tema tiene plantilla
183,P1011,excluding,ausgenommen,excluyendo,non pris en compte,6,not excluding,nicht ausgenommen,ne pas non pris en compte,no excluyendo
184,P7984,depicted format,abgebildetes Format,formato representado,type de vue,915,not depicted format,nicht abgebildetes Format,ne pas type de vue,no formato representado
185,P4586,type foundry,Schriftgießerei,empresa diseñadora de tipos,fonderie typographique,414,not type foundry,nicht Schriftgießerei,ne pas fonderie typographique,no empresa diseñadora de tipos
186,P1918,altered regulation leads to,geänderte Regulation führt zu,regulación alterada resulta en,conséquence d'une altération de la régulation,14,not altered regulation leads to,nicht geänderte Regulation führt zu,ne pas conséquence d'une altération de la régulation,no regulación alterada resulta en
187,P1995,health specialty,medizinisches Fachgebiet,especialidad sanitaria,spécialité médicale,10251,not health specialty,nicht medizinisches Fachgebiet,ne pas spécialité médicale,no especialidad sanitaria
