,relation,template,template_negated,label,description,type
25,P131,[X] is located in [Y] .,[X] is not located in [Y] .,located in the administrative territorial entity,the item is located on the territory of the following administrative entity. Use P276 (location) for specifying the location of non-administrative places and for items about events,N-1
26,P1412,[X] used to communicate in [Y] .,[X] did not use to communicate in [Y] .,"languages spoken, written or signed","language(s) that a person speaks or writes, including the native language(s)",N-M
27,P108,[X] works for [Y] .,[X] does not work for [Y] .,employer,person or organization for which the subject works or worked,N-M
28,P136,[X] plays [Y] music .,[X] does not play [Y] music .,genre,creative work's genre or an artist's field of work (P101). Use main subject (P921) to relate creative works to their topic,N-1
29,P17,[X] is located in [Y] .,[X] is not located in [Y] .,country,sovereign state of this item; don't use on humans,N-1
30,P39,[X] has the position of [Y] .,[X] does not have the position of [Y] .,position held,subject currently or formerly holds the object position or public office,N-M
31,P264,[X] is represented by music label [Y] .,[X] is not represented by music label [Y] .,record label,brand and trademark associated with the marketing of subject music recordings and music videos,N-1
32,P276,[X] is located in [Y] .,[X] is not located in [Y] .,location,"location of the item, physical object or event is within. In case of an administrative entity use P131. In case of a distinct terrain feature use P706.",N-1
33,P937,[X] used to work in [Y] .,[X] did not use to work in [Y] .,work location,location where persons were active,N-M
34,P140,[X] is affiliated with the [Y] religion .,[X] is not affiliated with the [Y] religion .,religion,"religion of a person, organization or religious building, or associated with this subject",N-1
35,P1303,[X] plays [Y] .,[X] does not play [Y] .,instrument,musical instrument that a person plays,N-M
36,P127,[X] is owned by [Y] .,[X] is not owned by [Y] .,owned by,owner of the subject,N-1
37,P103,The native language of [X] is [Y] .,[X] is not owned by [Y] .,native language,language or languages a person has learned from early childhood,N-1
38,P190,[X] and [Y] are twin cities .,The native language of [X] is not [Y] .,twinned administrative body,"twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments",N-M
39,P1001,[X] is a legal term in [Y] .,[X] is not a legal term in [Y] .,applies to jurisdiction,"the item (an institution, law, public office ...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)",N-M
40,P31,[X] is a [Y] .,[X] is not a [Y] .,instance of,that class of which this subject is a particular example and member (subject typically an individual member with a proper name label); different from P279; using this property as a qualifier is deprecated—use P2868 or P3831 instead,N-M
41,P495,[X] was created in [Y] .,[X] was not created in [Y] .,country of origin,"country of origin of this item (creative work, food, phrase, product, etc.)",N-1
42,P159,The headquarter of [X] is in [Y] .,The headquarter of [X] is not in [Y] .,headquarters location,"specific location where an organization's headquarters is or has been situated. Inverse property of ""occupant"" (P466).",N-1
43,P36,The capital of [X] is [Y] .,The capital of [X] is not [Y] .,capital,"primary city of a country, state or other type of administrative territorial entity",1-1
44,P740,[X] was founded in [Y] .,[X] was not founded in [Y] .,location of formation,location where a group or organization was formed,N-1
45,P361,[X] is part of [Y] .,[X] is not part of [Y] .,part of,"object of which the subject is a part (it's not useful to link objects which are themselves parts of other objects already listed as parts of the subject). Inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670)).",N-1
