Unnamed: 0,id,en,es,fr,de,ru,ja,zh,count
33,P8865,mathematical inverse,inverso matemático,inverse mathématique,mathematische Umkehroperation,обратно к,数学的な逆,,84
34,P2329,antagonist muscle,músculo antagonista,muscle antagoniste,antagonistischer Muskel,мышца-антагонист,拮抗筋,,101
35,P684,ortholog,ortólogo,gène orthologue,ortholog,ортолог,オーソログ,种间同源基因,4320878
36,P2652,partnership with,en sociedad con,en partenariat avec,Geschäftsbeziehung zu,в партнёрстве с,連携先,,3328
37,P3364,stereoisomer of,estereoisómero de,stéréoisomère de,Stereoisomer von,стереоизомер для,以下の立体異性体,立體異構體,2013
38,P53,family,familia,famille,Familie,род,家系,家族,89379
39,P1416,affiliation,afiliación,affilié à,Zugehörigkeit zu,принадлежит к,所属機関,所属机构,86685
40,P3113,does not have part,no contiene,ne comprend pas,enthält nicht,не включает,以下を含まない,不包含的部分,499
41,P514,interleaves with,intercalada con,s'imbrique avec,verzahnt mit,перемежается с,,,31
42,P2860,cites work,referencia,cite le document,zitiert,ссылается на,引用文献,引用作品,285213488
43,P8956,compatible with,compatible con,compatible avec,kompatibel mit,совместим с,,,222
44,P807,separated from,separado de,séparé de,abgetrennt von,отделилось от,以下より分立,分离自,2321
45,P1557,manifestation of,manifestación de,manifestation de,Manifestation von,является воплощением,表現する概念,表现概念,2120
46,P2210,relative to,relativo a,relatif à,Bezugspunkt,по отношению к,以下を基準として,,48
47,P4675,appears in the form of,aparece bajo la forma de,se métamorphose en,angenommene Gestalt,появляется в виде,変身先,形态,373
48,P6477,does not have quality,no tiene la cualidad,caractérisé par l'absence de,Mangel an,не обладает свойством,持たない特性,不具备的特性,344
49,P2650,interested in,interesado en,intéressé par,interessiert an,область интересов,興味の対象,关注对象,14947
50,P547,commemorates,conmemora,commémore,erinnert an,в память о,記念対象,紀念對象,26003
51,P5004,in opposition to,en oposición a,en opposition à,in Opposition zu,против,以下に反対,反對,461
52,P1268,represents,representa,représente,repräsentiert,представляет,以下の代表,代表对象,5411
53,P825,dedicated to,dedicado a,dédicataire,Widmung an,посвящено,献呈先,呈献对象,50406
54,P7719,generalization of,implica,généralisation de,impliziert,влечёт за собой,,,37
55,P31,instance of,instancia de,nature de l'élément,ist ein(e),это частный случай понятия,分類,隶属于,103114325
56,P1441,present in work,presente en la obra,présent dans l'œuvre,kommt vor in,представлено в работе,登場する作品,登场作品,126749
57,P828,has cause,causado por,a pour cause,Ursache,причиной является,原因,起因,9257
58,P1542,has effect,causa de,a pour effet,Ursache von,вызывает,以下の原因,導致,5715
59,P2737,union of,unión de,union de,Vereinigung von,является объединением,以下の和集合,并集,375
