id,ru,ja,en,count
P3985,поддерживает язык программирования,サポートするプログラミング言語,supports programming language,228
P2667,шаблон для свойства,対応するテンプレート,corresponding template,860
P8810,родитель,親,parent (unspecified),13
P4733,производит звук,発生音,produced sound,56
P2505,несёт на себе,通るもの,carries,12478
P2680,автор послесловия,あとがきの筆者,author of afterword,99
P5054,кабинет,内閣,cabinet,5
P744,семейство астероидов,小惑星族,asteroid family,184
P1080,из вымышленного мира,登場する架空世界,from narrative universe,31385
P1875,кто представляет,仲介者,represented by,8117
P135,школа (движение),ムーブメント,movement,58648
P9793,список номеров,セットリスト,setlist,140
P1210,нагнетатель,スーパーチャージャー,supercharger,7
P618,источник энергии,エネルギー源,source of energy,6188
P923,медицинский осмотр,診察,medical examinations,993
P8107,шина,バス,bus,17
P2632,место содержания под стражей,収監場所,place of detention,145141
P2935,разъём,コネクタ,connector,788
P1012,включая,以下を含める,including,59
P171,ближайший таксон уровнем выше,上位タクソン,parent taxon,3600730
P1547,зависит от,依存しているソフトウェア,depends on software,18192
P5280,радикал,部首,radical,2355
P8032,жертва,被害者,victim,870
P1419,имеет форму,形状,shape,1875
P5824,отозвано в,以下によって撤回,is retracted by,1462
P2416,спортивная дисциплина,競技種目,sports discipline competed in,49498
P3828,надето,以下を着用,wears,1752
P5389,постоянный резидент,永住権保有国,permanent resident of,1288
P4006,отвергает,以下の判例を変更,overrules,10
P69,учебное заведение,出身校,educated at,2269402
P3094,развивается из,以下から発生,develops from,110
P2825,через,経由地,via,861
P4934,вычисляется из,以下から算出,calculated from,578
P400,платформа,プラットフォーム,platform,98555
P4353,кто номинировал,推薦者,nominated by,230
P690,кристаллографическая группа,空間群,space group,2228
P681,компонент клетки,細胞の構成要素,cell component,899727
P425,сфера деятельности,専門的職業の分野,field of this occupation,5765
P1049,божество относится к,信仰元,worshipped by,2380
P831,родительский спортивный клуб,親クラブ,parent club,4473
P1881,список персонажей,登場人物の一覧,list of characters,878
P2175,применяется для лечения,対象となる医学的状態,medical condition treated,6992
P3512,способ передвижения,移動手段,means of locomotion,103
P418,описание печати/эмблемы,印章の解説,"has seal, badge, or sigil",110
P1571,кодомен,終域,codomain,76
P3461,признаётся террористической организацией по версии,テロ組織と認定した国,designated as terrorist by,238
P1592,обвинитель,検察官,prosecutor,426
P5051,по направлению к,方面,towards,64
P200,впадающие в озеро реки,流入源,inflows,14887
P1924,является вакциной против,ワクチンの対象,vaccine for,203
P703,имеется у таксона,これを持つタクソン,found in taxon,2853804
P5816,современное состояние,保全状態,state of conservation,32936
P2308,класс,クラス,class,4
P2673,следующая переправа выше по течению,上流側の構築物,next crossing upstream,1587
P1706,совместно с,以下とともに,together with,72
P1318,кем доказано,証明した人,proved by,125
P2578,предмет изучения,研究分野,studies,1954
P812,специальность,大学における専攻,academic major,2838
P8058,является символом,以下の象徴,symbol of,49
P4584,первое появление,初登場,first appearance,6985
P1456,список памятников,記念碑の一覧,list of monuments,20144
P4446,программа вознаграждения,報奨プログラム,reward program,275
P1532,представляет страну в спорте,代表国,country for sport,201826
P344,кинооператор,撮影監督,director of photography,91536
P2319,избиратель,選挙人,elector,67
P500,эксклав от,飛地の本体,exclave of,130
P2396,множество значений,像,image of function,47
P1454,организационно-правовая форма,組織形態,legal form,197130
P467,принят законодателем,制定した立法府,legislated by,46724
P3349,предназначен для перевозки,輸送対象,designed to carry,166
P2851,допустимые виды оплаты,料金の支払い方法,payment types accepted,39226
P7137,благодарности,謝辞の相手,acknowledged,858
P5102,природа утверждения,情報の状況,nature of statement,29
P8625,библиография,書誌,bibliography,70
P736,художник обложки,装丁家／ジャケットデザイナー,cover art by,6718
P9071,тип персонажа,キャラクターのタイプ,character type,3186
P770,причина разрушения,破壊原因,cause of destruction,1380
P1393,представитель,代理人,proxy,49
P2821,побочный продукт,副産物,by-product,49
P647,задрафтован,ドラフト指名したチーム,drafted by,11790
P531,дипломатическая миссия,在外公館,diplomatic mission sent,1710
P1313,должность главы правительства,行政府の長の地位,office held by head of government,62785
P5460,присуждает учёную степень,授与する学位・称号,grants,696
P5023,правила поведения в этом месте,利用案内,activity policy in this place,130
P8791,оцифровано,デジタル化した者,digitised by,2705
P2095,штурман,コ・ドライバー,co-driver,48
P537,двойникование,双晶,twinning,10
P991,победивший кандидат,当選者,successful candidate,23167
P2238,официальный символ,公式シンボル,official symbol,1419
P8324,заказчик,資金提供者,funder,1904
P1780,принадлежит школе,所属学派,school of,19
P8047,страна приписки,船籍国,country of registry,68644
P1876,транспортное средство,船,vehicle,846
P2378,кем выдан,ID発行者,issued by,1797
P608,история выставок,展示歴,exhibition history,26633
P2822,побочный продукт от,以下の副産物,by-product of,35
P7374,уровень образования,教育段階,educational stage,81
P414,биржа,証券取引所,stock exchange,13231
P518,указано для части,あてはまる部分,applies to part,203
P6439,имеет текст,歌詞付き,has lyrics,404
P505,генеральный менеджер,ゼネラルマネージャー,general manager,1482
P1001,юрисдикция распространяется на,管轄・適用区域,applies to jurisdiction,938663
P6886,язык письменных произведений,記述言語,writing language,162201
P1777,в манере,同じスタイルの人物,manner of,9
P1574,является экземпляром,以下のものの原本,exemplar of,1740
P1387,позиция в политическом спектре,政治的立場,political alignment,4250
P91,сексуальная ориентация,性的指向,sexual orientation,4111
P30,часть света,大陸,continent,83038
P2515,дизайнер костюмов,衣裳デザイナー,costume designer,12686
P2647,источник материала,産地,source of material,147
P611,монашеский орден,宗教会,religious order,33053
P3294,кодировка,符号化,encoding,2
P54,член спортивной команды,所属チーム,member of sports team,1546197
P479,способ ввода,入力機器,input method,15149
P6885,исторический регион,歴史的地域,historical region,15038
P541,это выборы на должность,争われた公職,office contested,42849
P1774,из мастерской,所属していた工房,workshop of,7
P543,кто давал клятву,宣誓者,oath made by,90
P1199,тип наследования,遺伝形式,mode of inheritance,85
P6166,цитирует работу,引用作品,quotes work,410
P1906,должность главы государства,国家元首の地位,office held by head of state,563
P4647,место первого исполнения,初演地,location of first performance,18266
P1079,подрядчик запуска,打ち上げ業者,launch contractor,254
P1399,осуждён за,罪名,convicted of,10528
P4220,порядок битвы,戦闘序列,order of battle,409
P2501,результаты,競技結果,results,84
P735,личное имя,名,given name,6673611
P126,ответственность несёт,管理者,maintained by,528563
P1408,лицензия на вещание в,放送区域,licensed to broadcast to,16665
P5009,соответствует норме,適合基準,complies with,163
P1437,признание вины,罪状認否,plea,7
P8626,время открытия,開館時間,opening time,9
P533,цель,標的,target,1496
P816,распадается на,崩壊生成物,decays to,7387
P2291,занял место в,チャートイン,charted in,1601
P1383,включает населённый пункт,包含する集落,contains settlement,32821
P6758,болеет за команду,支援するスポーツチーム,supported sports team,710
P5817,состояние использования,使用状態,state of use,62593
P3005,истинно для места,あてはまる場所,valid in place,173
P8196,избирательная система,投票制度,voting system,1362
P1840,расследуется,調査者,investigated by,576
P5307,дисплейная технология,ディスプレイ技術,display technology,161
P5422,имеет орнамент,装飾パターン,has pattern,407
P912,оборудован,保有施設,has facility,16547
P3967,финальная часть,決勝戦,final event,1860
P3014,применяемый закон,適用法,laws applied,173
P1192,обслуживается маршрутом,所属運行路線,connecting service,41150
P4101,диссертация защищалась в,論文の提出先,dissertation submitted to,69721
P2360,целевая аудитория,この項目が想定する対象,intended public,7870
P7084,связанная категория,関連するカテゴリ,related category,16261
P2239,меры первой помощи,応急処置,first aid measures,2825
P560,направление,方向,direction,36
P1596,наказание,科刑,penalty,1918
P4387,метод обновления,更新方法,update method,119
P5030,гость ток-шоу,トーク番組のゲスト,talk show guest,15550
P2341,происходит из,地域・民族,indigenous to,18247
P1027,награда от,授与者,conferred by,15110
P941,вдохновлено,着想を得たもの,inspired by,5758
P1877,в результате влияния работы,原作者,after a work by,12339
P4969,производная работа,派生作品,derivative work,19804
P6440,метод обслуживания,保守方法,maintenance method,38
P6237,застройщик,不動産デベロッパー,real estate developer,79
P92,главный регулирующий текст,法的根拠,main regulatory text,9320
P520,вооружение,兵装,armament,5520
P925,пресинаптическая связь,シナプス前細胞,presynaptic connection,6
P205,бассейн объекта в странах,流域国,basin country,17703
P8744,экономика темы,主題の経済,economy of topic,1377
P1028,подарок от,寄贈者,donated by,9673
P8225,метакласс для,以下のメタクラス,is metaclass for,372
P3452,вывод из,以下から推測,inferred from,2
P6224,уровень описания,説明のレベル,level of description,628069
P2392,методика обучения,教育法,teaching method,58
P2596,культура,文化,culture,10030
P1478,непосредственной причиной является,直接の原因,has immediate cause,125023
P485,архивы хранятся в,アーカイブ,archives at,75475
P2974,среда обитания,生息地,habitat,162
P3301,транслируется на,放送媒体,broadcast by,7431
P5236,простой множитель,素因数,prime factor,151194
P2964,право голоса,投票権者,right to vote,68
P97,титул,爵位,noble title,54552
P1136,кем решена,解いた人,solved by,116
P16,система автомагистралей,道路システム,transport network,52704
P1622,сторона автомобильного движения,交通方法,driving side,428
P4082,снято на,撮影機器,captured with,20
P1897,верхняя нота,最高音,highest note,6
P4661,дамбовое водохранилище,ダム湖,reservoir created,3203
P437,распространение произведения,メディア形態,distribution format,205282
P1171,аппроксимационный алгоритм,近似アルゴリズム,approximation algorithm,9
P3148,отменяет,以下の文書を廃止,repeals,28838
P6153,место проведения исследования,研究施設,research site,266976
P5642,фактор риска,危険因子,risk factor,198
P1406,направление письма,書字方向,script directionality,324
P4878,символизирует,象徴するもの,symbolizes,51
P5072,представлено на,発表イベント,presented in,846
P3919,является соавтором опубликованной работы,貢献作品,contributed to creative work,5086
P5658,сторона железнодорожного движения,鉄道の交通方法,railway traffic side,282
P19,место рождения,出生地,place of birth,3035164
P501,анклав в,包領の周囲,enclave within,249
P3091,верховое животное,騎乗する動物,mount,746
P1429,питомец,ペット,has pet,318
P3938,кем названо,命名者,named by,628
P3082,уничтожено,全壊,destroyed,283
P1591,обвиняемый,被告,defendant,4610
P642,относится к,以下についての,of,5091
P1703,опылитель,送粉者,is pollinated by,79
P3780,является активным ингредиентом в,以下の有効成分,active ingredient in,2529
P2414,сырьё для,以下の基質,substrate of,9
P4000,имеет плод типа,果実の種類,has fruit type,3039
P834,железнодорожное депо,列車車庫,train depot,691
P702,кодирующий ген,コードしている遺伝子,encoded by,976836
P2831,тотем,トーテム,totem,21
P545,кем зажжён факел,聖火点火者,torch lit by,73
P459,метод определения,使用された手段・手法,determination method,329
P1299,изображается на,描写した作品,depicted by,10979
P3989,род деятельности членов,メンバーの職業,members have occupation,1768
P462,цвет,色,color,195178
P1776,из круга,作者と関わりがあったと考えられる人物,circle of,7
P6540,многоканальная сеть,マルチチャンネルネットワーク,multi-channel network,44
P3261,анатомически ответвляется от,以下の解剖学的分枝,anatomical branch of,415
P5314,используется как,プロパティの適用範囲,property scope,1
P241,вид или род войск,軍種,military branch,114815
P1064,ширина колеи,軌間,track gauge,24421
P1891,подписавшийся,調印者,signatory,17166
P8864,нейтральный элемент,単位元,identity element,6
P2842,место свадьбы,結婚した場所,place of marriage,3
P3174,арт-директор,美術監督,art director,1254
P4850,допустимая пищевая добавка,許可された食品添加物,permitted food additive,1
P2429,ожидаемая полнота,期待される完全性,expected completeness,3866
P421,часовой пояс,標準時間帯,located in time zone,2008070
P6587,система спортивных лиг,リーグ制度,league system,231
P3335,грозящая опасность,関連する危険,associated hazard,71
P1445,вымышленная вселенная описана в,舞台とする作品,fictional universe described in,4613
P7078,типизация данных,型システム,typing discipline,774
P3701,воплощение для,以下の化身,incarnation of,88
P5132,предполагает болезнь,以下の存在を示唆する,suggests the existence of,234
P3447,повторяет данные из,データのミラー元,mirrors data from,8
P4224,категория содержит,このカテゴリは以下を含む,category contains,824636
P765,тип покрытия,サーフェス,surface played on,3968
P634,капитан,主将,captain,539
P7936,бизнес-модель,ビジネスモデル,business model,2359
P9549,официальный подкаст,公式ポッドキャスト番組,official podcast,143
P101,область деятельности,専門分野,field of work,252599
P5323,подтверждено в,典拠,attested in,121128
P3025,дни работы,営業日,open days,3283
P924,лечение,治療,possible treatment,699
P1196,род смерти,死亡状況,manner of death,100146
P3095,практикуется,従事者,practiced by,4814
P2376,суперсимметричный партнёр для,以下の超対称性粒子,superpartner of,21
P1880,шкала измерения,測定単位,measurement scale,181
P1536,является непосредственной причиной,以下の直接の原因,immediate cause of,18761
P1479,способствовавшим фактором является,寄与因子,has contributing factor,588
P6977,рецензия на,以下の評論,review of,9683
P780,симптомы,症状,symptoms and signs,10915
P970,неврологическая функция,神経機能,neurological function,4
P8411,происходит в типе места,物語のロケーション,set in environment,15928
P3781,имеет активный ингредиент,有効成分,has active ingredient,2691
P612,головной монастырь,母院,mother house,820
P748,кем назначен,任命者,appointed by,5538
P8738,разрешает,以下を許可する,permits,23
P1029,члены экипажа,乗組員,crew member(s),2976
P1283,фильмография,映画作品目録,filmography,1518
P3902,последняя трапеза,最後に摂った食事,had as last meal,72
P872,отпечатано,印刷者,printed by,2905
P4967,предпосылка,前提条件,prerequisite,191
P5196,способ вывода,出力機器,output method,305
P6193,ратифицирован(о/а),批准,ratified by,2631
P5248,медицинская эвакуация в,搬送先医療機関,medical evacuation to,36
P789,съедобность,食用可能,edibility,792
P4032,рецензент,査読者,reviewed by,510
P194,законодательный орган,立法府,legislative body,4257
P9059,делится на единицы,下位の単位,subdivision of this unit,133
P567,висячий бок,上位層,underlies,1542
P7075,мод для,以下のMOD,mod of,186
P5021,оценивался тест,受けた試験,assessment,25144
P248,утверждается в,出典,stated in,785
P6339,интервал значений,測定間隔,reports periodicity,18159
P887,на основе эвристики,推測に基づく,based on heuristic,1
P1074,аналог в реальном мире,現実世界で対応する概念,fictional analog of,1877
P553,учётная запись в социальных медиа,ソーシャルメディア,website account on,2218
P4791,командир,指揮官,commanded by,3546
P1433,опубликовано в,叢書,published in,37916091
P751,новая фунциональность,導入機能,introduced feature,814
P8670,дизайнер персонажей,キャラクターデザイナー,character designer,1818
P2738,является одним и только одним из,以下の非交和,disjoint union of,458
P790,получил одобрение от,承認者,approved by,29098
P817,тип распада,崩壊モード,decay mode,3
P3831,значение выступает в роли,オブジェクトの役割,object has role,65
P8929,"отношение к религии, взгляд на мир",宗教または世界観,religion or world view (OBSOLETE),
P2575,измеряет,測定対象,measures,252
P2445,метаподкласс от,以下のメタサブクラス,metasubclass of,41
P7152,исключение из авторского права,著作権適用除外,copyright exemption,1
P2770,источник дохода,収入源,source of income,500
P926,постсинаптическая связь,シナプス後細胞,postsynaptic connection,7
