id,en,ru,count
P823,speaker,выступающий,5293
P4100,parliamentary group,парламентская группа,1970
P495,country of origin,страна происхождения,1345801
P1056,product or material produced,продукция,45764
P3602,candidacy in election,кандидат на выборах,158938
P3610,fare zone,тарифная зона,5161
P1412,"languages spoken, written or signed","языки, на которых говорит или пишет персона",2221570
P750,distributed by,распространяется,158589
P453,character role,играет роль персонажа,506
P787,spore print color,цвет спорового порошка,727
P840,narrative location,место действия,91176
P3437,people or cargo transported,перевозимый груз,223
P8453,public transport stop,остановка общественного транспорта,132
P3103,has tense,имеет время,145
P6532,has phenotype,имеет фенотип,169
P4543,has listed ingredient,используется ингредиент,604
P5134,evaluation of,оценка для,26
P88,commissioned by,заказчик произведения,23429
P3189,innervated by,иннервируется,293
P1885,cathedral,собор,2133
P3092,film crew member,член съёмочной команды,4973
P9810,remix of,микс или ремикс аудиотрека,87
P427,taxonomic type,номенклатурный тип,28515
P2587,has phoneme,содержит фонему,99
P1423,template has topic,основная тема шаблона,21545
P1011,excluding,исключая,6
P1918,altered regulation leads to,изменение регуляции приводит к,14
P1995,health specialty,медицинская специальность,10263
P415,radio format,формат радио,3611
P1910,decreased expression in,уменьшенная экспрессия приводит к,27
P1310,statement disputed by,утверждение оспаривается,5
P4330,contains,содержит,8269
P803,professorship,учёное звание,12404
P5095,fault,разлом,20
P118,league,выступает в лиге,192730
P2633,geography of topic,география темы,726
P800,notable work,известная работа,96985
P1775,follower of,является последователем,22
P1606,natural reservoir of,является носителем патогена,17
P1264,valid in period,действительно для периода,219
P4774,biological phase,биологическая фаза,21
P3739,inflorescence,соцветие,166
P27,country of citizenship,гражданство,4426813
P1660,has index case,указывающий случай,28
P3274,content deliverer,хостинг,6
P2679,author of foreword,автор предисловия,1543
P913,notation,обозначение,214
P1909,side effect,побочный эффект,39
P413,position played on team / speciality,позиция в команде,401425
P1534,end cause,конечный результат,171
P2079,fabrication method,метод изготовления,126162
P1605,has natural reservoir,носитель возбудителя инфекции,443
P8852,facial hair,волосы на лице,365
P1537,contributing factor of,способствует,324
P6259,epoch,эпоха,8076517
P9745,translation of,является переводом,412
P2881,promoted,вышедшие,1228
P469,lakes on river,водоём на реке,3384
P542,officially opened by,кем официально открыт,1047
P8739,prohibits,запрещает,16
P2318,debut participant,дебют для участника,217
P4290,official app,официальное приложение,101
P2675,reply to,в ответ на,387
P275,copyright license,лицензия,161241
P87,librettist,автор либретто,7358
P1363,points/goal scored by,кем забиты голы или набраны очки,2441
P768,electoral district,избирательный округ,18986
P1068,instruction set,набор инструкций,448
P358,discography,дискография,11952
P84,architect,архитектор,75317
P3985,supports programming language,поддерживает язык программирования,228
P4733,produced sound,производит звук,56
P2505,carries,несёт на себе,12478
P2680,author of afterword,автор послесловия,99
P5054,cabinet,кабинет,5
P1080,from narrative universe,из вымышленного мира,31385
P1875,represented by,кто представляет,8117
P8030,size designation,обозначение размера,339
P4788,storage device,запоминающее устройство,582
P135,movement,школа (движение),58648
P1210,supercharger,нагнетатель,7
P7500,comorbidity,коморбидность,19
P618,source of energy,источник энергии,6188
P923,medical examinations,медицинский осмотр,993
P8107,bus,шина,17
P2632,place of detention,место содержания под стражей,145141
P2935,connector,разъём,788
P1012,including,включая,59
P1547,depends on software,зависит от,18192
P5280,radical,радикал,2355
P8032,victim,жертва,870
P272,production company,производящая компания,119102
P1419,shape,имеет форму,1875
P5824,is retracted by,отозвано в,1462
P2416,sports discipline competed in,спортивная дисциплина,49498
P3828,wears,надето,1752
P5389,permanent resident of,постоянный резидент,1288
P4006,overrules,отвергает,10
P69,educated at,учебное заведение,2269402
P189,location of discovery,место обнаружения,26285
P3094,develops from,развивается из,110
P2825,via,через,861
P4934,calculated from,вычисляется из,578
P2462,member of the deme,член дема,195
P2937,parliamentary term,срок полномочий парламента,6378
P2828,corporate officer,сотрудник организации,98
P400,platform,платформа,98555
P4353,nominated by,кто номинировал,230
P690,space group,кристаллографическая группа,2228
P681,cell component,компонент клетки,899727
P425,field of this occupation,сфера деятельности,5765
P6364,official color,официальный цвет,3090
P8786,dedicated heritage entity,специализированное учреждение наследия,170
P1049,worshipped by,божество относится к,2380
P1881,list of characters,список персонажей,878
P2175,medical condition treated,применяется для лечения,6992
P4843,development of anatomical structure,развитие анатомической структуры,160
P8701,has census,имеет перепись населения,596
P2353,statistical unit,статистическая единица,25
P1571,codomain,кодомен,76
P972,catalog,каталог,69086
P3461,designated as terrorist by,признаётся террористической организацией по версии,238
P688,encodes,кодирует,973826
P1592,prosecutor,обвинитель,426
P5051,towards,по направлению к,64
P200,inflows,впадающие в озеро реки,14887
P1924,vaccine for,является вакциной против,203
P4954,may prevent,Может предотвращать,10
P1706,together with,совместно с,72
P1318,proved by,кем доказано,125
P2551,used metre,использованный метр,344
P2578,studies,предмет изучения,1954
P812,academic major,специальность,2838
P8058,symbol of,является символом,49
P4584,first appearance,первое появление,6985
P1456,list of monuments,список памятников,20144
P4446,reward program,программа вознаграждения,275
P1532,country for sport,представляет страну в спорте,201826
P1809,choreographer,хореограф,4208
P522,type of orbit,тип орбиты,1169
P9302,script style,стиль шрифта,310
P344,director of photography,кинооператор,91536
P2319,elector,избиратель,67
P500,exclave of,эксклав от,130
P407,language of work or name,язык произведения или названия,14800503
P2396,image of function,множество значений,47
P1454,legal form,организационно-правовая форма,197130
P467,legislated by,принят законодателем,46724
P3349,designed to carry,предназначен для перевозки,166
P2500,league level below,лига на уровень ниже,6576
P7137,acknowledged,благодарности,858
P264,record label,лейбл звукозаписи,338731
P5102,nature of statement,природа утверждения,29
P8625,bibliography,библиография,70
P736,cover art by,художник обложки,6718
P2820,cardinality of this set,мощность множества,52
P9071,character type,тип персонажа,3186
P770,cause of destruction,причина разрушения,1380
P1393,proxy,представитель,49
P2821,by-product,побочный продукт,49
P647,drafted by,задрафтован,11790
P531,diplomatic mission sent,дипломатическая миссия,1710
P6338,colorist,колорист,1312
P4743,animal breed,порода животных,8622
P1313,office held by head of government,должность главы правительства,62785
P3037,spatial reference system,система пространственной привязки,3
P7045,chassis,шасси,48
P1026,academic thesis,диссертация,11022
P7261,use restriction status,статус ограничения использования,415440
P5460,grants,присуждает учёную степень,696
P6149,running mate,кандидат в вице-президенты или в вице-губернаторы,2
P78,top-level Internet domain,интернет-домен верхнего уровня,344
P4312,camera setup,метод съёмки,1871
P8791,digitised by,оцифровано,2705
P658,tracklist,композиции,33907
P991,successful candidate,победивший кандидат,23167
P2674,next crossing downstream,следующая переправа ниже по течению,1604
P8324,funder,заказчик,1904
P2701,file format,формат файла,566
P7108,location of the point of view,место точки зрения,512
P1780,school of,принадлежит школе,19
P1340,eye color,цвет глаз,10047
P1302,primary destinations,основные направления,3923
P8047,country of registry,страна приписки,68644
P6216,copyright status,статус авторского права,1817697
P6568,inscription mentions,надпись упоминает,1719
P1876,vehicle,транспортное средство,846
P3816,film script,киносценарий,28
P2378,issued by,кем выдан,1797
P841,feast day,праздник святого,8747
P4599,monomer of,является мономером,61
P2822,by-product of,побочный продукт от,35
P7374,educational stage,уровень образования,81
P414,stock exchange,биржа,13231
P518,applies to part,указано для части,203
P6439,has lyrics,имеет текст,404
P7767,serving temperature,температура подачи,29
P412,voice type,певческий голос,34254
P289,vessel class,тип судна,13365
P707,satellite bus,платформа космического аппарата,113
P505,general manager,генеральный менеджер,1482
P2499,league level above,лига на уровень выше,6639
P6886,writing language,язык письменных произведений,162201
P693,cleavage,спайность,63
P1777,manner of,в манере,9
P1574,exemplar of,является экземпляром,1740
P1387,political alignment,позиция в политическом спектре,4250
P4149,conjugate base,сопряженное основание,358
P5444,model year,год выпуска модели,63
P91,sexual orientation,сексуальная ориентация,4111
P30,continent,часть света,83038
P2515,costume designer,дизайнер костюмов,12686
P2577,admissible rule in,допустимое правило в,8
P2647,source of material,источник материала,147
P611,religious order,монашеский орден,33053
P2541,operating area,зона обслуживания,17829
P3294,encoding,кодировка,2
P54,member of sports team,член спортивной команды,1546197
P479,input method,способ ввода,15149
P6885,historical region,исторический регион,15038
P2058,depositary,депозитарий,229
P8403,theorised by,предсказано кем,83
P110,illustrator,иллюстратор,14607
P541,office contested,это выборы на должность,42849
P588,coolant,охладитель,485
P1576,lifestyle,образ жизни,1288
P1558,tempo marking,музыкальный темп,133
P1774,workshop of,из мастерской,7
P543,oath made by,кто давал клятву,90
P504,home port,основной порт,5863
P9237,reissue of,переиздание,202
P4908,season,сезон,63882
P6166,quotes work,цитирует работу,410
P193,main building contractor,основная строительная организация,2904
P945,allegiance,принадлежность,60876
P408,software engine,движок,9860
P5185,grammatical gender,грамматический род,240803
P4647,location of first performance,место первого исполнения,18266
P1079,launch contractor,подрядчик запуска,254
P1399,convicted of,осуждён за,10528
P114,airline alliance,авиационный альянс,278
P512,academic degree,учёная степень,132400
P3279,statistical leader,лидер по статистике,2642
P4220,order of battle,порядок битвы,409
P5514,accredited by,аккредитован,4154
P2501,results,результаты,84
P735,given name,личное имя,6673611
P126,maintained by,ответственность несёт,528563
P1408,licensed to broadcast to,лицензия на вещание в,16665
P5137,item for this sense,элемент для смысла,115540
P5009,complies with,соответствует норме,163
P1437,plea,признание вины,7
P533,target,цель,1496
P306,operating system,операционная система,39330
P816,decays to,распадается на,7387
P2291,charted in,занял место в,1601
P1383,contains settlement,включает населённый пункт,32821
P2849,produced by,продуцируется,272
P21,sex or gender,пол или гендер,7876165
P682,biological process,биологический процесс,1194167
P5817,state of use,состояние использования,62593
P5059,modified version of,модифицированная версия от,1466
P3005,valid in place,истинно для места,173
P655,translator,переводчик,18384
P1840,investigated by,расследуется,576
P5422,has pattern,имеет орнамент,407
P912,has facility,оборудован,16547
P3014,laws applied,применяемый закон,173
P4634,premiere type,вид премьеры,469
P6524,expression of,выражение для,1406
P1192,connecting service,обслуживается маршрутом,41150
P8031,perpetrator,преступник,818
P4101,dissertation submitted to,диссертация защищалась в,69721
P2563,superhuman feature or ability,сверхчеловеческая особенность или способность,6800
P2360,intended public,целевая аудитория,7870
P2839,gait,походка,17
P57,director,режиссёр,332848
P7604,supervised by,надзор осуществляет,77
P2922,month of the year,месяц,4599
P2408,set in period,действие происходит в эпоху,7382
P2239,first aid measures,меры первой помощи,2825
P1637,undercarriage,шасси летательного аппарата,225
P560,direction,направление,36
P6241,collection creator,создатель коллекции,6094
P1596,penalty,наказание,1918
P881,type of variable star,тип переменной звезды,385883
P4387,update method,метод обновления,119
P5030,talk show guest,гость ток-шоу,15550
P2341,indigenous to,происходит из,18247
P8097,network bands,сетевые диапазоны,26
P6106,uses capitalization for,использует заглавные буквы для,38
P4132,linguistic typology,языковая типология,2248
P8938,artistic director,художественный руководитель,78
P1027,conferred by,награда от,15110
P4070,identifier shared with,разделяет идентификатор с,19
P785,hymenium attachment,тип прикрепления гимения,893
P941,inspired by,вдохновлено,5758
P1877,after a work by,в результате влияния работы,12339
P4969,derivative work,производная работа,19804
P6440,maintenance method,метод обслуживания,38
P3969,signed form,жестовая форма,3
P6237,real estate developer,застройщик,79
P1915,gene inversion association with,инверсия гена связана с,2
P92,main regulatory text,главный регулирующий текст,9320
P520,armament,вооружение,5520
P5028,sound designer,звукорежиссёр,3237
P925,presynaptic connection,пресинаптическая связь,6
P4844,research intervention,параметр исследования,148111
P205,basin country,бассейн объекта в странах,17703
P8111,recommended unit of measurement,рекомендуемая единица измерения,1167
P943,programmer,программист,388
P8744,economy of topic,экономика темы,1377
P1028,donated by,подарок от,9673
P8225,is metaclass for,метакласс для,372
P3452,inferred from,вывод из,2
P447,review score by,оценка от,14
P7086,start grade,начальный класс,3730
P6224,level of description,уровень описания,628069
P2392,teaching method,методика обучения,58
P2817,appears in the heritage monument list,входит в состав списка памятников культурного наследия,268047
P2596,culture,культура,10030
P1478,has immediate cause,непосредственной причиной является,125023
P9493,artist files at,файлы артиста по адресу,55899
P1018,language regulatory body,регулятор языка,208
P485,archives at,архивы хранятся в,75475
P2507,corrigendum / erratum,публикация со списком ошибок и неточностей,33265
P2912,distinctive jersey,отличительный знак лидера,2
P3310,muscle action,действие мышцы,253
P2974,habitat,среда обитания,162
P3301,broadcast by,транслируется на,7431
P1654,wing configuration,аэродинамическая схема,1109
P2681,is recto of,лицевая сторона для,164
P1568,definition domain,область определения,125
P1914,gene insertion association with,генная вставка связана с,2
P5236,prime factor,простой множитель,151194
P2964,right to vote,право голоса,68
P97,noble title,титул,54552
P1136,solved by,кем решена,116
P1851,input set,область определения частично определённой функции,32
P16,transport network,система автомагистралей,52704
P1622,driving side,сторона автомобильного движения,428
P4082,captured with,снято на,20
P5025,gens,древнеримский род,6395
P1897,highest note,верхняя нота,6
P3093,recovered by,возвращён,57
P4661,reservoir created,дамбовое водохранилище,3203
P3148,repeals,отменяет,28838
P6153,research site,место проведения исследования,266976
P5642,risk factor,фактор риска,198
P4878,symbolizes,символизирует,51
P5072,presented in,представлено на,846
P3919,contributed to creative work,является соавтором опубликованной работы,5086
P5658,railway traffic side,сторона железнодорожного движения,282
P9883,created for,создано для,35
P811,academic minor,второстепенный общеобразовательный предмет,103
P19,place of birth,место рождения,3035164
P4320,mountains classification,горная классификация,10054
P501,enclave within,анклав в,249
P8258,field of training,область обучения,19
P3415,start period,начало периода,58
P9714,taxon range,ареал таксона,60
P5133,has evaluation,имеет оценку,24
P3091,mount,верховое животное,746
P3440,time signature,размер такта,81
P1429,has pet,питомец,318
P3938,named by,кем названо,628
P6087,coach of sports team,тренер спортивной команды,11850
P3871,tributary orientation,сторона притока,547
P3082,destroyed,уничтожено,283
P1591,defendant,обвиняемый,4610
P642,of,относится к,5091
P1703,is pollinated by,опылитель,79
P6195,funding scheme,схема финансирования,3765
P3780,active ingredient in,является активным ингредиентом в,2529
P2414,substrate of,сырьё для,9
P4000,has fruit type,имеет плод типа,3039
P2746,production statistics,статистика производства,52
P4600,polymer of,полимер для,71
P4444,reward,вознаграждение,24
P3858,route diagram,маршрутная карта,3626
P2852,emergency phone number,номер телефона экстренной службы,634
P834,train depot,железнодорожное депо,691
P702,encoded by,кодирующий ген,976836
P9899,music created for,музыка создана для,182
P2682,is verso of,оборотная сторона для,165
P2279,ambitus,амбитус,37
P9597,type of lens,тип линз,1726
P545,torch lit by,кем зажжён факел,73
P4151,game mechanics,игровая механика,1760
P2869,record or record progression,рекорд или история рекордов,172
P725,voice actor,актёр озвучивания,63208
P6962,narrative motif,литературный мотив,431
P1620,plaintiff,истец,365
P397,parent astronomical body,родительское тело,12507
P459,determination method,метод определения,329
P1299,depicted by,изображается на,10979
P3989,members have occupation,род деятельности членов,1768
P7959,historic county,историческое графство,782765
P462,color,цвет,195178
P1776,circle of,из круга,7
P6540,multi-channel network,многоканальная сеть,44
P3261,anatomical branch of,анатомически ответвляется от,415
P5314,property scope,используется как,1
P241,military branch,вид или род войск,114815
P1891,signatory,подписавшийся,17166
P8864,identity element,нейтральный элемент,6
P2842,place of marriage,место свадьбы,3
P3174,art director,арт-директор,1254
P734,family name,фамилия,3641074
P2429,expected completeness,ожидаемая полнота,3866
P421,located in time zone,часовой пояс,2008070
P6587,league system,система спортивных лиг,231
P410,military rank,воинское звание,157572
P3335,associated hazard,грозящая опасность,71
P1640,curator,куратор,1600
P546,docking port,док-порт,56
P1046,discovery method,метод обнаружения,4253
P942,theme music,музыкальная тема,3967
P8363,study type,тип исследования,349385
P2989,has grammatical case,имеет падежи,430
P7419,gender educated,пол студентов,2904
P5012,special rank,специальное звание или классный чин,715
P1445,fictional universe described in,вымышленная вселенная описана в,4613
P7078,typing discipline,типизация данных,774
P3701,incarnation of,воплощение для,88
P3438,vehicle normally used,обычно используемое транспортное средство,2901
P9600,oral history at,устная история в,743
P5132,suggests the existence of,предполагает болезнь,234
P826,tonality,тональность,5039
P873,phase point,фазовая точка,27
P1652,referee,рефери,19997
P3447,mirrors data from,повторяет данные из,8
P765,surface played on,тип покрытия,3968
P3262,has anatomical branch,анатомически ветвится на,286
P5026,lighting designer,художник-осветитель,5171
P9215,set during recurring event,происходит во время повторяющегося события,3770
P634,captain,капитан,539
P3150,birthday,день рождения,3191
P7936,business model,бизнес-модель,2359
P9353,does not have cause,не имеет причиной,11
P101,field of work,область деятельности,252599
P562,central bank/issuer,эмитент,443
P1589,lowest point,глубочайшая точка,512
P5323,attested in,подтверждено в,121128
P924,possible treatment,лечение,699
P1595,charge,предъявленное обвинение,4516
P1196,manner of death,род смерти,100146
P3095,practiced by,практикуется,4814
P8413,academic appointment,академическое назначение,3220
P2376,superpartner of,суперсимметричный партнёр для,21
P102,member of political party,член политической партии,502780
P1536,immediate cause of,является непосредственной причиной,18761
P1479,has contributing factor,способствовавшим фактором является,588
P9831,release of,является релизом,2480
P870,instrumentation,инструментовка,7611
P6977,review of,рецензия на,9683
P199,business division,бизнес-подразделения,1686
P669,located on street or square,расположен на улице,164995
P780,symptoms and signs,симптомы,10915
P970,neurological function,неврологическая функция,4
P3263,base,основание фигуры,116
P878,avionics,авионика,168
P1349,ploidy,плоидия,41
P8411,set in environment,происходит в типе места,15928
P7501,audio system,аудио-система,2087
P7010,imprimatur granted by,Имприматур дан,5
P3781,has active ingredient,имеет активный ингредиент,2691
P612,mother house,головной монастырь,820
P748,appointed by,кем назначен,5538
P3931,copyright holder,владелец авторских прав,3231
P8693,fandom,фэндом,63
P8738,permits,разрешает,23
P1029,crew member(s),члены экипажа,2976
P3679,stock market index,фондовый индекс,76
P1283,filmography,фильмография,1518
P2388,office held by head of the organization,должность руководителя организации,12812
P3902,had as last meal,последняя трапеза,72
P172,ethnic group,этническая группа,160731
P872,printed by,отпечатано,2905
P4967,prerequisite,предпосылка,191
P4884,court,суд,21138
P5196,output method,способ вывода,305
P552,handedness,рабочая рука,2257
P7779,member of military unit,состоит в воинском формировании,2490
P6193,ratified by,ратифицирован(о/а),2631
P5589,microstructure,микроструктура,5
P5248,medical evacuation to,медицинская эвакуация в,36
P5707,samples from work,образец,160
P624,guidance system,тип системы наведения,248
P789,edibility,съедобность,792
P4032,reviewed by,рецензент,510
P832,public holiday,официальный праздник,1481
P2868,subject has role,в качестве,353857
P2012,cuisine,кухня,2328
P194,legislative body,законодательный орган,4257
P9059,subdivision of this unit,делится на единицы,133
P567,underlies,висячий бок,1542
P1604,biosafety level,уровень биологической безопасности,12
P9419,personal library at,личная библиотека хранится в,285
P3416,end period,окончание периода,15
P1290,godparent,крёстный родитель,1464
P1594,judge,судья,9995
P8431,course,тип блюда,95
P2975,host,носитель,7413
P7075,mod of,мод для,186
P5021,assessment,оценивался тест,25144
P2384,statement describes,элемент или утверждение описывает,197
P248,stated in,утверждается в,785
P6339,reports periodicity,интервал значений,18159
P4622,trophy awarded,вручаемая награда,255
P887,based on heuristic,на основе эвристики,1
P4792,dam,плотина,3135
P6291,advertises,рекламирует,866
P739,ammunition,патрон,2509
P1074,fictional analog of,аналог в реальном мире,1877
P607,conflict,война/сражение,221623
P553,website account on,учётная запись в социальных медиа,2218
P4791,commanded by,командир,3546
P1303,instrument,музыкальный инструмент,210870
P3028,open period to,сезон открыт до,13
P7378,item disputed by,оспаривается,13
P1433,published in,опубликовано в,37916091
P937,work location,место активности,339031
P610,highest point,наивысшая точка,5503
P208,executive body,исполнительная власть,1672
P8670,character designer,дизайнер персонажей,1818
P2738,disjoint union of,является одним и только одним из,458
P790,approved by,получил одобрение от,29098
P817,decay mode,тип распада,3
P3831,object has role,значение выступает в роли,65
P2575,measures,измеряет,252
P2445,metasubclass of,метаподкласс от,41
P1779,possible creator,возможный создатель,38
P86,composer,композитор,188471
P7781,exonerated of,реабилитрован в,48
P5769,editor-in-chief,шеф-редактор,2325
P7152,copyright exemption,исключение из авторского права,1
P2770,source of income,источник дохода,500
P926,postsynaptic connection,постсинаптическая связь,7
P530,diplomatic relation,дипломатические отношения,7046
P47,shares border with,имеет границы с,605173
P461,opposite of,противоположно,23857
P460,said to be the same as,предположительно одно и то же с,285208
P3373,sibling,брат/сестра,407131
P26,spouse,супруг(а),731197
P7047,enemy of,враг,3809
P451,unmarried partner,сожитель,14156
P1889,different from,не путать с,801466
P3403,coextensive with,занимает ту же территорию с,4076
P190,twinned administrative body,город-побратим,48990
P2152,antiparticle,античастица,79
P1382,partially coincident with,частично совпадает с,17887
P4777,has boundary,имеет границей,1156
P1038,relative,родственник,52123
P197,adjacent station,соседний остановочный пункт,209079
P833,interchange station,станция пересадки,3685
P2789,connects with,соединяется с,183333
P3342,significant person,значимый человек,15439
P1327,partner in business or sport,партнёр в спорте или профессии,17571
P399,companion of,компаньон,4476
P1420,taxon synonym,синоним таксона,21387
P129,physically interacts with,взаимодействует с,9480
P1322,dual to,двойственнен к,351
P2375,has superpartner,суперсимметричный партнёр,20
P1639,pendant of,пандан для,2268
P3032,adjacent building,смежное здание,5242
P6185,tautomer of,таутомер,1063
P3179,territory overlaps,территория перекрывается с,8370
P144,based on,создано на основе,52294
P737,influenced by,испытал влияние от,18552
P2444,homoglyph,омоглиф,1752
P8865,mathematical inverse,обратно к,84
P2329,antagonist muscle,мышца-антагонист,101
P684,ortholog,ортолог,4320878
P2652,partnership with,в партнёрстве с,3328
P3364,stereoisomer of,стереоизомер для,2013
P53,family,род,89379
P1416,affiliation,принадлежит к,86685
P3113,does not have part,не включает,499
P514,interleaves with,перемежается с,31
P2860,cites work,ссылается на,285213488
P8956,compatible with,совместим с,222
P807,separated from,отделилось от,2321
P1557,manifestation of,является воплощением,2120
P2210,relative to,по отношению к,48
P4675,appears in the form of,появляется в виде,373
P6477,does not have quality,не обладает свойством,344
P2650,interested in,область интересов,14947
P547,commemorates,в память о,26003
P5004,in opposition to,против,461
P1268,represents,представляет,5411
P825,dedicated to,посвящено,50406
P7719,generalization of,влечёт за собой,37
P31,instance of,это частный случай понятия,103114325
P1441,present in work,представлено в работе,126749
P828,has cause,причиной является,9257
P1542,has effect,вызывает,5715
P2737,union of,является объединением,375
