id,en,de,es,fr,count
P784,mushroom cap shape,Hutform,tipo de sombrero,type de chapeau,878
P680,molecular function,Molekularfunktion,función molecular,fonction moléculaire,1210166
P4443,card network,Kreditkarten-Netzwerk,red de tarjeta,réseau de carte bancaire,54
P35,head of state,Staatsoberhaupt,jefe de Estado,chef d'État,1834
P2715,elected in,gewählt in,electo en,élection,182
P1677,index case of,Indexpatient von,caso índice de,patient zéro de,29
P589,point group,Punktgruppe,grupo puntual,groupe ponctuel,274
P516,powered by,angetrieben von,impulsado por,origine mécanique de l'énergie,11070
P1142,political ideology,politische Weltanschauung,ideología política,idéologie politique,23673
P7095,end grade,höchste Klassenstufe,grado final,plus haut niveau scolaire,3729
P8345,media franchise,Medien-Franchise,franquicia de medios,franchise médiatique,27415
P2700,protocol,Protokoll,protocolo,protocole d'accès,231
P1911,increased expression in,erhöhte Expression in,expresión incrementada en,expression accrue dans,148
P2827,flower color,Blütenfarbe,color de las flores,couleur des fleurs,550
P2962,title of chess person,Titel (im Schachsport),título de ajedrecista,titre au jeu d'échecs,31173
P9241,demographics of topic,Demografie des Objekts,demografía del elemento,démographie du sujet,1155
P4688,geomorphological unit,geomorphologische Einheit,unidad geomorfológica,unité géomorphologique,1899
P2159,computes solution to,löst,resuelve,résout,119
P6437,day of regular release,Tag der Veröffentlichung,día de lanzamiento regular,jour de parution,87
P2568,repealed by,aufgehoben durch,abrogado por,abrogé par,33372
P823,speaker,Redner,orador,orateur,5263
P4100,parliamentary group,Fraktion,grupo parlamentario,groupe parlementaire,1971
P495,country of origin,Ursprungsland,país de origen,pays d’origine,1342364
P1056,product or material produced,Produkt,producto,produit,45597
P5053,fastest lap,schnellste Runde,vuelta más rápida,auteur du meilleur tour,2718
P8115,eligible recipient,für Erhalt qualifiziert,posible receptor,bénéficiaire éligible,67
P2348,time period,Zeitraum,periodo histórico,période,202508
P3602,candidacy in election,kandidiert für,candidato en la elección,candidat à l'élection,157377
P3610,fare zone,Tarifzone,zona tarifaria,zone tarifaire,5160
P3033,package management system,Paketverwaltung,sistema de gestión de paquetes,gestionnaire de paquets,191
P6819,calligrapher,Kalligraph,calígrafo,calligraphe,278
P1412,"languages spoken, written or signed",gesprochene oder publizierte Sprachen,"lenguas habladas, escritas o signadas","langues parlées, écrites ou signées",2212454
P277,programming language,Programmiersprache,lenguaje de programación,langage de programmation,12170
P1308,officeholder,Amtsinhaber,titular del cargo,titulaire,17417
P750,distributed by,Distributor,distribuidor,distribué par,155113
P4147,conjugate acid,konjugierte Säure,ácido conjugado,acide conjugué,365
P9191,letterer,Letterer,letrista,lettreur,231
P453,character role,Rolle,rol,rôle,506
P787,spore print color,Sporenpulverabdruck,color de espora,couleur de sporée,727
P840,narrative location,Handlungsort,lugar de la narración,lieu de l'action,88410
P5832,political coalition,Koalition,coalición política,coalition politique,146
P3437,people or cargo transported,transportiertes Gut oder Passagiere,carga o personal transportado,cargaison,223
P3103,has tense,hat grammatische Zeitform,tiene como tiempo gramatical,a comme temps grammatical,145
P364,original language of film or TV show,Originalsprache,idioma de la película o programa de televisión,langue originelle du film ou de l'émission de télévision,378548
P6532,has phenotype,hat Phänotyp,tiene el fenotipo,a un phénotype,169
P4324,combination classification,Kombinationswertung,clasificación de la combinada,classement du meilleur au combiné,669
P4543,has listed ingredient,aufgeführter Bestandteil,ingrediente listado,ingrédient indiqué,604
P5134,evaluation of,Auswertung von,evaluación de,évaluation de,26
P88,commissioned by,Auftraggeber,comisionador,commanditaire,23361
P3189,innervated by,innerviert durch,inervado por,innervé par,288
P1885,cathedral,Kathedrale,catedral,cathédrale,2129
P3092,film crew member,Mitglied des Filmstabs,miembro del equipo de filmación,membre de l'équipe du film,4957
P9810,remix of,Remix von,remezclar de,remix de,85
P427,taxonomic type,nomenklatorischer Typ,tipo taxonómico,type taxinomique,28509
P2587,has phoneme,enthält Phonem,tiene el fonema,a le phonème,99
P1423,template has topic,Hauptthema der Vorlage,tema tiene plantilla,sujet principal d'un modèle,21347
P1011,excluding,ausgenommen,excluyendo,non pris en compte,6
P7984,depicted format,abgebildetes Format,formato representado,type de vue,915
P4586,type foundry,Schriftgießerei,empresa diseñadora de tipos,fonderie typographique,414
P1918,altered regulation leads to,geänderte Regulation führt zu,regulación alterada resulta en,conséquence d'une altération de la régulation,14
P1995,health specialty,medizinisches Fachgebiet,especialidad sanitaria,spécialité médicale,10251
P4185,iconographic symbol,ikonografisches Symbol,símbolo iconográfico,symbole iconographique,223
P415,radio format,Radioformat,formato de radio,format radio,3611
P3833,diaspora,Diaspora,diáspora,diaspora,271
P5872,perfume note,Duftnote,nota del perfume,note d'un parfum,20
P1910,decreased expression in,verringerte Expression in,expresión reducida por,expression réduite par,27
P654,direction relative to location,Richtung relativ zur Position,dirección relativa a la posición,direction relative au lieu,25
P1310,statement disputed by,Aussage bestritten von,afirmación disputada por,contesté par,5
P1444,destination point,geografischer Endpunkt,lugar de finalización,destination du parcours,25418
P1678,has vertex figure,Folgefläche beim Abstumpfen,figura de vértice,figure de sommet,223
P5353,school district,Schulbezirk,distrito escolar,district scolaire,9776
P4330,contains,enthält,contiene,contient,8223
P1032,Digital Rights Management system,Digital-Rights-Management-System,sistema de gestión de derechos digitales,système de mesures techniques de protection,119
P803,professorship,Professur,cátedra universitaria,chaire universitaire,12294
P5095,fault,Verwerfung,falla,faille,20
P118,league,Liga,liga,ligue,192606
P2633,geography of topic,Geographie,geografía,géographie,726
P800,notable work,bedeutende Werke,obra destacada,œuvre notable,96303
P1775,follower of,Anhänger von,seguidor de,suiveur de,22
P1606,natural reservoir of,Erregerreservoir von,reservorio natural de,réservoir naturel de,17
P1264,valid in period,betroffener Zeitraum,periodo aplicable,période applicable,219
P4774,biological phase,biologische Phase,fase biológica,phase biologique,21
P3739,inflorescence,Blütenstand,inflorescencia,inflorescence,166
P27,country of citizenship,Land der Staatsangehörigkeit,país de nacionalidad,pays de citoyenneté,4414018
P1660,has index case,hat Indexpatient,tiene como caso índice,patient zéro,28
P3274,content deliverer,Serviceprovider,proveedor de contenido,fournisseur du contenu,6
P2679,author of foreword,Autor des Vorworts,autor del prefacio,auteur de la préface,1524
P913,notation,Notation,notación,notation,213
P1909,side effect,Nebenwirkung,efecto secundario,effet secondaire,40
P1534,end cause,Ursache der Beendigung,causa del fin,motif de fin,166
P2079,fabrication method,Herstellungsmethode,método de fabricación,méthode de fabrication,126027
P1605,has natural reservoir,hat Erregerreservoir,tiene reservorio natural,a pour réservoir naturel,443
P5052,supervisory board member,Aufsichtsratmitglied,miembro del consejo de supervisión,membre du conseil de surveillance,745
P8852,facial hair,Gesichtshaar,vello facial,pilosité faciale,362
P1537,contributing factor of,Co-Faktor von,factor contribuyente de,facteur contributif de,324
P6099,clinical trial phase,Studienphase,fase de ensayo clínico,phase d'essai clinique,177424
P6259,epoch,Epoche,época,époque,8076516
P9234,supplement to,Beilage,suplemento de,supplément de,140
P9745,translation of,Übersetzung von,traducción de,traduction de,403
P1211,fuel system,Kraftstoffversorgung,sistema de alimentación,type d'alimentation en carburant,179
P4195,category for employees of the organization,Kategorie für Angestellte der Organisation,categoría para empleados de la organización,catégorie pour les employés de l'organisation,3215
P2881,promoted,Aufsteiger,promovido,promu,1221
P469,lakes on river,See im Verlauf,lagos y embalses en el curso de agua,lac sur le cours d'eau,3369
P542,officially opened by,offiziell eröffnet von,abierto oficialmente por,officiellement ouvert par,1043
P8739,prohibits,verbietet,prohíbe,interdit,16
P2318,debut participant,Debütteilnehmer,debutante,première participation,217
P2675,reply to,Antwort auf,respuesta a,réponse à,381
P3433,biological variant of,biologische Nebenform von,variante biológica de,variante biologique de,2085
P87,librettist,Librettist,libretista,librettiste,7348
P1078,Valvetrain configuration,Ventiltrieb,Sistema mecánico,configuration de la commande des soupapes,225
P1363,points/goal scored by,Punkt/Treffer erzielt durch,puntos/goles marcados por,point/but marqué par,2441
P768,electoral district,Wahlbezirk,circunscripción electoral,circonscription électorale,18984
P1227,astronomical filter,astronomischer Filter,filtro astronómico,filtre astronomique,19
P1060,pathogen transmission process,Krankheitserregerübertragungsprozess,proceso de transmisión del patógeno,processus de transmission pathogène,315
P1068,instruction set,Befehlssatz,conjunto de instrucciones,jeu d'instructions,446
P358,discography,Diskografie,discografía,discographie,11845
P84,architect,Architekt,arquitecto,architecte,74959
P3496,teams classification by points,Mannschaftsklassifikation nach Punkten,clasificación de equipos por puntos,classement par équipe aux points,963
P6118,season ends,Saisonende,fin de la temporada,fin de la saison,38
P3985,supports programming language,unterstützte Programmiersprache,lenguaje de programación soportado,langage de programmation supporté,228
P8810,parent,Elternteil,padres,parent (non spécifié),12
P4733,produced sound,erzeugtes Geräusch,sonido producido,son émis,56
P2505,carries,überführt,permite el paso de,permet de faire passer,12347
P1057,chromosome,Chromosom,cromosoma,chromosome,608704
P2680,author of afterword,Autor des Nachworts,autor del epílogo,auteur de la postface,96
P5054,cabinet,Kabinett,gabinete,gouvernement,5
P744,asteroid family,Asteroidenfamilie,familia de asteroides,famille d'astéroïdes,184
P1080,from narrative universe,aus narrativem Universum,del universo de ficción,tiré de l'univers de fiction,30781
P1875,represented by,repräsentiert von,representante,représenté par,8007
P135,movement,Bewegung,movimiento,mouvement,58509
P1210,supercharger,Kompressor,supercargador,système de suralimentation,7
P7500,comorbidity,Komorbidität,comorbilidad,comorbidité,19
P618,source of energy,Energiequelle,fuente de energía,source d'énergie,6176
P923,medical examinations,medizinische Untersuchungen,exámenes posibles,examens possibles,989
P788,mushroom ecological type,Lebensart des Pilzes,tipo de ecología de la seta,type écologique de champignon,967
P2632,place of detention,Haftort,lugar de encarcelamiento,lieu de détention,144480
P2935,connector,Anschluss,conector,connecteur,786
P1012,including,einschließlich,incluyendo,pris en compte,59
P4322,best sprinter classification,Sprintwertung,Clasificación de las metas volantes,classement du meilleur sprinteur,1461
P1547,depends on software,abhängig von,depende del software,dépend de,18184
P8032,victim,Opfer,víctima,victime,848
P272,production company,Produktionsgesellschaft,empresa productora,société de production,117973
P1419,shape,Form,forma,forme géométrique,1775
P5824,is retracted by,ist zurückgezogen worden von,es retractado por,rétractation,1462
P2416,sports discipline competed in,Sportdisziplin,disciplina deportiva,discipline sportive pratiquée en compétition,47958
P3828,wears,trägt,vestimenta,élément de parure,1707
P5389,permanent resident of,mit Niederlassungserlaubnis in,residente permanente de,résident permanent de,1285
P4006,overrules,überstimmen,prevalece sobre,l'emporte sur,10
P69,educated at,besuchte Bildungseinrichtung,educado en,scolarité,2263949
P189,location of discovery,Fundort,lugar de descubrimiento,lieu de découverte,26237
P3094,develops from,entwickelt sich aus,se desarrolla de,se développe de,106
P2825,via,via,vía,via,851
P4934,calculated from,berechnet aus,calculado a partir de,calculé à partir de,578
P2462,member of the deme,Mitglied im Demos,miembro del demo,membre du dème,195
P2937,parliamentary term,Legislaturperiode,legislatura,législature,6368
P2828,corporate officer,leitender Angestellter,funcionario de la corporación,cadre dirigeant,95
P400,platform,Plattform,plataforma,plateforme,95318
P4353,nominated by,vorgeschlagen von,nominado por,nommé à ce poste par,230
P690,space group,Raumgruppe,grupo espacial,groupe spatial,2226
P681,cell component,Zellkomponente,componente celular,composant cellulaire,899727
P425,field of this occupation,Betätigungsfeld des Berufes,ámbito de la ocupación,domaine d'occupation,5724
P6364,official color,offizielle Farbe,color oficial,couleur officielle,3085
P1789,chief operating officer,Chief Operating Officer,jefe de operaciones,directeur de l'exploitation,68
P1049,worshipped by,Gottheit von,venerado por,fait l'objet d'une vénération par,2328
P831,parent club,Mutterverein,club principal,club parent,4469
P1881,list of characters,Liste der Charaktere,lista de personajes,liste des personnages,877
P2289,venous drainage,venöse Abstrom,drenaje venoso,drainage veineux,164
P2175,medical condition treated,zur Behandlung von benutzt,condición médica tratada,maladie traitée,6990
P3512,means of locomotion,Fortbewegungsweise,medio de locomoción,moyen de locomotion,102
P3741,seed dispersal,Samenausbreitung,dispersión de semillas,dissémination des graines,9
P8701,has census,hat Volkszählung,censo de la población,recensement de la population effectué,596
P1731,Fach,Stimmfach,especialización vocal,Fach,390
P2353,statistical unit,statistische Einheit,unidad estadística,granularité,25
P1571,codomain,Zielmenge,codominio,ensemble d'arrivée,76
P972,catalog,Katalog,catálogo,catalogue,69053
P3461,designated as terrorist by,als terroristisch eingestuft von,considerado terrorista por,désigné comme terroriste par,236
P688,encodes,codiert,codifica,synthètise,973832
P1898,lowest note,tiefste Note,nota más baja,note la plus basse,9
P6116,chord progression,Akkordprogression,progresión armónica,progression d'accords,25
P1592,prosecutor,Ankläger,fiscal,procureur,426
P5051,towards,Endhaltestelle,destino,destination,64
P200,inflows,Zufluss,alimentación,alimentation,14492
P1924,vaccine for,Impfstoff für,vacuna para,vaccin pour,203
P703,found in taxon,auffindbar in Taxon,hallado en el taxón,trouvé dans le taxon,2881165
P4954,may prevent,kann verhindern,puede prevenir,peut prévenir,10
P5816,state of conservation,Erhaltungszustand,estado de conservación,état de conservation,32874
P4614,drainage basin,Einzugsgebiet,cuenca hidrográfica,bassin versant,79349
P2308,class,Klasse,clase,classe,2
P3501,Christian liturgical rite,katholischer Ritus,rito cristiano,rite catholique,14867
P2673,next crossing upstream,nächste Querung flussaufwärts,próximo cruce río arriba,précédent franchissement en amont,1546
P1706,together with,zusammen mit,junto con,avec,71
P1318,proved by,bewiesen durch,probado por,prouvé ou démontré par,124
P2551,used metre,Metrum,métrica usada,métrique utilisée,344
P2578,studies,studiert,estudia,objet de la discipline,1945
P812,academic major,Hauptfach im Studium,especialización académica,principale spécialité d'étude,2802
P1887,vice-county,Vice-County,vicecondado,vice-comté,47
P8058,symbol of,Symbol von,símbolo de,symbole de,48
P8764,port calls,Angelaufener Hafen,puerto de escala,port d'escale,25
P4584,first appearance,erstes Erscheinen,primera aparición,première apparition,6813
P1456,list of monuments,Liste der Denkmale,lista de monumentos,liste de biens patrimoniaux,20112
P4446,reward program,Bonusprogramm,programa de beneficios,programme de récompense,276
P65,site of astronomical discovery,astronomischer Entdeckungsort,lugar de descubrimiento astronómico,lieu de découverte astronomique,53748
P1809,choreographer,Choreograf,coreógrafo,chorégraphe,4202
P522,type of orbit,Umlaufbahn,tipo de órbita,type d'orbite,1169
P344,director of photography,Kameramann,director de fotografía,directeur de la photographie,91420
P2319,elector,Wahlleute,elector,électeur,67
P500,exclave of,Exklave von,exclave de,exclave de,130
P2396,image of function,Bildmenge,imagen de la función,image d'une application,47
P1454,legal form,Rechtsform,forma jurídica,forme juridique,196617
P467,legislated by,verabschiedet durch,legislado por,législateur,46713
P795,located on linear feature,befindet sich entlang,situado a lo largo de,situé le long de,1430
P375,space launch vehicle,Trägerrakete,vehículo de lanzamiento espacial,lanceur,6754
P3349,designed to carry,transportiert,diseñado para transportar,conçu pour transporter,164
P2500,league level below,niedrigere Liga,liga inferior,ligue inférieure,6575
P1372,binding of software library,Sprachanbindung für,binding de biblioteca software,liaison de la bibliothèque,29
P2851,payment types accepted,akzeptierte Zahlungsarten,métodos de pago aceptados,méthode de paiement acceptée,39222
P264,record label,Plattenlabel,sello discográfico,label discographique,338037
P1312,has facet polytope,Facette des Polytops,faceta del politopo,polytope de facette,1089
P5102,nature of statement,Art der Behauptung,naturaleza de la declaración,nature de la déclaration,29
P8625,bibliography,Bibliographie,bibliografía,bibliographie,69
P736,cover art by,Covergestalter,artista de la portada,auteur de la couverture ou de la pochette,6641
P6112,category for members of a team,Kategorie für Vereinsmitglieder,categoría para miembros de un equipo,catégorie pour les membres de cette équipe,16667
P2820,cardinality of this set,Mächtigkeit dieser Menge,cardinalidad de este conjunto,cardinalité de cet ensemble,45
P9071,character type,Charaktertypus,tipo de personaje,personnage type,3191
P770,cause of destruction,Grund der Zerstörung,causa de destrucción,cause de la destruction,1374
P1393,proxy,Bevollmächtigte,apoderado,fondé de pouvoir,49
P1170,transmitted signal type,übertragenes Signal,señal transmitida,signal transmis,12
P531,diplomatic mission sent,diplomatische Vertretung,misión diplomática enviada,mission diplomatique envoyée,1693
P4743,animal breed,Tierrasse,raza animal,race animale,8600
P1313,office held by head of government,oberstes Regierungsamt,cargo ocupado por el jefe de gobierno,poste occupé par le chef de l'exécutif,62768
P3037,spatial reference system,Koordinatenbezugssystem,sistema de referencia espacial,système de coordonnées,3
P7045,chassis,Fahrgestell,chasis,châssis,48
P1026,academic thesis,Hochschulschrift,tesis académica,thèse académique,10992
P7261,use restriction status,Status der Verwendungsbeschränkung,restricción de uso,restrictions d'utilisation,415384
P5460,grants,verleiht akademischen Grad,confiere,diplôme ou distinction délivré,689
P6149,running mate,Mitkandidat,candidato a la vicepresidencia,candidat à la vice-présidence,2
P5023,activity policy in this place,Verhaltensanweisung für den Ort,actividad reglamentada en este lugar,politique réglementaire en vigueur sur place,126
P4745,is proceedings from,ausgehend von,actas de,actes de,1584
P3161,has grammatical mood,hat grammatische Stimmung,tiene como modo gramatical,a comme mode grammatical,109
P4312,camera setup,Filmkameraaufbau,posición de cámara,position de caméra,1869
P8791,digitised by,digitalisiert von,digitalizado por,numérisé par,2702
P1194,received signal type,empfangenes Signal,señal recibida,signal capté,3
P2095,co-driver,Beifahrer,copiloto,copilote,48
P720,asteroid spectral type,Spektraltyp des Asteroiden,tipo espectral de asteroide,type spectral de l'astéroïde,419
P658,tracklist,Titelliste,lista de canciones,liste des chansons,33672
P991,successful candidate,erfolgreicher Kandidat,elegido,élu,23166
P2238,official symbol,offizielles Symbol,símbolo oficial,symbole officiel,1419
P2674,next crossing downstream,nächste Querung flussabwärts,próximo cruce río abajo,prochain franchissement en aval,1563
P8324,funder,Stifter,financiador,financeur,1881
P2701,file format,Dateiformat,formato de archivo,format de fichier,504
P3771,activator of,Aktivator von,activador de,activateur de,9
P5024,choral conductor,Chorleiter,director de coro,chef de chœur,33
P7108,location of the point of view,Standort des Beobachters,lugar del punto de vista,position du point de vue,513
P1780,school of,Schule,escuela de,école de,19
P1340,eye color,Augenfarbe,color de ojos,couleur des yeux,10007
P1302,primary destinations,Hauptorte,destinos principales,principales localités desservies,3923
P6216,copyright status,Urheberrechtsstatus,estatus de los derechos de autor,statut des droits d'auteur,1809459
P6568,inscription mentions,Inschrift erwähnt,mención de la inscripción,mention sur l'inscription,1709
P1876,vehicle,Fahrzeug,nave,vaisseau,840
P3816,film script,Drehbuch,guion cinematográfico,scénario,28
P2378,issued by,ausgestellt von,emitido por,délivré par,1768
P841,feast day,Gedenktag,día de festividad,fête,8727
P608,exhibition history,Ausstellungen,historial de exposiciones,exposition,26567
P2822,by-product of,Nebenprodukt von,subproducto de,sous-produit de,34
P414,stock exchange,Börse,bolsa de valores,place de cotation,13226
P4424,mandates,benötigt,requiere,demande,147
P6439,has lyrics,Liedtext,tiene la letra de,paroles provenant de,393
P7767,serving temperature,Serviertemperatur,temperatura de servido,température de service,29
P412,voice type,Stimmlage,tesitura,tessiture,34211
P289,vessel class,Schiffsklasse,clase de navío,type de vaisseau,13258
P505,general manager,Generaldirektor,director general,manager général,1482
P6365,member category,Kategorie für Mitglieder,categoría de miembros,catégorie pour les membres,3788
P1001,applies to jurisdiction,gehört zum Zuständigkeitsbereich,pertenece a la jurisdicción,ressort territorial,930421
P2499,league level above,höhere Liga,liga superior,ligue supérieure,6638
