id,en,de,es,fr
P8646,expansion of,Erweiterung von,expansión de,extension de
P1956,takeoff and landing capability,Start- und Landeweise,despegue y aterrizaje,décollage et atterrissage
P5998,distributary,Mündungsarm,distributario,défluent
P538,fracturing,Bruch,fractura,cassure
P4968,relevant qualification,relevante Qualifikation,cualificación relevante,qualification pertinente
P784,mushroom cap shape,Hutform,tipo de sombrero,type de chapeau
P680,molecular function,Molekularfunktion,función molecular,fonction moléculaire
P4443,card network,Kreditkarten-Netzwerk,red de tarjeta,réseau de carte bancaire
P35,head of state,Staatsoberhaupt,jefe de Estado,chef d'État
P2715,elected in,gewählt in,electo en,élection
P1677,index case of,Indexpatient von,caso índice de,patient zéro de
P589,point group,Punktgruppe,grupo puntual,groupe ponctuel
P516,powered by,angetrieben von,impulsado por,origine mécanique de l'énergie
P1142,political ideology,politische Weltanschauung,ideología política,idéologie politique
P7095,end grade,höchste Klassenstufe,grado final,plus haut niveau scolaire
P8345,media franchise,Medien-Franchise,franquicia de medios,franchise médiatique
P2700,protocol,Protokoll,protocolo,protocole d'accès
P1911,increased expression in,erhöhte Expression in,expresión incrementada en,expression accrue dans
P2827,flower color,Blütenfarbe,color de las flores,couleur des fleurs
P2962,title of chess person,Titel (im Schachsport),título de ajedrecista,titre au jeu d'échecs
P9241,demographics of topic,Demografie des Objekts,demografía del elemento,démographie du sujet
P4688,geomorphological unit,geomorphologische Einheit,unidad geomorfológica,unité géomorphologique
P2159,computes solution to,löst,resuelve,résout
P6437,day of regular release,Tag der Veröffentlichung,día de lanzamiento regular,jour de parution
P2568,repealed by,aufgehoben durch,abrogado por,abrogé par
P823,speaker,Redner,orador,orateur
P4100,parliamentary group,Fraktion,grupo parlamentario,groupe parlementaire
P495,country of origin,Ursprungsland,país de origen,pays d’origine
P1056,product or material produced,Produkt,producto,produit
P5053,fastest lap,schnellste Runde,vuelta más rápida,auteur du meilleur tour
P8115,eligible recipient,für Erhalt qualifiziert,posible receptor,bénéficiaire éligible
P2348,time period,Zeitraum,periodo histórico,période
P3602,candidacy in election,kandidiert für,candidato en la elección,candidat à l'élection
P3610,fare zone,Tarifzone,zona tarifaria,zone tarifaire
P3033,package management system,Paketverwaltung,sistema de gestión de paquetes,gestionnaire de paquets
P6819,calligrapher,Kalligraph,calígrafo,calligraphe
P1412,"languages spoken, written or signed",gesprochene oder publizierte Sprachen,"lenguas habladas, escritas o signadas","langues parlées, écrites ou signées"
P277,programming language,Programmiersprache,lenguaje de programación,langage de programmation
P1308,officeholder,Amtsinhaber,titular del cargo,titulaire
P750,distributed by,Distributor,distribuidor,distribué par
P4147,conjugate acid,konjugierte Säure,ácido conjugado,acide conjugué
P9191,letterer,Letterer,letrista,lettreur
P453,character role,Rolle,rol,rôle
P787,spore print color,Sporenpulverabdruck,color de espora,couleur de sporée
P840,narrative location,Handlungsort,lugar de la narración,lieu de l'action
P5832,political coalition,Koalition,coalición política,coalition politique
P3437,people or cargo transported,transportiertes Gut oder Passagiere,carga o personal transportado,cargaison
P3103,has tense,hat grammatische Zeitform,tiene como tiempo gramatical,a comme temps grammatical
P364,original language of film or TV show,Originalsprache,idioma de la película o programa de televisión,langue originelle du film ou de l'émission de télévision
P6532,has phenotype,hat Phänotyp,tiene el fenotipo,a un phénotype
P4324,combination classification,Kombinationswertung,clasificación de la combinada,classement du meilleur au combiné
P4543,has listed ingredient,aufgeführter Bestandteil,ingrediente listado,ingrédient indiqué
P5134,evaluation of,Auswertung von,evaluación de,évaluation de
P88,commissioned by,Auftraggeber,comisionador,commanditaire
P3189,innervated by,innerviert durch,inervado por,innervé par
P1885,cathedral,Kathedrale,catedral,cathédrale
P3092,film crew member,Mitglied des Filmstabs,miembro del equipo de filmación,membre de l'équipe du film
P9810,remix of,Remix von,remezclar de,remix de
P427,taxonomic type,nomenklatorischer Typ,tipo taxonómico,type taxinomique
P2587,has phoneme,enthält Phonem,tiene el fonema,a le phonème
P1423,template has topic,Hauptthema der Vorlage,tema tiene plantilla,sujet principal d'un modèle
P1011,excluding,ausgenommen,excluyendo,non pris en compte
P7984,depicted format,abgebildetes Format,formato representado,type de vue
P4586,type foundry,Schriftgießerei,empresa diseñadora de tipos,fonderie typographique
P1918,altered regulation leads to,geänderte Regulation führt zu,regulación alterada resulta en,conséquence d'une altération de la régulation
P1995,health specialty,medizinisches Fachgebiet,especialidad sanitaria,spécialité médicale
P4185,iconographic symbol,ikonografisches Symbol,símbolo iconográfico,symbole iconographique
P415,radio format,Radioformat,formato de radio,format radio
P3833,diaspora,Diaspora,diáspora,diaspora
P5872,perfume note,Duftnote,nota del perfume,note d'un parfum
P1910,decreased expression in,verringerte Expression in,expresión reducida por,expression réduite par
P654,direction relative to location,Richtung relativ zur Position,dirección relativa a la posición,direction relative au lieu
P1310,statement disputed by,Aussage bestritten von,afirmación disputada por,contesté par
P1444,destination point,geografischer Endpunkt,lugar de finalización,destination du parcours
P1678,has vertex figure,Folgefläche beim Abstumpfen,figura de vértice,figure de sommet
P5353,school district,Schulbezirk,distrito escolar,district scolaire
P4330,contains,enthält,contiene,contient
P1032,Digital Rights Management system,Digital-Rights-Management-System,sistema de gestión de derechos digitales,système de mesures techniques de protection
P803,professorship,Professur,cátedra universitaria,chaire universitaire
P5095,fault,Verwerfung,falla,faille
P118,league,Liga,liga,ligue
P2633,geography of topic,Geographie,geografía,géographie
P800,notable work,bedeutende Werke,obra destacada,œuvre notable
P1775,follower of,Anhänger von,seguidor de,suiveur de
P1606,natural reservoir of,Erregerreservoir von,reservorio natural de,réservoir naturel de
P1264,valid in period,betroffener Zeitraum,periodo aplicable,période applicable
P4774,biological phase,biologische Phase,fase biológica,phase biologique
P3739,inflorescence,Blütenstand,inflorescencia,inflorescence
P27,country of citizenship,Land der Staatsangehörigkeit,país de nacionalidad,pays de citoyenneté
P1660,has index case,hat Indexpatient,tiene como caso índice,patient zéro
P3274,content deliverer,Serviceprovider,proveedor de contenido,fournisseur du contenu
P2679,author of foreword,Autor des Vorworts,autor del prefacio,auteur de la préface
P913,notation,Notation,notación,notation
P1909,side effect,Nebenwirkung,efecto secundario,effet secondaire
P1534,end cause,Ursache der Beendigung,causa del fin,motif de fin
P2079,fabrication method,Herstellungsmethode,método de fabricación,méthode de fabrication
P1605,has natural reservoir,hat Erregerreservoir,tiene reservorio natural,a pour réservoir naturel
P5052,supervisory board member,Aufsichtsratmitglied,miembro del consejo de supervisión,membre du conseil de surveillance
P8852,facial hair,Gesichtshaar,vello facial,pilosité faciale
P1537,contributing factor of,Co-Faktor von,factor contribuyente de,facteur contributif de
P6099,clinical trial phase,Studienphase,fase de ensayo clínico,phase d'essai clinique
P6259,epoch,Epoche,época,époque
P9234,supplement to,Beilage,suplemento de,supplément de
P9745,translation of,Übersetzung von,traducción de,traduction de
P1211,fuel system,Kraftstoffversorgung,sistema de alimentación,type d'alimentation en carburant
P4195,category for employees of the organization,Kategorie für Angestellte der Organisation,categoría para empleados de la organización,catégorie pour les employés de l'organisation
P2881,promoted,Aufsteiger,promovido,promu
P469,lakes on river,See im Verlauf,lagos y embalses en el curso de agua,lac sur le cours d'eau
P542,officially opened by,offiziell eröffnet von,abierto oficialmente por,officiellement ouvert par
P8739,prohibits,verbietet,prohíbe,interdit
P2318,debut participant,Debütteilnehmer,debutante,première participation
P2675,reply to,Antwort auf,respuesta a,réponse à
P3433,biological variant of,biologische Nebenform von,variante biológica de,variante biologique de
P87,librettist,Librettist,libretista,librettiste
P1078,Valvetrain configuration,Ventiltrieb,Sistema mecánico,configuration de la commande des soupapes
P1363,points/goal scored by,Punkt/Treffer erzielt durch,puntos/goles marcados por,point/but marqué par
P768,electoral district,Wahlbezirk,circunscripción electoral,circonscription électorale
P1227,astronomical filter,astronomischer Filter,filtro astronómico,filtre astronomique
P1060,pathogen transmission process,Krankheitserregerübertragungsprozess,proceso de transmisión del patógeno,processus de transmission pathogène
P1068,instruction set,Befehlssatz,conjunto de instrucciones,jeu d'instructions
P358,discography,Diskografie,discografía,discographie
P84,architect,Architekt,arquitecto,architecte
P3496,teams classification by points,Mannschaftsklassifikation nach Punkten,clasificación de equipos por puntos,classement par équipe aux points
P6118,season ends,Saisonende,fin de la temporada,fin de la saison
P3985,supports programming language,unterstützte Programmiersprache,lenguaje de programación soportado,langage de programmation supporté
P8810,parent,Elternteil,padres,parent (non spécifié)
P4733,produced sound,erzeugtes Geräusch,sonido producido,son émis
P2505,carries,überführt,permite el paso de,permet de faire passer
P1057,chromosome,Chromosom,cromosoma,chromosome
P2680,author of afterword,Autor des Nachworts,autor del epílogo,auteur de la postface
P5054,cabinet,Kabinett,gabinete,gouvernement
P744,asteroid family,Asteroidenfamilie,familia de asteroides,famille d'astéroïdes
P1080,from narrative universe,aus narrativem Universum,del universo de ficción,tiré de l'univers de fiction
P1875,represented by,repräsentiert von,representante,représenté par
P135,movement,Bewegung,movimiento,mouvement
P1210,supercharger,Kompressor,supercargador,système de suralimentation
P7500,comorbidity,Komorbidität,comorbilidad,comorbidité
P618,source of energy,Energiequelle,fuente de energía,source d'énergie
P923,medical examinations,medizinische Untersuchungen,exámenes posibles,examens possibles
P788,mushroom ecological type,Lebensart des Pilzes,tipo de ecología de la seta,type écologique de champignon
P2632,place of detention,Haftort,lugar de encarcelamiento,lieu de détention
P2935,connector,Anschluss,conector,connecteur
P1012,including,einschließlich,incluyendo,pris en compte
P4322,best sprinter classification,Sprintwertung,Clasificación de las metas volantes,classement du meilleur sprinteur
P1547,depends on software,abhängig von,depende del software,dépend de
P8032,victim,Opfer,víctima,victime
P272,production company,Produktionsgesellschaft,empresa productora,société de production
P1419,shape,Form,forma,forme géométrique
P5824,is retracted by,ist zurückgezogen worden von,es retractado por,rétractation
P2416,sports discipline competed in,Sportdisziplin,disciplina deportiva,discipline sportive pratiquée en compétition
P3828,wears,trägt,vestimenta,élément de parure
P5389,permanent resident of,mit Niederlassungserlaubnis in,residente permanente de,résident permanent de
P4006,overrules,überstimmen,prevalece sobre,l'emporte sur
P69,educated at,besuchte Bildungseinrichtung,educado en,scolarité
P189,location of discovery,Fundort,lugar de descubrimiento,lieu de découverte
P3094,develops from,entwickelt sich aus,se desarrolla de,se développe de
P2825,via,via,vía,via
P4934,calculated from,berechnet aus,calculado a partir de,calculé à partir de
P2462,member of the deme,Mitglied im Demos,miembro del demo,membre du dème
P2937,parliamentary term,Legislaturperiode,legislatura,législature
P2828,corporate officer,leitender Angestellter,funcionario de la corporación,cadre dirigeant
P400,platform,Plattform,plataforma,plateforme
P4353,nominated by,vorgeschlagen von,nominado por,nommé à ce poste par
P690,space group,Raumgruppe,grupo espacial,groupe spatial
P681,cell component,Zellkomponente,componente celular,composant cellulaire
P425,field of this occupation,Betätigungsfeld des Berufes,ámbito de la ocupación,domaine d'occupation
P6364,official color,offizielle Farbe,color oficial,couleur officielle
P1789,chief operating officer,Chief Operating Officer,jefe de operaciones,directeur de l'exploitation
P1049,worshipped by,Gottheit von,venerado por,fait l'objet d'une vénération par
P831,parent club,Mutterverein,club principal,club parent
P1881,list of characters,Liste der Charaktere,lista de personajes,liste des personnages
P2289,venous drainage,venöse Abstrom,drenaje venoso,drainage veineux
P2175,medical condition treated,zur Behandlung von benutzt,condición médica tratada,maladie traitée
P3512,means of locomotion,Fortbewegungsweise,medio de locomoción,moyen de locomotion
P3741,seed dispersal,Samenausbreitung,dispersión de semillas,dissémination des graines
P8701,has census,hat Volkszählung,censo de la población,recensement de la population effectué
P1731,Fach,Stimmfach,especialización vocal,Fach
P2353,statistical unit,statistische Einheit,unidad estadística,granularité
P1571,codomain,Zielmenge,codominio,ensemble d'arrivée
P972,catalog,Katalog,catálogo,catalogue
P3461,designated as terrorist by,als terroristisch eingestuft von,considerado terrorista por,désigné comme terroriste par
P688,encodes,codiert,codifica,synthètise
P1898,lowest note,tiefste Note,nota más baja,note la plus basse
P6116,chord progression,Akkordprogression,progresión armónica,progression d'accords
P1592,prosecutor,Ankläger,fiscal,procureur
P5051,towards,Endhaltestelle,destino,destination
P200,inflows,Zufluss,alimentación,alimentation
P1924,vaccine for,Impfstoff für,vacuna para,vaccin pour
P703,found in taxon,auffindbar in Taxon,hallado en el taxón,trouvé dans le taxon
P4954,may prevent,kann verhindern,puede prevenir,peut prévenir
P5816,state of conservation,Erhaltungszustand,estado de conservación,état de conservation
P4614,drainage basin,Einzugsgebiet,cuenca hidrográfica,bassin versant
P2308,class,Klasse,clase,classe
P3501,Christian liturgical rite,katholischer Ritus,rito cristiano,rite catholique
P2673,next crossing upstream,nächste Querung flussaufwärts,próximo cruce río arriba,précédent franchissement en amont
P1706,together with,zusammen mit,junto con,avec
P1318,proved by,bewiesen durch,probado por,prouvé ou démontré par
P2551,used metre,Metrum,métrica usada,métrique utilisée
P2578,studies,studiert,estudia,objet de la discipline
P812,academic major,Hauptfach im Studium,especialización académica,principale spécialité d'étude
P1887,vice-county,Vice-County,vicecondado,vice-comté
P8058,symbol of,Symbol von,símbolo de,symbole de
P8764,port calls,Angelaufener Hafen,puerto de escala,port d'escale
P4584,first appearance,erstes Erscheinen,primera aparición,première apparition
P1456,list of monuments,Liste der Denkmale,lista de monumentos,liste de biens patrimoniaux
P4446,reward program,Bonusprogramm,programa de beneficios,programme de récompense
P65,site of astronomical discovery,astronomischer Entdeckungsort,lugar de descubrimiento astronómico,lieu de découverte astronomique
P1809,choreographer,Choreograf,coreógrafo,chorégraphe
P522,type of orbit,Umlaufbahn,tipo de órbita,type d'orbite
P344,director of photography,Kameramann,director de fotografía,directeur de la photographie
P2319,elector,Wahlleute,elector,électeur
P500,exclave of,Exklave von,exclave de,exclave de
P2396,image of function,Bildmenge,imagen de la función,image d'une application
P1454,legal form,Rechtsform,forma jurídica,forme juridique
P467,legislated by,verabschiedet durch,legislado por,législateur
P795,located on linear feature,befindet sich entlang,situado a lo largo de,situé le long de
P375,space launch vehicle,Trägerrakete,vehículo de lanzamiento espacial,lanceur
P3349,designed to carry,transportiert,diseñado para transportar,conçu pour transporter
P2500,league level below,niedrigere Liga,liga inferior,ligue inférieure
P1372,binding of software library,Sprachanbindung für,binding de biblioteca software,liaison de la bibliothèque
P2851,payment types accepted,akzeptierte Zahlungsarten,métodos de pago aceptados,méthode de paiement acceptée
P264,record label,Plattenlabel,sello discográfico,label discographique
P1312,has facet polytope,Facette des Polytops,faceta del politopo,polytope de facette
P5102,nature of statement,Art der Behauptung,naturaleza de la declaración,nature de la déclaration
P8625,bibliography,Bibliographie,bibliografía,bibliographie
P736,cover art by,Covergestalter,artista de la portada,auteur de la couverture ou de la pochette
P6112,category for members of a team,Kategorie für Vereinsmitglieder,categoría para miembros de un equipo,catégorie pour les membres de cette équipe
P2820,cardinality of this set,Mächtigkeit dieser Menge,cardinalidad de este conjunto,cardinalité de cet ensemble
P9071,character type,Charaktertypus,tipo de personaje,personnage type
P770,cause of destruction,Grund der Zerstörung,causa de destrucción,cause de la destruction
P1393,proxy,Bevollmächtigte,apoderado,fondé de pouvoir
P1170,transmitted signal type,übertragenes Signal,señal transmitida,signal transmis
P531,diplomatic mission sent,diplomatische Vertretung,misión diplomática enviada,mission diplomatique envoyée
P4743,animal breed,Tierrasse,raza animal,race animale
P1313,office held by head of government,oberstes Regierungsamt,cargo ocupado por el jefe de gobierno,poste occupé par le chef de l'exécutif
P3037,spatial reference system,Koordinatenbezugssystem,sistema de referencia espacial,système de coordonnées
P7045,chassis,Fahrgestell,chasis,châssis
P1026,academic thesis,Hochschulschrift,tesis académica,thèse académique
P7261,use restriction status,Status der Verwendungsbeschränkung,restricción de uso,restrictions d'utilisation
P5460,grants,verleiht akademischen Grad,confiere,diplôme ou distinction délivré
P6149,running mate,Mitkandidat,candidato a la vicepresidencia,candidat à la vice-présidence
P5023,activity policy in this place,Verhaltensanweisung für den Ort,actividad reglamentada en este lugar,politique réglementaire en vigueur sur place
P4745,is proceedings from,ausgehend von,actas de,actes de
P3161,has grammatical mood,hat grammatische Stimmung,tiene como modo gramatical,a comme mode grammatical
P4312,camera setup,Filmkameraaufbau,posición de cámara,position de caméra
P8791,digitised by,digitalisiert von,digitalizado por,numérisé par
P1194,received signal type,empfangenes Signal,señal recibida,signal capté
P2095,co-driver,Beifahrer,copiloto,copilote
P720,asteroid spectral type,Spektraltyp des Asteroiden,tipo espectral de asteroide,type spectral de l'astéroïde
P658,tracklist,Titelliste,lista de canciones,liste des chansons
P991,successful candidate,erfolgreicher Kandidat,elegido,élu
P2238,official symbol,offizielles Symbol,símbolo oficial,symbole officiel
P2674,next crossing downstream,nächste Querung flussabwärts,próximo cruce río abajo,prochain franchissement en aval
P8324,funder,Stifter,financiador,financeur
P2701,file format,Dateiformat,formato de archivo,format de fichier
P3771,activator of,Aktivator von,activador de,activateur de
P5024,choral conductor,Chorleiter,director de coro,chef de chœur
P7108,location of the point of view,Standort des Beobachters,lugar del punto de vista,position du point de vue
P1780,school of,Schule,escuela de,école de
P1340,eye color,Augenfarbe,color de ojos,couleur des yeux
P1302,primary destinations,Hauptorte,destinos principales,principales localités desservies
P6216,copyright status,Urheberrechtsstatus,estatus de los derechos de autor,statut des droits d'auteur
P6568,inscription mentions,Inschrift erwähnt,mención de la inscripción,mention sur l'inscription
P1876,vehicle,Fahrzeug,nave,vaisseau
P3816,film script,Drehbuch,guion cinematográfico,scénario
P2378,issued by,ausgestellt von,emitido por,délivré par
P841,feast day,Gedenktag,día de festividad,fête
P608,exhibition history,Ausstellungen,historial de exposiciones,exposition
P2822,by-product of,Nebenprodukt von,subproducto de,sous-produit de
P414,stock exchange,Börse,bolsa de valores,place de cotation
P4424,mandates,benötigt,requiere,demande
P6439,has lyrics,Liedtext,tiene la letra de,paroles provenant de
P7767,serving temperature,Serviertemperatur,temperatura de servido,température de service
P412,voice type,Stimmlage,tesitura,tessiture
P289,vessel class,Schiffsklasse,clase de navío,type de vaisseau
P505,general manager,Generaldirektor,director general,manager général
P6365,member category,Kategorie für Mitglieder,categoría de miembros,catégorie pour les membres
P1001,applies to jurisdiction,gehört zum Zuständigkeitsbereich,pertenece a la jurisdicción,ressort territorial
P2499,league level above,höhere Liga,liga superior,ligue supérieure
P6886,writing language,geschriebene Sprache,lengua(s) de escritura,langues d'écriture (pour les auteurs publiés seulement)
P1221,compressor type,Kompressortyp,tipo de compresor,type de compresseur
P1002,engine configuration,Motorbauform,configuración del motor,architecture du moteur
P693,cleavage,Spaltbarkeit,exfoliación,clivage
P1777,manner of,nach Art von,a la manera de,à la manière de
P1574,exemplar of,Exemplar von,ejemplar de,exemplaire de
P1387,political alignment,politische Ausrichtung,posición política,position politique
P5444,model year,Modelljahr,año del modelo,année modèle
P91,sexual orientation,sexuelle Orientierung,orientación sexual,orientation sexuelle
P30,continent,Kontinent,continente,continent
P2515,costume designer,Kostümbildner,diseñador de vestuario,costumier
P2577,admissible rule in,gültige Regel in,regla admisible en,admissible en
P2550,recording or performance of,Aufnahme oder Ausführung von,grabación o ejecución de,enregistrement ou interprétation de
P2647,source of material,Herkunft des Materials,origen del material,source du matériau
P611,religious order,Ordensgemeinschaft,orden religiosa,ordre religieux
P2541,operating area,Versorgungsgebiet,área de operación,zone opérationnelle
P3294,encoding,Kodierung,codificación,encodage
P479,input method,Eingabegerät,dispositivo de entrada,périphérique d'entrée
P6885,historical region,historische Region,región histórica,région historique
P837,day in year for periodic occurrence,Jahrestag,día del año de una ocurrencia periódica,jour de l'année
P2058,depositary,Depositar,depositario,dépositaire
P541,office contested,zur Wahl stehendes Amt,cargo que elige,poste en jeu
P588,coolant,Kühlmedium,refrigerante,réfrigérant
P1576,lifestyle,Lebensstil,estilo de vida,style de vie
P1774,workshop of,Werkstatt von,taller de,atelier de
P543,oath made by,Eid abgeleistet von,juramento tomado por,serment prêté par
P504,home port,Heimathafen,puerto de origen,port d'attache
P511,honorific prefix,ehrende Anrede,prefijo honorífico,titre honorifique
P8127,tournament format,Turnierformat,formato de torneo,format du tournoi
P9237,reissue of,Wiederveröffentlichung,reedición de,réédition de
P4908,season,Staffel,temporada,saison
P1199,mode of inheritance,Vererbungsgang,modo de herencia,mode de transmission
P6166,quotes work,wörtlich zitiertes Werk,cita la obra,cite l'œuvre
