id,ru,ja,count
P5800,нарративная роль,作中の役割,4591
P517,фундаментальные взаимодействия,相互作用,291
P7937,форма искусства,創作物の形式,342698
P6872,писал для,寄稿先,3252
P1884,цвет волос,髪の色,11981
P3018,находится в охранной зоне,位置する保護区,36798
P1686,за работу,対象作品,50
P4241,уточнение даты,該当時期,0
P3975,генеральный секретарь,総書記,1431
P140,религия,宗教,444622
P59,созвездие,星座,7371215
P1434,описывает вымышленный мир,舞台の架空世界,15814
P1923,команда-участница,参加チーム,148066
P930,система электрификации,電化方式,5562
P1546,описание девиза,標語,509
P149,архитектурный стиль,建築様式,124958
P1389,сертификат продукта,製品認証基準,8990
P1656,кем торжественно открыт,除幕者,444
P509,причина смерти,死因,115623
P967,почётный гость,来賓,803
P3026,закрыто,休業日,136
P3081,повреждено,半壊,86
P111,физическая величина,測られる物理量,3611
P1013,используемый критерий,使用した基準,69
P8646,дополнение относится к,以下の拡張パック,1507
P5998,речной рукав,派川,119
P538,излом,断口,11
P4968,соответствующая квалификация,関連する資格,55
P680,молекулярная функция,分子機能,1210165
P35,глава государства,元首,1841
P2715,выбран по результатам,選出選挙名,183
P589,точечная группа симметрии,点群,274
P516,движитель,動力装置・エンジン,11110
P1142,политическая идеология,政治イデオロギー,23809
P2700,протокол,プロトコル,231
P2827,цвет цветков,花の色,551
P9241,демография темы,主題の人口統計,1155
P2159,решает,解決可能問題,119
P2568,скорректирован,以下の文書によって廃止,33377
P823,выступающий,講演者,5293
P4100,парламентская группа,会派,1970
P495,страна происхождения,本国,1345801
P1056,продукция,生産品目,45764
P2348,эра,時代,202625
P3602,кандидат на выборах,立候補選挙,158938
P1412,"языки, на которых говорит или пишет персона",使用可能言語,2221570
P1308,должность занимает,在職者,17533
P750,распространяется,配給元,158589
P364,язык оригинала фильма или телешоу,原語,379770
P5134,оценка для,以下の評価,26
P88,заказчик произведения,依頼者,23429
P3189,иннервируется,支配神経,293
P1011,исключая,以下を除く,6
P1995,медицинская специальность,診療科,10263
P415,формат радио,ラジオ・フォーマット,3611
P1310,утверждение оспаривается,この主張の反対者,5
P1444,пункт назначения,目的地,25554
P4330,содержит,内容,8269
P5095,разлом,断層,20
P2633,география темы,主題の地理,726
P800,известная работа,主要作品,96985
P1775,является последователем,以下のフォロワー,22
P1606,является носителем патогена,以下の自然宿主,17
P1264,действительно для периода,あてはまる期間,219
P4774,биологическая фаза,生物学的時期,21
P27,гражданство,国籍,4426813
P3274,хостинг,コンテンツの提供元,6
P2679,автор предисловия,まえがきの筆者,1543
P913,обозначение,表記法,214
P1909,побочный эффект,副作用,39
P2079,метод изготовления,制作技法,126162
P1605,носитель возбудителя инфекции,自然宿主,443
P1537,способствует,以下の寄与因子,324
P2881,вышедшие,選抜された対戦相手,1228
P469,водоём на реке,関係する湖,3384
P542,кем официально открыт,公式開会者,1047
P8739,запрещает,以下を禁止する,16
P2318,дебют для участника,初参加者,217
P4290,официальное приложение,公式アプリ,101
P2675,в ответ на,返信先,387
P275,лицензия,利用許諾,161241
P87,автор либретто,台本作家,7358
P1363,кем забиты голы или набраны очки,得点者,2441
P768,избирательный округ,選挙区,18986
P1068,набор инструкций,命令セット,448
P358,дискография,ディスコグラフィ,11952
P84,архитектор,設計,75317
P6118,окончание сезона,シーズン終了時期,39
P3985,поддерживает язык программирования,サポートするプログラミング言語,228
P2667,шаблон для свойства,対応するテンプレート,860
P8810,родитель,親,13
P4733,производит звук,発生音,56
P2505,несёт на себе,通るもの,12478
P2680,автор послесловия,あとがきの筆者,99
P5054,кабинет,内閣,5
P744,семейство астероидов,小惑星族,184
P1080,из вымышленного мира,登場する架空世界,31385
P1875,кто представляет,仲介者,8117
P135,школа (движение),ムーブメント,58648
P9793,список номеров,セットリスト,140
P1210,нагнетатель,スーパーチャージャー,7
P618,источник энергии,エネルギー源,6188
P923,медицинский осмотр,診察,993
P8107,шина,バス,17
P2632,место содержания под стражей,収監場所,145141
P2935,разъём,コネクタ,788
P1012,включая,以下を含める,59
P171,ближайший таксон уровнем выше,上位タクソン,3600730
P1547,зависит от,依存しているソフトウェア,18192
P5280,радикал,部首,2355
P8032,жертва,被害者,870
P1419,имеет форму,形状,1875
P5824,отозвано в,以下によって撤回,1462
P2416,спортивная дисциплина,競技種目,49498
P3828,надето,以下を着用,1752
P5389,постоянный резидент,永住権保有国,1288
P4006,отвергает,以下の判例を変更,10
P69,учебное заведение,出身校,2269402
P3094,развивается из,以下から発生,110
P2825,через,経由地,861
P4934,вычисляется из,以下から算出,578
P400,платформа,プラットフォーム,98555
P4353,кто номинировал,推薦者,230
P690,кристаллографическая группа,空間群,2228
P681,компонент клетки,細胞の構成要素,899727
P425,сфера деятельности,専門的職業の分野,5765
P1049,божество относится к,信仰元,2380
P831,родительский спортивный клуб,親クラブ,4473
P1881,список персонажей,登場人物の一覧,878
P2175,применяется для лечения,対象となる医学的状態,6992
P3512,способ передвижения,移動手段,103
P418,описание печати/эмблемы,印章の解説,110
P1571,кодомен,終域,76
P3461,признаётся террористической организацией по версии,テロ組織と認定した国,238
P1592,обвинитель,検察官,426
P5051,по направлению к,方面,64
P200,впадающие в озеро реки,流入源,14887
P1924,является вакциной против,ワクチンの対象,203
P703,имеется у таксона,これを持つタクソン,2853804
P5816,современное состояние,保全状態,32936
P2308,класс,クラス,4
P2673,следующая переправа выше по течению,上流側の構築物,1587
P1706,совместно с,以下とともに,72
P1318,кем доказано,証明した人,125
P2578,предмет изучения,研究分野,1954
P812,специальность,大学における専攻,2838
P8058,является символом,以下の象徴,49
P4584,первое появление,初登場,6985
P1456,список памятников,記念碑の一覧,20144
P4446,программа вознаграждения,報奨プログラム,275
P1532,представляет страну в спорте,代表国,201826
P344,кинооператор,撮影監督,91536
P2319,избиратель,選挙人,67
P500,эксклав от,飛地の本体,130
P2396,множество значений,像,47
P1454,организационно-правовая форма,組織形態,197130
P467,принят законодателем,制定した立法府,46724
P3349,предназначен для перевозки,輸送対象,166
P2851,допустимые виды оплаты,料金の支払い方法,39226
P7137,благодарности,謝辞の相手,858
P5102,природа утверждения,情報の状況,29
P8625,библиография,書誌,70
P736,художник обложки,装丁家／ジャケットデザイナー,6718
P9071,тип персонажа,キャラクターのタイプ,3186
P770,причина разрушения,破壊原因,1380
P1393,представитель,代理人,49
P2821,побочный продукт,副産物,49
P647,задрафтован,ドラフト指名したチーム,11790
P531,дипломатическая миссия,在外公館,1710
P1313,должность главы правительства,行政府の長の地位,62785
P5460,присуждает учёную степень,授与する学位・称号,696
P5023,правила поведения в этом месте,利用案内,130
P8791,оцифровано,デジタル化した者,2705
P2095,штурман,コ・ドライバー,48
P537,двойникование,双晶,10
P991,победивший кандидат,当選者,23167
P2238,официальный символ,公式シンボル,1419
P8324,заказчик,資金提供者,1904
P1780,принадлежит школе,所属学派,19
P8047,страна приписки,船籍国,68644
P1876,транспортное средство,船,846
P2378,кем выдан,ID発行者,1797
P608,история выставок,展示歴,26633
P2822,побочный продукт от,以下の副産物,35
P7374,уровень образования,教育段階,81
P414,биржа,証券取引所,13231
P518,указано для части,あてはまる部分,203
P6439,имеет текст,歌詞付き,404
P505,генеральный менеджер,ゼネラルマネージャー,1482
P1001,юрисдикция распространяется на,管轄・適用区域,938663
P6886,язык письменных произведений,記述言語,162201
P1777,в манере,同じスタイルの人物,9
P1574,является экземпляром,以下のものの原本,1740
P1387,позиция в политическом спектре,政治的立場,4250
P91,сексуальная ориентация,性的指向,4111
P30,часть света,大陸,83038
P2515,дизайнер костюмов,衣裳デザイナー,12686
P2647,источник материала,産地,147
P611,монашеский орден,宗教会,33053
P3294,кодировка,符号化,2
P54,член спортивной команды,所属チーム,1546197
P479,способ ввода,入力機器,15149
P6885,исторический регион,歴史的地域,15038
P541,это выборы на должность,争われた公職,42849
P1774,из мастерской,所属していた工房,7
P543,кто давал клятву,宣誓者,90
P1199,тип наследования,遺伝形式,85
P6166,цитирует работу,引用作品,410
P1906,должность главы государства,国家元首の地位,563
P4647,место первого исполнения,初演地,18266
P1079,подрядчик запуска,打ち上げ業者,254
P1399,осуждён за,罪名,10528
P4220,порядок битвы,戦闘序列,409
P2501,результаты,競技結果,84
P735,личное имя,名,6673611
P126,ответственность несёт,管理者,528563
P1408,лицензия на вещание в,放送区域,16665
P5009,соответствует норме,適合基準,163
P1437,признание вины,罪状認否,7
P8626,время открытия,開館時間,9
P533,цель,標的,1496
P816,распадается на,崩壊生成物,7387
P2291,занял место в,チャートイン,1601
P1383,включает населённый пункт,包含する集落,32821
P6758,болеет за команду,支援するスポーツチーム,710
P5817,состояние использования,使用状態,62593
P3005,истинно для места,あてはまる場所,173
P8196,избирательная система,投票制度,1362
P1840,расследуется,調査者,576
P5307,дисплейная технология,ディスプレイ技術,161
P5422,имеет орнамент,装飾パターン,407
P912,оборудован,保有施設,16547
P3967,финальная часть,決勝戦,1860
P3014,применяемый закон,適用法,173
P1192,обслуживается маршрутом,所属運行路線,41150
P4101,диссертация защищалась в,論文の提出先,69721
P2360,целевая аудитория,この項目が想定する対象,7870
P7084,связанная категория,関連するカテゴリ,16261
P2239,меры первой помощи,応急処置,2825
P560,направление,方向,36
P1596,наказание,科刑,1918
P4387,метод обновления,更新方法,119
P5030,гость ток-шоу,トーク番組のゲスト,15550
P2341,происходит из,地域・民族,18247
P1027,награда от,授与者,15110
P941,вдохновлено,着想を得たもの,5758
P1877,в результате влияния работы,原作者,12339
P4969,производная работа,派生作品,19804
P6440,метод обслуживания,保守方法,38
P6237,застройщик,不動産デベロッパー,79
P92,главный регулирующий текст,法的根拠,9320
P520,вооружение,兵装,5520
P925,пресинаптическая связь,シナプス前細胞,6
P205,бассейн объекта в странах,流域国,17703
P8744,экономика темы,主題の経済,1377
P1028,подарок от,寄贈者,9673
P8225,метакласс для,以下のメタクラス,372
P3452,вывод из,以下から推測,2
P6224,уровень описания,説明のレベル,628069
P2392,методика обучения,教育法,58
P2596,культура,文化,10030
P1478,непосредственной причиной является,直接の原因,125023
P485,архивы хранятся в,アーカイブ,75475
P2974,среда обитания,生息地,162
P3301,транслируется на,放送媒体,7431
P5236,простой множитель,素因数,151194
P2964,право голоса,投票権者,68
P97,титул,爵位,54552
P1136,кем решена,解いた人,116
P16,система автомагистралей,道路システム,52704
P1622,сторона автомобильного движения,交通方法,428
P4082,снято на,撮影機器,20
P1897,верхняя нота,最高音,6
P4661,дамбовое водохранилище,ダム湖,3203
P437,распространение произведения,メディア形態,205282
P1171,аппроксимационный алгоритм,近似アルゴリズム,9
P3148,отменяет,以下の文書を廃止,28838
P6153,место проведения исследования,研究施設,266976
P5642,фактор риска,危険因子,198
P1406,направление письма,書字方向,324
P4878,символизирует,象徴するもの,51
P5072,представлено на,発表イベント,846
P3919,является соавтором опубликованной работы,貢献作品,5086
P5658,сторона железнодорожного движения,鉄道の交通方法,282
P19,место рождения,出生地,3035164
P501,анклав в,包領の周囲,249
P3091,верховое животное,騎乗する動物,746
P1429,питомец,ペット,318
P3938,кем названо,命名者,628
P3082,уничтожено,全壊,283
P1591,обвиняемый,被告,4610
P642,относится к,以下についての,5091
P1703,опылитель,送粉者,79
P3780,является активным ингредиентом в,以下の有効成分,2529
P2414,сырьё для,以下の基質,9
P4000,имеет плод типа,果実の種類,3039
P834,железнодорожное депо,列車車庫,691
P702,кодирующий ген,コードしている遺伝子,976836
P2831,тотем,トーテム,21
P545,кем зажжён факел,聖火点火者,73
P459,метод определения,使用された手段・手法,329
P1299,изображается на,描写した作品,10979
P3989,род деятельности членов,メンバーの職業,1768
P462,цвет,色,195178
P1776,из круга,作者と関わりがあったと考えられる人物,7
P6540,многоканальная сеть,マルチチャンネルネットワーク,44
P3261,анатомически ответвляется от,以下の解剖学的分枝,415
P5314,используется как,プロパティの適用範囲,1
P241,вид или род войск,軍種,114815
P1064,ширина колеи,軌間,24421
P1891,подписавшийся,調印者,17166
P8864,нейтральный элемент,単位元,6
P2842,место свадьбы,結婚した場所,3
P3174,арт-директор,美術監督,1254
P4850,допустимая пищевая добавка,許可された食品添加物,1
P2429,ожидаемая полнота,期待される完全性,3866
P421,часовой пояс,標準時間帯,2008070
P6587,система спортивных лиг,リーグ制度,231
P3335,грозящая опасность,関連する危険,71
P1445,вымышленная вселенная описана в,舞台とする作品,4613
P7078,типизация данных,型システム,774
P3701,воплощение для,以下の化身,88
P5132,предполагает болезнь,以下の存在を示唆する,234
P3447,повторяет данные из,データのミラー元,8
P4224,категория содержит,このカテゴリは以下を含む,824636
P765,тип покрытия,サーフェス,3968
P634,капитан,主将,539
P7936,бизнес-модель,ビジネスモデル,2359
P9549,официальный подкаст,公式ポッドキャスト番組,143
P101,область деятельности,専門分野,252599
P5323,подтверждено в,典拠,121128
P3025,дни работы,営業日,3283
P924,лечение,治療,699
P1196,род смерти,死亡状況,100146
P3095,практикуется,従事者,4814
P2376,суперсимметричный партнёр для,以下の超対称性粒子,21
P1880,шкала измерения,測定単位,181
P1536,является непосредственной причиной,以下の直接の原因,18761
P1479,способствовавшим фактором является,寄与因子,588
P6977,рецензия на,以下の評論,9683
P780,симптомы,症状,10915
P970,неврологическая функция,神経機能,4
P8411,происходит в типе места,物語のロケーション,15928
P3781,имеет активный ингредиент,有効成分,2691
P612,головной монастырь,母院,820
P748,кем назначен,任命者,5538
P8738,разрешает,以下を許可する,23
P1029,члены экипажа,乗組員,2976
P1283,фильмография,映画作品目録,1518
P3902,последняя трапеза,最後に摂った食事,72
P872,отпечатано,印刷者,2905
P4967,предпосылка,前提条件,191
P5196,способ вывода,出力機器,305
P6193,ратифицирован(о/а),批准,2631
P5248,медицинская эвакуация в,搬送先医療機関,36
P789,съедобность,食用可能,792
P4032,рецензент,査読者,510
P194,законодательный орган,立法府,4257
P9059,делится на единицы,下位の単位,133
P567,висячий бок,上位層,1542
P7075,мод для,以下のMOD,186
P5021,оценивался тест,受けた試験,25144
P248,утверждается в,出典,785
P6339,интервал значений,測定間隔,18159
P887,на основе эвристики,推測に基づく,1
P1074,аналог в реальном мире,現実世界で対応する概念,1877
P553,учётная запись в социальных медиа,ソーシャルメディア,2218
P4791,командир,指揮官,3546
P1433,опубликовано в,叢書,37916091
P751,новая фунциональность,導入機能,814
P8670,дизайнер персонажей,キャラクターデザイナー,1818
P2738,является одним и только одним из,以下の非交和,458
P790,получил одобрение от,承認者,29098
P817,тип распада,崩壊モード,3
P3831,значение выступает в роли,オブジェクトの役割,65
P8929,"отношение к религии, взгляд на мир",宗教または世界観,
P2575,измеряет,測定対象,252
P2445,метаподкласс от,以下のメタサブクラス,41
P7152,исключение из авторского права,著作権適用除外,1
P2770,источник дохода,収入源,500
P926,постсинаптическая связь,シナプス後細胞,7
P530,дипломатические отношения,国交のある国,7046
P47,имеет границы с,隣の国または行政区画,605173
P461,противоположно,反対の概念,23857
P460,предположительно одно и то же с,同一とされる事物,285208
P3373,брат/сестра,兄弟姉妹,407131
P26,супруг(а),配偶者,731197
P7047,враг,敵,3809
P451,сожитель,婚姻関係にないパートナー,14156
P1889,не путать с,以下と異なる,801466
P3403,занимает ту же территорию с,同一境界,4076
P190,город-побратим,姉妹都市,48990
P2152,античастица,反粒子,79
P1382,частично совпадает с,重複,17887
P4777,имеет границей,以下を境界として持つ,1156
P1038,родственник,親族,52123
P197,соседний остановочный пункт,隣の駅,209079
P833,станция пересадки,乗換駅,3685
P2789,соединяется с,以下と接続,183333
P3342,значимый человек,重要な人物,15439
P1327,партнёр в спорте или профессии,専門家またはスポーツのパートナー,17571
P399,компаньон,伴天体,4476
P1420,синоним таксона,シノニム,21387
P129,взаимодействует с,物理的相互作用,9480
P1322,двойственнен к,双対,351
P2375,суперсимметричный партнёр,超対称性パートナー,20
P1639,пандан для,以下と対,2268
P3032,смежное здание,隣接する建築物,5242
P6185,таутомер,以下の互変異性体,1063
P3179,территория перекрывается с,重なる地域,8370
P144,создано на основе,派生元,52294
P737,испытал влияние от,影響を受けたもの,18552
P2444,омоглиф,ホモグリフ,1752
P8865,обратно к,数学的な逆,84
P2329,мышца-антагонист,拮抗筋,101
P684,ортолог,オーソログ,4320878
P2652,в партнёрстве с,連携先,3328
P3364,стереоизомер для,以下の立体異性体,2013
P53,род,家系,89379
P1416,принадлежит к,所属機関,86685
P3113,не включает,以下を含まない,499
P2860,ссылается на,引用文献,285213488
P807,отделилось от,以下より分立,2321
P1557,является воплощением,表現する概念,2120
P2210,по отношению к,以下を基準として,48
P4675,появляется в виде,変身先,373
P6477,не обладает свойством,持たない特性,344
P2650,область интересов,興味の対象,14947
P547,в память о,記念対象,26003
P5004,против,以下に反対,461
P1268,представляет,以下の代表,5411
P825,посвящено,献呈先,50406
P31,это частный случай понятия,分類,103114325
P1441,представлено в работе,登場する作品,126749
P828,причиной является,原因,9257
P1542,вызывает,以下の原因,5715
P2737,является объединением,以下の和集合,375
