id1,en1,es1,fr1,de1,ru1,ja1,zh1,id2,en2,es2,fr2,de2,ru2,ja2,zh2,count1,count2
P1479,has contributing factor,factor contribuyente,a comme facteur contributif,hat mitwirkenden Faktor,способствовавшим фактором является,寄与因子,影响因素,P1537,contributing factor of,factor contribuyente de,facteur contributif de,Co-Faktor von,способствует,以下の寄与因子,是该对象的影响因素,588,324
P1606,natural reservoir of,reservorio natural de,réservoir naturel de,Erregerreservoir von,является носителем патогена,以下の自然宿主,为其天然宿主,P1605,has natural reservoir,tiene reservorio natural,a pour réservoir naturel,hat Erregerreservoir,носитель возбудителя инфекции,自然宿主,帶有天然水庫,17,443
P1677,index case of,caso índice de,patient zéro de,Indexpatient von,указывающий случай для,初発患者,指數患者,P1660,has index case,tiene como caso índice,patient zéro,hat Indexpatient,указывающий случай,初発症例,索引病人,29,28
P1704,is pollinator of,polinizador,pollinisateur de,Bestäuber von,опылитель для,以下の送粉者,是傳粉者,P1703,is pollinated by,polinización,pollinisé par,bestäubt durch,опылитель,送粉者,被授粉,58,79
P747,has edition or translation,edición o traducción,édition,hat Ausgaben,издание(я) или перевод(ы),版,版本,P629,edition or translation of,edición o traducción de,édition ou traduction de,Ausgabe oder Übersetzung von,является изданием или переводом,原典・翻訳元,版本屬於或翻譯自,87363,87268
P1536,immediate cause of,causa inmediata de,cause immédiate de,direkte Ursache von,является непосредственной причиной,以下の直接の原因,直接结果,P1478,has immediate cause,causa inmediata,a pour cause immédiate,hat unmittelbare Ursache,непосредственной причиной является,直接の原因,直接原因,18761,125023
P8517,view,vista,vue,Aussicht,вид,景色,景觀,P7108,location of the point of view,lugar del punto de vista,position du point de vue,Standort des Beobachters,место точки зрения,展望場所,觀察者的位置,1346,512
P137,operator,operador,opérateur,Betreiber,оператор,運営者,營運者,P121,item operated,elemento operado,élément utilisé,eingesetztes Objekt,использует объект,以下を運用する,運營项目,538793,12994
P150,contains administrative territorial entity,subdividido en (división administrativa),contient les subdivisions territoriales administratives,Untereinheit (administrative Einheit),административно делится на,直下の行政区画,下辖行政领土实体,P131,located in the administrative territorial entity,situado en la entidad territorial administrativa,localisation administrative,liegt in der Verwaltungseinheit,административно-территориальная единица,位置する行政区画,所在行政领土实体,1045005,11213234
P1056,product or material produced,producto,produit,Produkt,продукция,生産品目,产品,P176,manufacturer,fabricante,fabricant,Hersteller,производитель,製造元,制造者,45764,130741
P6087,coach of sports team,entrenador de,équipe sportive entraînée,Trainer von Sportteam oder -verein,тренер спортивной команды,スポーツチームのコーチ,體育隊,P286,head coach,entrenador,entraîneur / directeur sportif,Cheftrainer,тренер,チーム監督またはヘッドコーチ,主教练,11850,53908
