id,en,de,fr,es
Q2519090,Vertreter,Vertreter,Vertreter,Vertreter
Q2634942,Grace,Grace,Grace,Grace
Q2656550,Atlantic,Atlantic,Atlantic,Atlantic
Q2790543,Songs,Songs,Songs,Songs
Q2876085,Episcopal,Episcopal,Episcopal,Episcopal
Q2974950,Clair,Clair,Clair,Clair
Q3382469,Piccolo,Piccolo,Piccolo,Piccolo
Q3630421,Authority,Authority,Authority,Authority
Q3687686,Consulta,Consulta,Consulta,Consulta
Q4650720,Audio,Audio,Audio,Audio
Q5380814,Entry,Entry,Entry,Entry
Q5998458,Yer,Yer,Yer,Yer
Q7968827,Waray,Waray,Waray,Waray
Q8036765,Worldwide,Worldwide,Worldwide,Worldwide
Q9092883,Vencedor,Vencedor,Vencedor,Vencedor
Q12321273,Kapitel,Kapitel,Kapitel,Kapitel
Q13096507,Romawi,Romawi,Romawi,Romawi
Q13612624,Bangkok,Bangkok,Bangkok,Bangkok
Q58809888,between,begleitet,accompagné,acompañado
Q62916459,maritime,Maritime,maritime,maritime
Q92175953,Musiker,Musiker,Musiker,Musiker
Q105944793,Museum,Museum,Museum,Museum
Q80422,Soccer,Soccer,Soccer,Soccer
Q105745,CD,CD,CD,CD
Q175966,Kyoto,Kyoto,Kyoto,Kyoto
Q207900,MM,MM,MM,MM
Q217359,SD,SD,SD,SD
Q217419,HR,HR,HR,HR
Q217424,CH,CH,CH,CH
Q217488,DB,DB,DB,DB
Q218181,CE,CE,CE,Ce
Q219099,FF,FF,FF,FF
Q219084,AV,AV,AV,AV
Q219108,BS,BS,BS,BS
Q219204,UA,UA,UA,UA
Q219246,CP,CP,CP,CP
Q219343,ICC,ICC,ICC,ICC
Q219297,VA,VA,VA,VA
Q219267,ATC,ATC,ATC,ATC
Q223811,GP,GP,GP,GP
Q224261,CK,CK,CK,CK
Q224295,ITU,ITU,ITU,ITU
Q225582,FC,FC,FC,FC
Q225866,SMS,SMS,SMS,SMS
Q226033,CRC,CRC,CRC,CRC
Q225778,Superior,Superior,Superior,Superior
Q226362,OP,OP,OP,OP
Q227200,Meteor,Meteor,Meteor,Meteor
Q227927,Southampton,Southampton,Southampton,Southampton
Q228209,Volume,Volume,Volume,Volume
Q227699,AE,AE,AE,AE
Q231570,PCR,PCR,PCR,PCR
Q235623,JNA,JNA,JNA,JNA
Q236530,BSD,BSD,BSD,BSD
Q243076,Slag,Slag,Slag,Slag
Q247976,studio,Studio,Studio,studio
Q248734,FAA,FAA,FAA,FAA
Q249088,WBA,WBA,WBA,WBA
Q255573,PRL,PRL,PRL,PRL
Q257287,PSV,PSV,PSV,PSV
Q258670,Saints,Saints,Saints,Saints
Q267575,Borgia,Borgia,Borgia,Borgia
Q295967,Devil,Devil,Devil,Devil
Q296137,APG,APG,APG,APG
Q341348,Elsevier,Elsevier,Elsevier,Elsevier
Q344600,TC,TC,TC,TC
Q346571,Exposition,Exposition,Exposition,Exposition
Q346343,Kamera,Kamera,Kamera,Kamera
Q346598,Pfalz,Pfalz,Pfalz,Pfalz
Q351923,MLS,MLS,MLS,MLS
Q354951,Listen,Listen,Listen,Listen
Q355061,Chronicle,Chronicle,Chronicle,Chronicle
Q358634,CBN,CBN,CBN,CBN
Q366378,Assembly,Assembly,Assembly,Assembly
Q396510,Sibiu,Sibiu,Sibiu,Sibiu
Q398628,Design,Design,Design,Design
Q398098,Sporting,Sporting,Sporting,Sporting
Q399215,Moscou,Moscou,Moscou,Moscou
Q400638,Again,Again,Again,Again
Q403255,Review,Review,Review,Review
Q404671,GRN,GRN,GRN,GRN
Q405316,Telegraph,Telegraph,Telegraph,Telegraph
Q407890,Ayn,Ayn,Ayn,Ayn
Q408258,Catch,Catch,Catch,Catch
Q411189,Opening,Opening,Opening,Opening
Q419307,Shift,Shift,Shift,Shift
Q420884,Cordillera,Cordillera,Cordillera,Cordillera
Q450698,Universitas,Universitas,Universitas,Universitas
Q483217,HB,HB,HB,HB
Q759848,Aufnahme,Aufnahme,Aufnahme,Aufnahme
Q783201,WR,WR,WR,WR
Q980612,gun,Gun,Gun,Gun
Q1024240,CPU,CPU,CPU,CPU
Q1166773,Scots,Scots,Scots,Scots
Q1179792,monitoring,Monitoring,Monitoring,Monitoring
Q1251649,Doubs,Doubs,Doubs,Doubs
Q1643175,Committee,Committee,Comité,Comité
Q1784743,WWF,WWF,WWF,WWF
Q1823047,Libia,Libia,Libia,Libia
Q2095716,Nacht,Nacht,Nacht,Nacht
Q2467011,UFC,UFC,UFC,UFC
Q2500623,Flying,Flying,Flying,Flying
Q2585629,Wirkung,Wirkung,Wirkung,Wirkung
Q2644458,Eclipse,Eclipse,Eclipse,Eclipse
Q2646480,Algeria,Algeria,Algeria,Algeria
Q3246064,Angriff,Angriff,Angriff,Angriff
Q3348319,Observatoire,Observatoire,Observatoire,Observatoire
Q3700453,DKI,DKI,DKI,DKI
Q3705538,Dentro,Dentro,Dentro,Dentro
Q5375540,Encore,Encore,Encore,Encore
Q5880028,Assassin,Assassin,Assassin,Assassin
Q7541600,Slovakia,Slovakia,Slovakia,Slovakia
Q8344081,Cerca,Cerca,Cerca,Cerca
Q12084325,Bosna,Bosna,Bosna,Bosna
Q13424832,Ebene,Ebene,Ebene,Ebene
Q15880866,Portrait,Portrait,Portrait,Portrait
Q25174335,Occitanie,Occitanie,Occitanie,Occitanie
Q55776788,Rt,Rt,Rt,Rt
Q56604628,Arthur,Arthur,Arthur,Arthur
Q39721,Rwanda,Rwanda,Rwanda,Rwanda
Q192336,Perth,Perth,Perth,Perth
Q205699,GB,GB,GB,GB
Q210317,MB,MB,MB,MB
Q210352,PT,PT,PT,PT
Q217455,BD,BD,BD,Bd
Q217469,TB,TB,TB,TB
Q217863,PL,PL,PL,PL
Q218008,SR,SR,SR,SR
Q218681,BP,BP,BP,BP
Q218716,SV,SV,SV,Sv
Q219113,ML,ML,ML,ML
Q219275,NS,NS,NS,NS
Q223859,CG,CG,CG,CG
Q224015,NT,NT,NT,NT
Q224506,RC,RC,RC,RC
Q224441,FR,FR,FR,FR
Q224408,Hulk,Hulk,Hulk,Hulk
Q225351,Skin,Skin,Skin,Skin
Q225452,Explorer,Explorer,Explorer,Explorer
Q226942,CAF,CAF,CAF,CAF
Q227580,GNU,GNU,GNU,GNU
Q227555,Acid,Acid,Acid,Acid
Q227465,STS,STS,STS,STS
Q227964,FX,FX,FX,FX
Q228905,AP,AP,AP,AP
Q228919,Peso,Peso,Peso,Peso
Q229536,SSR,SSR,SSR,SSR
Q229965,MVP,MVP,MVP,MVP
Q233570,CSU,CSU,CSU,CSU
Q234484,Mineral,Mineral,Mineral,Mineral
Q240551,TNI,TNI,TNI,TNI
Q241739,IRAS,IRAS,IRAS,IRAS
Q254250,Smash,Smash,Smash,Smash
Q258086,UU,UU,UU,UU
Q290466,ADN,ADN,ADN,ADN
Q294062,Plains,Plains,Plains,Plains
Q294834,Application,Application,Application,Application
Q296451,Canadian,Canadian,Canadian,Canadian
Q296374,Compostela,Compostela,Compostela,Compostela
Q297874,Excel,Excel,Excel,Excel
Q304940,GMT,GMT,GMT,GMT
Q343285,Deadline,Deadline,Deadline,Deadline
Q345852,NDR,NDR,NDR,NDR
Q355132,PMC,PMC,PMC,PMC
Q395112,Feel,Feel,Feel,Feel
Q398892,Ticino,Ticino,Ticino,Ticino
Q404125,Wembley,Wembley,Wembley,Wembley
Q406463,Vuelta,Vuelta,Vuelta,Vuelta
Q416166,Occidental,Occidental,Occidental,Occidental
Q442140,MGM,MGM,MGM,MGM
Q1061243,Champions,Champions,Champions,Champions
Q1102313,Juventus,Juventus,Juventus,Juventus
Q1178276,Sexy,Sexy,Sexy,Sexy
Q1222011,Racing,Racing,Racing,Racing
Q1240025,WDR,WDR,WDR,WDR
Q1341706,Engagement,Engagement,Engagement,Engagement
Q1409462,fire,Feuer,feu,fuego
Q1411118,Ficus,Ficus,Ficus,Ficus
Q1654286,IPAC,IPAC,IPAC,IPAC
Q1918758,Meisterschaft,Meisterschaft,Meisterschaft,Meisterschaft
Q1997612,PhD,PhD,PhD,PhD
Q2325407,Stab,Stab,Stab,Stab
Q2739805,Wonderland,Wonderland,Wonderland,Wonderland
Q2787518,Door,Door,Door,Door
Q2927224,Bryozoa,Bryozoa,Bryozoa,Bryozoa
Q3150833,Information,Information,Information,Information
Q3273902,Mac,Mac,Mac,Mac
Q3638419,Beograd,Beograd,Beograd,Beograd
Q3881929,Oltre,Oltre,Oltre,Oltre
Q4049442,Siege,Siege,Siege,Siege
Q4734969,Alpha,Alpha,Alpha,Alpha
Q4855486,Cyber,Cyber,Cyber,Cyber
Q8772118,Editorial,Editorial,Editorial,Editorial
Q16086416,Palatinat,Palatinat,Palatinat,Palatinat
Q27796353,Sanskrit,Sanskrit,Sanskrit,Sanskrit
Q55776776,Ra,Ra,Ra,Ra
Q66317860,Case,Case,Case,Case
Q30230,Caribe,Caribe,Caribe,Caribe
Q35968,Aquitania,Aquitania,Aquitania,Aquitania
Q41431,Commonwealth,Commonwealth,Commonwealth,Commonwealth
Q81673,Print,Print,Print,Print
Q129281,UCD,UCD,UCD,UCD
Q201961,TN,TN,TN,TN
Q208534,AL,AL,AL,AL
Q211146,MC,MC,MC,MC
Q211535,MD,MD,MD,MD
Q217451,PM,PM,PM,PM
Q218292,Rochester,Rochester,Rochester,Rochester
Q219294,PK,PK,PK,PK
Q219349,KM,KM,KM,KM
Q224158,Capitol,Capitol,Capitol,Capitol
Q224837,NF,NF,NF,NF
Q225803,EHF,EHF,EHF,EHF
Q225906,TD,TD,TD,TD
Q226367,UV,UV,UV,UV
Q226937,AFC,AFC,AFC,AFC
Q227161,NGC,NGC,NGC,NGC
Q228461,WBC,WBC,WBC,WBC
Q231372,Wanted,Wanted,Wanted,Wanted
Q231718,Ariège,Ariège,Ariège,Ariège
Q237685,IUE,IUE,IUE,IUE
Q242341,SAO,Sao,SAO,Sao
Q257559,Transfer,Transfer,Transfer,Transfer
Q283937,at,at,at,At
Q287212,ABD,ABD,ABD,ABD
Q291840,Actor,Actor,Actor,Actor
Q292912,UDP,UDP,UDP,UDP
Q297514,KBS,KBS,KBS,KBS
Q299831,UAE,UAE,UAE,UAE
Q300167,AVN,AVN,AVN,AVN
Q333167,Abstieg,Abstieg,Abstieg,Abstieg
Q341990,Soft,Soft,Soft,Soft
Q345840,Vosges,Vosges,Vosges,Vosges
Q346302,Northumberland,Northumberland,Northumberland,Northumberland
Q355842,Dominion,Dominion,Dominion,Dominion
Q388885,After,After,After,After
Q398496,Outlook,Outlook,Outlook,Outlook
Q399071,Botafogo,Botafogo,Botafogo,Botafogo
Q400506,Unknown,Unknown,Unknown,Unknown
Q401151,Sorry,Sorry,Sorry,Sorry
Q402103,UCB,UCB,UCB,UCB
Q402814,Normandie,Normandie,Normandie,Normandie
Q405642,Spurs,Spurs,Spurs,Spurs
Q408200,GDP,GDP,GDP,GDP
Q409534,Fonds,Fonds,Fonds,Fonds
Q412517,Monkey,Monkey,Monkey,Monkey
Q419356,Fontainebleau,Fontainebleau,Fontainebleau,Fontainebleau
Q438380,Alternate,Alternate,Alternate,Alternate
Q483199,It,IT,IT,IT
Q564801,IBM,IBM,IBM,IBM
Q652630,Nuclear,Nuclear,Nuclear,Nuclear
Q778214,Bosnia,Bosnia,Bosnie,Bosnia
Q781244,Australia,Australia,Australia,Australia
Q790812,Aviation,Aviation,Aviation,Aviation
Q1010300,Giants,Giants,Giants,Giants
Q1135348,Corrientes,Corrientes,Corrientes,Corrientes
Q1812303,Mao,Mao,Mao,Mao
Q1878377,Luzern,Luzern,Luzern,Luzern
Q2032596,KHL,KHL,KHL,KHL
Q2162333,Rage,Rage,Rage,Rage
Q2468155,USD,USD,USD,USD
Q2479525,Warrior,Warrior,Warrior,Warrior
Q2700487,Product,Product,Product,Product
Q2710624,Victoria,Victoria,Victoria,Victoria
Q2990970,Comtat,Comtat,Comtat,Comtat
Q3955121,Sempre,Sempre,Sempre,Sempre
Q3959195,Sharks,Sharks,Sharks,Sharks
Q4466098,Turki,Turki,Turki,Turki
Q7187795,Photography,Photography,Photography,Photography
Q7312074,Remote,Remote,Remote,Remote
Q10353862,Primeiro,Primeiro,Primeiro,Primeiro
Q12794882,Limita,Limita,Limita,Limita
Q13409125,Futsal,Futsal,Futsal,Futsal
Q16059965,Jalisco,Jalisco,Jalisco,Jalisco
Q16245021,AAA,AAA,AAA,AAA
Q16801563,Collected,Collected,Collected,Collected
Q7387,property,Property,Property,Property
Q20033,Help,Help,Help,Help
Q63956,Out,Out,Out,Out
Q83254,Zealand,Zealand,Zealand,Zealand
Q157119,Monitor,Monitor,Monitor,Monitor
Q189731,MG,MG,MG,Mg
Q217400,AG,AG,AG,AG
Q218015,NP,NP,NP,NP
Q219156,Pasadena,Pasadena,Pasadena,Pasadena
Q219206,BC,BC,BC,BC
Q219311,UK,UK,UK,UK
Q223796,SS,SS,SS,SS
Q223990,MW,MW,MW,MW
Q223989,MV,MV,MV,MV
Q224196,Pegasus,Pegasus,Pegasus,Pegasus
Q224679,Cherokee,Cherokee,Cherokee,Cherokee
Q224760,KV,KV,KV,KV
Q224992,Crash,Crash,Crash,Crash
Q225160,NN,NN,NN,NN
Q225768,MJ,MJ,MJ,MJ
Q226531,AIM,AIM,AIM,AIM
Q227746,UN,UN,Un,UN
Q228647,Transit,Transit,Transit,Transit
Q230645,XP,XP,XP,XP
Q231743,Calvados,Calvados,Calvados,Calvados
Q232330,Gateway,Gateway,Gateway,Gateway
Q234694,Cours,Cours,Cours,Cours
Q235277,NY,NY,NY,NY
Q235342,Stat,Stat,Stat,Stat
Q248506,PJ,PJ,PJ,PJ
Q254560,Elite,Elite,Elite,Elite
Q255696,Machine,Machine,Machine,Machine
Q294383,RD,RD,RD,RD
Q294642,ANC,ANC,ANC,ANC
Q298967,RJ,RJ,RJ,RJ
Q318812,Abend,Abend,Abend,Abend
Q342055,IEC,IEC,IEC,IEC
Q346810,Township,Township,Township,Township
Q354302,GMA,GMA,GMA,GMA
Q354935,Faculty,Fakultät,Faculté,Facultad
Q367421,Galatasaray,Galatasaray,Galatasaray,Galatasaray
Q380124,Daniel,Daniel,Daniel,Daniel
Q394945,Tucumán,Tucumán,Tucumán,Tucumán
Q397257,Austrian,Austrian,Austrian,Austrian
Q398956,Carnaval,Carnaval,Carnaval,Carnaval
Q399189,Orchestra,Orchestra,Orchestra,Orchestra
Q405105,TKO,TKO,TKO,TKO
Q407637,PIB,PIB,PIB,PIB
Q411388,Verso,Verso,Verso,Verso
Q418087,Senators,Senators,Senators,Senators
Q422814,Triple,Triple,Triple,Triple
Q446861,USSR,USSR,USSR,USSR
Q447822,Faces,Faces,Faces,Faces
Q448871,Trail,Trail,Trail,Trail
Q569320,Connection,Connection,Connection,Connection
Q924703,Stop,Stop,Stop,Stop
Q1033389,Cannes,Cannes,Cannes,Cannes
Q1143963,Cunha,Cunha,Cunha,Cunha
Q1212728,Linia,Linia,Linia,Linia
Q1262879,SDSS,SDSS,SDSS,SDSS
Q1275657,Premiere,Premiere,Première,Premiere
Q1295314,Eucalyptus,Eucalyptus,Eucalyptus,Eucalyptus
Q1308665,Einsatz,Einsatz,Einsatz,Einsatz
Q1504290,Picardie,Picardie,Picardie,Picardie
Q2085066,land,Boden,terre,tierra
Q2136572,Planets,Planets,Planets,Planets
Q2364480,Winter,Winter,Winter,Winter
Q2389942,Complete,Complete,Complete,Complete
Q3191476,KPD,KPD,KPD,KPD
Q3441854,Rookie,Rookie,Rookie,Rookie
Q4151233,Guayaquil,Guayaquil,Guayaquil,Guayaquil
Q4335543,Opus,Opus,Opus,Opus
Q4673426,Exodus,Exodus,Exodus,Exodus
Q4742725,America,America,America,America
Q5464688,Follow,Follow,Follow,Follow
Q7157162,Pe,Pe,Pe,Pe
Q10898697,Indigenous,Indigenous,Indigenous,Indigenous
Q11945493,Riau,Riau,Riau,Riau
Q12477765,Bumi,Bumi,Bumi,Bumi
Q12505648,Pinus,Pinus,Pinus,Pinus
Q15176913,Moldavia,Moldavia,Moldavia,Moldavia
Q18706971,Chinese,Chinese,Chinese,Chinese
Q96378604,Fortune,Fortune,Fortune,Fortune
Q106890319,Eagle,Eagle,Eagle,Eagle
Q184737,Sign,Sign,Sign,Sign
Q204674,MS,MS,MS,MS
Q211833,Acre,Acre,Acre,Acre
Q218057,CR,CR,CR,CR
Q218352,EC,EC,EC,EC
Q223829,NL,NL,NL,NL
Q224072,Yucatán,Yucatán,Yucatán,Yucatán
Q224044,EM,EM,EM,EM
Q224129,JP,JP,JP,JP
Q224421,HD,HD,HD,HD
Q224503,AFI,AFI,AFI,AFI
Q224809,DD,DD,DD,DD
Q225125,IB,IB,IB,IB
Q225354,Detroit,Detroit,Detroit,Detroit
Q225644,CBC,CBC,CBC,CBC
Q225804,AFL,AFL,AFL,AFL
Q226368,CW,CW,CW,CW
Q226494,CDC,CDC,CDC,CDC
Q227861,Rugby,Rugby,Rugby,rugby
Q229968,SEC,SEC,Sec,SEC
Q230550,Guadalcanal,Guadalcanal,Guadalcanal,Guadalcanal
Q231202,FIS,FIS,FIS,FIS
Q233200,Spa,Spa,Spa,Spa
Q242158,RSS,RSS,RSS,RSS
Q246568,ITV,ITV,ITV,ITV
Q247419,Buzz,Buzz,Buzz,Buzz
Q248666,CJ,CJ,CJ,CJ
Q249332,Dis,Dis,Dis,Dis
Q251944,IOC,IOC,IOC,IOC
Q258030,LM,LM,LM,LM
Q293399,Tunnel,Tunnel,Tunnel,Tunnel
Q299265,Yokohama,Yokohama,Yokohama,Yokohama
Q338902,Access,Access,Access,Access
Q340886,København,Kopenhagen,Copenhague,Copenhague
Q343634,Attack,Attack,Attack,Attack
Q355826,Nebraska,Nebraska,Nebraska,Nebraska
Q358484,SMA,SMA,SMA,SMA
Q361425,Cantal,Cantal,Cantal,Cantal
Q396302,Gotland,Gotland,Gotland,Gotland
Q399469,Tonight,Tonight,Tonight,Tonight
Q414018,Punta,Punta,Punta,Punta
Q417061,Tiempo,Tiempo,Tiempo,Tiempo
Q421555,Speedway,Speedway,Speedway,Speedway
Q422129,EUA,EUA,EUA,EUA
Q489031,Midnight,Midnight,Midnight,Midnight
Q493413,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan
Q597406,SDP,SDP,SDP,SDP
Q814064,Beer,Beer,Beer,Beer
Q831025,Beteiligung,Beteiligung,Beteiligung,Beteiligung
Q838655,Noah,Noah,Noah,Noah
Q940704,Kosovo,Kosovo,Kosovo,Kosovo
Q1178054,Winnipeg,Winnipeg,Winnipeg,Winnipeg
Q1207094,Schritt,Schritt,Schritt,Schritt
Q1211661,Korps,Korps,Korps,Korps
Q1294710,Science,Science,Science,Science
Q1397605,Fassung,Fassung,Fassung,Fassung
Q1523253,Horizon,Horizon,Horizon,Horizon
Q1552936,Colonial,Colonial,Colonial,Colonial
Q1718730,KK,KK,KK,KK
Q1764651,Monica,Monica,Monica,Mónica
Q1925682,Metro,Metro,Metro,Metro
Q1948773,Verder,Verder,Verder,Verder
Q1961363,NRK,NRK,NRK,NRK
Q2009691,Orange,Orange,Orange,Orange
Q2080737,Live,Live,Live,Live
Q2083514,Pfeiffer,Pfeiffer,Pfeiffer,Pfeiffer
Q2108274,Days,Days,Days,Days
Q2127785,Brussels,Brussels,Brussels,Brussels
Q2239446,Schleswig,Schleswig,Schleswig,Schleswig
Q2649608,Almanya,Almanya,Almanya,Almanya
Q2751435,Girls,Girls,Girls,Girls
Q2979262,Clin,Clin,Clin,Clin
Q3351671,Olympique,Olympique,Olympique,Olympique
Q3724873,Empty,Empty,Empty,Empty
Q3791810,Identity,Identity,Identity,Identity
Q4049313,Services,Services,Services,Services
Q6640640,Spectrum,Spectrum,Spectrum,Spectrum
Q7170641,personality,Personality,Personality,Personality
Q8847169,Extremadura,Extremadura,Extremadura,Extremadura
Q12307355,Dansk,Dansk,Dansk,Dansk
Q12490534,Kelas,Kelas,Kelas,Kelas
Q12491461,Ketika,Ketika,Ketika,Ketika
Q12958579,Muslimani,Muslimani,Muslimani,Muslimani
Q17573619,Handlung,Handlung,Handlung,Handlung
Q20903134,Banská,Banská,Banská,Banská
Q29652800,Affair,Affair,Affair,Affair
Q32978432,Palma,Palma,Palma,Palma
Q57000599,avoir,avoir,avoir,avoir
Q33589,IQ,IQ,IQ,IQ
Q60541,Midlands,Midlands,Midlands,Midlands
Q167763,SW,SW,SW,SW
Q171257,Taxi,Taxi,Taxi,Taxi
Q193309,PS,PS,PS,PS
Q206923,ES,ES,ES,ES
Q217453,DS,DS,DS,DS
Q218136,Com,COM,COM,COM
Q218689,BR,BR,BR,BR
Q218782,PG,PG,PG,PG
Q219132,Volga,Volga,Volga,Volga
Q219130,NC,NC,NC,NC
Q219189,ICE,ICE,ICE,ICE
Q224177,CAD,CAD,CAD,CAD
Q224472,CC,CC,CC,CC
Q224959,Meiji,Meiji,Meiji,Meiji
Q225151,RM,RM,RM,RM
Q225787,Culture,Culture,Culture,Culture
Q225829,Instrument,Instrument,Instrument,Instrument
Q226094,Normal,Normal,Normal,Normal
Q226378,PV,PV,PV,PV
Q226434,NFC,NFC,NFC,NFC
Q226838,SED,SED,SED,SED
Q228330,SAD,SAD,SAD,SAD
Q228994,Monmouth,Monmouth,Monmouth,Monmouth
Q229343,DSM,DSM,DSM,DSM
Q230053,EX,EX,EX,Ex
Q230090,PGA,PGA,PGA,PGA
Q234414,NSV,NSV,NSV,NSV
Q246639,Limit,Limit,Limit,Limit
Q250274,USS,USS,USS,USS
Q251380,Suez,Suez,Suez,Suez
Q253849,MBC,MBC,MBC,MBC
Q254035,ATR,ATR,ATR,ATR
Q256092,Fars,Fars,Fars,Fars
Q291805,CDU,CDU,CDU,CDU
Q292894,SMP,SMP,SMP,SMP
Q293189,Montreux,Montreux,Montreux,Montreux
Q296627,MSK,MSK,MSK,MSK
Q299032,Soldier,Soldier,Soldier,Soldier
Q338936,Dynamo,Dynamo,Dynamo,Dinamo
Q342609,Shanghai,Shanghai,Shanghai,Shanghai
Q346486,THE,THE,THE,THE
Q350382,VL,VL,VL,VL
Q352026,NRW,NRW,NRW,NRW
Q352322,Battlefield,Battlefield,Battlefield,Battlefield
Q353073,Country,Country,Country,Country
Q352850,Total,Total,Total,Total
Q357626,CDATA,CDATA,CDATA,CDATA
Q357794,Yahoo,Yahoo,Yahoo,Yahoo
Q361274,TNA,TNA,TNA,TNA
Q366140,Penguin,Penguin,Penguin,Penguin
Q399642,Ibiza,Ibiza,Ibiza,Ibiza
Q399841,Oracle,Oracle,Oracle,Oracle
Q400957,Sound,Sound,Sound,Sound
Q407425,SVT,SVT,SVT,SVT
Q411836,Saguenay,Saguenay,Saguenay,Saguenay
Q412940,Maybe,Maybe,Maybe,Maybe
Q413154,ECW,ECW,ECW,ECW
Q416325,NYC,NYC,NYC,NYC
Q419342,Business,Business,Business,Business
Q425060,Road,Road,Road,Road
Q438562,Global,Global,Global,Global
Q564568,PGC,PGC,PGC,PGC
Q642863,IFK,IFK,IFK,IFK
Q854831,Gericht,Gericht,Gericht,Gericht
Q1094270,Cité,Cité,cité,Cité
Q1102528,Closer,Closer,Closer,Closer
Q1164071,PlayStation,PlayStation,PlayStation,PlayStation
Q1217854,Langue,Langue,Langue,Langue
Q1247982,Issue,Issue,Issue,Issue
Q1559968,Housing,Housing,Housing,Housing
Q1672943,Olympic,Olympic,Olympic,Olímpico
Q1744378,Verband,Verband,Verband,Verband
Q1886611,Mal,Mal,Mal,Mal
Q2088087,Apollo,Apollo,Apollo,Apollo
Q2145687,Resident,Resident,Resident,Resident
Q2146999,revue,Revue,revue,revue
Q2361380,Heritage,Heritage,Heritage,Heritage
Q2695940,Silva,Silva,Silva,Silva
Q2793782,Alus,Alus,Alus,Alus
Q3726196,Entangled,Entangled,Entangled,Entangled
Q3730835,grave,grave,grave,grave
