id,ru,ja,ru_alias,ja_alias,en,count
P1028,подарок от,寄贈者,подарено,寄付者,donated by,9673
P3452,вывод из,以下から推測,выведено из,からの出力,inferred from,2
P485,архивы хранятся в,アーカイブ,архив,アーカイブはに保存されます,archives at,75475
P1136,кем решена,解いた人,кем решено,誰が決めた,solved by,116
P3148,отменяет,以下の文書を廃止,аннулирует,キャンセル,repeals,28838
P4878,символизирует,象徴するもの,Условное обозначение,象徴する,symbolizes,51
P5072,представлено на,発表イベント,Анонс события,に提示,presented in,846
P3082,уничтожено,全壊,уничтожен,破壊されました,destroyed,283
P1591,обвиняемый,被告,ответчик,被告人,defendant,4610
P642,относится к,以下についての,родительный падеж,を指します,of,5091
P2414,сырьё для,以下の基質,субстрат,の原材料,substrate of,9
P702,кодирующий ген,コードしている遺伝子,ген,コーディング遺伝子,encoded by,976836
P459,метод определения,使用された手段・手法,способ  определения,決定方法,determination method,329
P1299,изображается на,描写した作品,изображён на,に描かれています,depicted by,10979
P5323,подтверждено в,典拠,орган власти,で確認,attested in,121128
P3095,практикуется,従事者,работник этой отрасли называется,研究者,practiced by,4814
P6977,рецензия на,以下の評論,является рецензией,のレビュー,review of,9683
P8738,разрешает,以下を許可する,позволяет,許可,permits,23
P872,отпечатано,印刷者,принтер,印刷,printed by,2905
P567,висячий бок,上位層,Верхний слой,ぶら下げ側,underlies,1542
P248,утверждается в,出典,сообщается в,で承認,stated in,785
P790,получил одобрение от,承認者,одобрено,認可者,approved by,29098
P2575,измеряет,測定対象,служит для измерения,対策,measures,252
P47,имеет границы с,隣の国または行政区画,граничит с,隣国,shares border with,605173
P461,противоположно,反対の概念,противоположность,対義語,opposite of,23857
P1889,не путать с,以下と異なる,отличный от,以下とは異なる,different from,801466
P1038,родственник,親族,родственники,親戚,relative,52123
P197,соседний остановочный пункт,隣の駅,предыдущая станция,隣接駅,adjacent station,209079
P833,станция пересадки,乗換駅,пересадка,トランスファーステーション,interchange station,3685
P2789,соединяется с,以下と接続,соединён с,と接続,connects with,183333
P3032,смежное здание,隣接する建築物,соседнее здание,隣の建物,adjacent building,5242
P3179,территория перекрывается с,重なる地域,накрыто,エリアがと重なっている,territory overlaps,8370
P144,создано на основе,派生元,производное от,原著,based on,52294
P737,испытал влияние от,影響を受けたもの,вдохновлён,ロールモデル,influenced by,18552
P2652,в партнёрстве с,連携先,в партнерстве с,との協力で,partnership with,3328
P53,род,家系,дворянский род,王朝名,family,89379
P1416,принадлежит к,所属機関,относится к организации,所属,affiliation,86685
P3113,не включает,以下を含まない,не имеет частью,含まれていません,does not have part,499
P2860,ссылается на,引用文献,цитата,を指します,cites work,285213488
P807,отделилось от,以下より分立,отпочковалось от,母体,separated from,2321
P1557,является воплощением,表現する概念,основное свойство:,実施形態である,manifestation of,2120
P2210,по отношению к,以下を基準として,относительно,以下と比較,relative to,48
P4675,появляется в виде,変身先,в виде,変身対象,appears in the form of,373
P6477,не обладает свойством,持たない特性,"Характеристики, которых нет",プロパティがありません,does not have quality,344
P2650,область интересов,興味の対象,область исследования,研究対象,interested in,14947
P547,в память о,記念対象,чтит,の記憶に,commemorates,26003
P5004,против,以下に反対,в оппозиции к,以下と対立,in opposition to,461
P1268,представляет,以下の代表,изображает,公認政党,represents,5411
P825,посвящено,献呈先,Место посвящения,祭神,dedicated to,50406
P31,это частный случай понятия,分類,представляет собой,種類,instance of,103114325
