_id,en,en_alias,de,de_alias,es,fr,fr_alias,es_alias,count
P20,place of death,died in,Sterbeort,gestorben in,lugar de fallecimiento,lieu de mort,mort à,lugar de muerte,1212693
P463,member of,membership,Mitglied von,ist Mitglied von,miembro de,membre de,adhésion,es miembro de,436936
P3680,statement supported by,according to,Aussage gestützt durch,behauptet von,afirmación sostenida por,déclaration soutenue par,déclaration supportée par,declaración sostenida por,58
P1455,list of works,bibliography,Werkliste,Literaturverzeichnis,lista de obras,liste des œuvres,bibliographie,bibliografía,1228
P1625,has melody,uses tune,verwendet eine Melodie aus,Melodie von,tiene la melodía de,contient une mélodie de,sur l'air de,tiene melodía,2139
P5940,plot expanded in,story continued in,Handlung wird erweitert in,Geschichte wird fortgesetzt in,trama continuada en,intrigue continuée dans,intrigue poursuivie dans,narrativa continuada en,295
P452,industry,sector,Branche,Branchen,industria,secteur d'activité,branche,sector,104004
P4770,hydrated form of,is a hydrate of,ist eine Hydrat-Form von,ist ein Hydrat von,es una forma hidratada de,est une forme hydratée de,est un hydrate de,forma hidratada de,170
P119,place of burial,grave at,Begräbnisort,Friedhof,lugar de sepultura,lieu de sépulture,enterré à,sepultado en,219963
P186,made from material,constructed out of,Material,gemacht aus,material empleado,matériau,composé de,material,1295676
P6001,applies to people,valid to people,gilt für Leute,betrifft folgene Personen(Gruppe),válido para,s'applique aux personnes,valable pour les personnes,válido para personas,16
P2872,visitor centre,tourist office,Touristeninformation,Touristeninformation,oficina de turismo,office de tourisme,office du tourisme,centro de información turística,554
P7937,form of creative work,artistic form,künstlerische Form,Literaturform,forma artística,forme de l'œuvre,forme littéraire,forma literaria,342698
P6872,has written for,writer for,hat geschrieben für,schrieb für,editor en,rédacteur à,a publié dans,escribió para,3252
P1884,hair color,color of hair,Haarfarbe,Farbe der Haare,color de pelo,couleur des cheveux,cheveux,color de cabello,11981
P1050,medical condition,suffers from,Erkrankung,Krankheit,condición médica,affection médicale,maladie,enfermedad padecida,241962
P140,religion or world view,has religion,Konfession oder Weltanschauung,Religion,religión,religion ou conception du monde,religion ou convictions,confesión,444622
P1434,takes place in fictional universe,set in fictional universe,beschreibt fiktives Universum,thematisiert fiktives Universum,describe el universo ficticio,décrit l'univers de fiction,se déroule dans un univers fictif,ocurre en el universo ficticio,15814
P828,has cause,result of,Ursache,verursacht durch,causado por,a pour cause,cause sous-jacente,causas posibles,9257
P509,cause of death,died of,Todesursache,gestorben an,causa de muerte,cause de la mort,mort de,causa del deceso,115623
P1639,pendant of,pendant to,Pendant,Gegenstück,pendant de,pendant de,pendentif de,pendant con,2268
P1431,executive producer,showrunner,Produktionsleiter,Produktionsleiterin,productor ejecutivo,producteur délégué,producteur exécutif,showrunner,8484
P111,measured physical quantity,measure of,gemessene physikalische Größe,Maßeinheit für,cantidad física medida,grandeur physique mesurée,mesure de,unidad de medida para,3611
P1013,criterion used,on the basis of,verwendetes Kriterium,Kriterium,criterio utilizado,critère utilisé,sur la base de,criterio usado,69
P7469,orientation,direction,Orientierung,Richtung,orientación,orientation,direction,dirección,374
P179,part of the series,issue of,Teil der Reihe oder Serie,Reihe,serie,série,série d'appartenance,serie de obras,776430
P35,head of state,state headed by,Staatsoberhaupt,Präsident,jefe de Estado,chef d'État,président,jefe de estado,1841
P2715,elected in,election,gewählt in,Wahl,electo en,élection,élu lors de,elecciones,183
P516,powered by,power source,angetrieben von,Motor,impulsado por,origine mécanique de l'énergie,moteur,motor,11110
P1142,political ideology,political view,politische Weltanschauung,Ideologie,ideología política,idéologie politique,vue politique,visión política,23809
P2827,flower color,color of the flower,Blütenfarbe,Farbe der Blüte,color de las flores,couleur des fleurs,couleur de la fleur,color de la flor,551
P2650,interested in,field of study,interessiert an,Interessengebiet,interesado en,intéressé par,domaine de recherche,interesada en,14947
P2159,computes solution to,is an algorithm for,löst,Problem,resuelve,résout,calcule la solution à,calcula la solución a,119
P2568,repealed by,revoked by,aufgehoben durch,aufgehoben von,abrogado por,abrogé par,révoqué par,abrogada por,33377
P4100,parliamentary group,party,Fraktion,Partei,grupo parlamentario,groupe parlementaire,groupe politique,fiesta,1970
P495,country of origin,comes from,Ursprungsland,Produktionsland,país de origen,pays d’origine,lieu d'origine,pais de origen,1345801
P1056,product or material produced,producer of,Produkt,produziert,producto,produit,matériel produit,material producido,45764
P3602,candidacy in election,running in election,kandidiert(e) für,kandidiert für,candidato en la elección,candidat à l'élection,candidat pour l'élection,candidata en la elección,158938
P6819,calligrapher,scribe,Kalligraph,Schreiber,calígrafo,calligraphe,scribe,escriba,291
P1308,officeholder,incumbent,Amtsinhaber,Amtsträger,titular del cargo,titulaire,titulaire de charge,titular de la Oficina,17533
P750,distributed by,distributor,Distributor,Vertrieb,distribuidor,distribué par,distribuée par,distribuidora,158589
P840,narrative location,takes place in,Handlungsort,spielt in,lugar de la narración,lieu de l'action,lieu du récit,lugar del relato,91176
P5832,political coalition,political alliance,Koalition,Parteienbund,coalición política,coalition politique,alliance politique,alianza política,155
P287,designed by,has designer,Designer,Gestalter,diseñador,designer,designer,diseñadora,14516
P88,commissioned by,built for,Auftraggeber,beauftragt von,comisionador,commanditaire,commandé par,comisionado por,23429
P1011,excluding,except,ausgenommen,außer,excluyendo,non pris en compte,sans,excluido,6
P3833,diaspora,part of diaspora,Diaspora,Teil der Diaspora,diáspora,diaspora,partie de la diaspora,parte de la diáspora,273
P2567,amended by,altered by,geändert durch,verändert durch,enmendado por,amendé par,modifié par,enmendada por,40999
P1310,statement disputed by,opposed by,Aussage bestritten von,bestritten von,afirmación disputada por,contesté par,déclaration contestée par,rechazada por,5
P1444,destination point,ending at,geografischer Endpunkt,Ziel der Reise,lugar de finalización,destination du parcours,arrivée,destino,25554
P4330,contains,has contents,enthält,lagert,contiene,contient,contenant de,alberga,8269
P664,organizer,organized by,Veranstalter,Veranstalterin,organizador,organisateur,planificateur,organizadora,89066
P177,crosses,over,Querung,Brücke über,atraviesa,franchit,franchissement,cruza,23268
P800,notable work,known for,bedeutendes Werk,Œuvre,obra destacada,œuvre notable,oeuvre,trabajo literario,96985
P2546,sidekick of,helper of,Sidekick von,Helfer von,ayudante de,faire-valoir de,compagnon de,compañero de,251
P27,country of citizenship,citizen of,Land der Staatsangehörigkeit,Nationalität,país de nacionalidad,pays de citoyenneté,citoyenneté,país de ciudadanía,4426813
P2679,author of foreword,foreword by,Autor des Vorworts,Vorwort von,autor del prefacio,auteur de la préface,auteur de l'avant-propos,prefacio por,1543
P2283,uses,made use of,benutzt,verwendet,utiliza,utilise,élément utilisé,emplea,27605
P2652,partnership with,collaboration with,Geschäftsbeziehung zu,Partnerschaft zu,en sociedad con,en partenariat avec,partenariat commercial avec,en asociación con,3328
P1534,end cause,ended by,Ursache der Beendigung,Grund für Ende,causa del fin,motif de fin,raison de fin,razón del fin,171
P2079,fabrication method,manufacturing method,Herstellungsmethode,Fertigungsverfahren,método de fabricación,méthode de fabrication,procédé de fabrication,técnica de fabricación,126162
P166,award received,winner of,Auszeichnung,Preis,premio recibido,distinction reçue,prix,distinción,1350612
P1537,contributing factor of,indirectly caused,Co-Faktor von,indirekt verursacht,factor contribuyente de,facteur contributif de,causé indirectement,causado indirectamente,324
P9234,supplement to,extends,Beilage,kostenlose Beilage,suplemento de,supplément de,supplément à,suplementa,169
P8739,prohibits,does not permit,verbietet,nicht zulässt,prohíbe,interdit,prohibe,restringe,16
P2318,debut participant,first appearance for,Debütteilnehmer,Debutteilnehmer,debutante,première participation,premier participant,participante debutante,217
P2675,reply to,responds to,Antwort auf,antwortet auf,respuesta a,réponse à,réagit à,réplica a,387
P275,copyright license,content license,Lizenz,lizenziert unter,licencia,licence,licence de droit d'auteur,licencia de derechos de autor,161241
P1363,points/goal scored by,scorer,Punkt/Treffer erzielt durch,Torschütze,puntos/goles marcados por,point/but marqué par,points/but marqué par,puntos marcados por,2441
P2860,cites work,bibliographic citation,zitiert,enthält Zitation von,referencia,cite le document,citation bibliographique,cita bibliográfica,285213488
P358,discography,recording catalog,Diskografie,Diskographie,discografía,discographie,catalogue d'enregistrement,catálogo de grabaciones,11952
P84,architect,architecture firm,Architekt,Architektin,arquitecto,architecte,cabinet d'architecture,arquitecta,75317
P4733,produced sound,makes sound,erzeugtes Geräusch,erzeugter Klang,sonido producido,son émis,bruit produit,sonido emitido,56
P2680,author of afterword,afterword by,Autor des Nachworts,Nachwort von,autor del epílogo,auteur de la postface,auteur de l'après-propos,epílogo por,99
P4428,implementation of,implements,Implementierung von,implementiert,implementación de,implémentation de,met en oeuvre,implementos,713
P1080,from narrative universe,from mythology,aus narrativem Universum,kommt vor in fiktivem Universum,del universo de ficción,tiré de l'univers de fiction,de l'univers narratif,perteneciente al universo ficticio,31385
P461,opposite of,inverse of,Gegenteil von,ist Gegenteil von,opuesto a,contraire,inverse,opuesta a,23857
P2632,place of detention,prison,Haftort,Gefängnis,lugar de encarcelamiento,lieu de détention,lieu d'emprisonnement,prisión,145141
P1012,including,with,einschließlich,einschliesslich,incluyendo,pris en compte,incluant,incluido,59
P825,dedicated to,tribute to,Widmung an,gewidmet,dedicado a,dédicataire,dédié à,en honor a,50406
P1547,depends on software,has software dependency,abhängig von,dependency,depende del software,dépend de,dépend du logiciel,dependencia de software,18192
P159,headquarters location,HQ location,Hauptverwaltung,Sitz,ubicación de la sede,siège,siège administratif,sede principal,433878
P272,production company,film studio,Produktionsgesellschaft,Produktionsfirma,empresa productora,société de production,studio de production,productora,119102
P488,chairperson,leader,Vorsitzender,Vorsitzende,presidente,président,présidente,líderesa,31313
P69,educated at,studied at,besuchte Bildungseinrichtung,Hochschule,educado en,scolarité,formation,lugar de estudio,2269402
P189,location of discovery,found in,Fundort,Auffindungsort,lugar de descubrimiento,lieu de découverte,site de découverte,lugar del hallazgo,26285
P180,depicts,portrays,Motiv,zeigt,representa a,dépeint,représente,sujeto representado,614541
P197,adjacent station,neighbouring station,benachbarte Station,nächste Stationen,estación adyacente,gare voisine,gare adjacente,estación vecina,209079
P6364,official color,signature color,offizielle Farbe,Vereinsfarben,color oficial,couleur officielle,couleurs,color de la firma,3090
P802,student,teacher of,Schüler,Student,discípulo,élève,étudiant,discípula,62796
P1049,worshipped by,deity of,Gottheit von,Gottheit von,venerado por,fait l'objet d'une vénération par,vénéré par,venerado por,2380
P2175,medical condition treated,disease treated,zur Behandlung von benutzt,behandelt,condición médica tratada,maladie traitée,traite,enfermedad tratada,6992
P1336,territory claimed by,sovereignty claimed by,Gebiet wird beansprucht von,Souveränität beansprucht von,territorio reivindicado por,territoire revendiqué par,souveraineté revendiquée par,territorio reclamado por,1092
P156,followed by,succeded by,Nachfolger,Sequel,sucedido por,suivi par,devient,seguido por,1118555
P1343,described by source,written about in,beschrieben in,Nachweis,descrito en,décrit par,décrite par,descrito por,2812764
P47,shares border with,bordered by,gemeinsame Grenze mit,grenzt an,comparte fronteras con,limitrophe de,pays limitrophe,adyacente a,605173
P39,position held,office held,öffentliches Amt oder Stellung,Amt,cargo ocupado,fonction,mandat,cargo político,1456025
P688,encodes,codes for,codiert,kodiert,codifica,synthétise,encode,códigos para,973826
P5051,towards,in the direction of,Endhaltestelle,in Richtung,destino,destination,terminus,dirección,64
P276,location,is in,Ort,Aufbewahrungsort,ubicación,lieu,emplacement actuel,emplazamiento actual,2553086
P1924,vaccine for,target disease,Impfstoff für,Zielkrankheit,vacuna para,vaccin pour,vaccin contre,enfermedad objetivo,203
P1706,together with,accompanied by,zusammen mit,Preis geteilt mit,junto con,avec,distinction partagée avec,compartido con,72
P2578,studies,researches,studiert,erforscht,estudia,objet de la discipline,a pour objet d'étude,estudios,1954
P138,named after,eponym,benannt nach,Namensgeber,nombrado por,nommé en référence à,nommée en référence à,nombrado a partir de,369576
P812,academic major,field of study,Hauptfach im Studium,Studienfach,especialización académica,principale spécialité d'étude,spécialité d'étude,director académico,2838
P8058,symbol of,emblem of,Symbol von,Logo von,símbolo de,symbole de,logo de,emblema de,49
P4584,first appearance,debut,erstes Erscheinen,erster Auftritt,primera aparición,première apparition,première impression,primera impresión,6985
P551,residence,lives in,Wohnsitz,Wohnort,residencia,résidence,habite à,lugar de residencia,289158
P641,sport,plays,Sportart,spielt,deporte,sport,pièces,obras de teatro,1900495
P1777,manner of,style of,nach Art von,Nachahmer von,a la manera de,à la manière de,style de,manera de,9
P1889,different from,is not,verschieden von,owl:differentFrom,diferente de,à ne pas confondre avec,"confondre, ne pas",no es,801466
P2396,image of function,function image,Bildmenge,Funktionsbild,imagen de la función,image d'une application,image de la fonction,rango de la función,47
P467,legislated by,passed by,verabschiedet durch,beschlossen von,legislado por,législateur,légiféré par,Pasado por,46724
P3349,designed to carry,carries,transportiert,bestimmt zum Transport von,diseñado para transportar,conçu pour transporter,conçu pour le transport,concebido para transportar,166
P1398,structure replaces,replacement building,Bauwerk ersetzt,Vorgängerbauwerk,estructura que reemplaza,structure précédente,structure remplacée,edificio reemplazado,1470
P770,cause of destruction,destroyed by,Grund der Zerstörung,zerstört durch,causa de destrucción,cause de la destruction,cause de destruction,destruido por,1380
P2821,by-product,secondary product,Nebenprodukt,Sekundärprodukt,subproducto,sous-produit,produit secondaire,producto secundario,49
P25,mother,mum,Mutter,Mama,madre,mère,Maman,hijo de,601247
P157,killed by,murdered by,getötet durch,Mörder,asesinado por,tué par,tueur,asesinada por,3441
P466,occupant,inhabitant,Bewohner/Nutzer,Inhaber,ocupante,occupant,résident,ocupado por,34052
P991,successful candidate,election won by,erfolgreicher Kandidat,Wahlsieger,elegido,élu,vainqueur de l'élection,candidato exitoso,23167
P8324,funder,donor,Stifter,gestiftet von,financiador,financeur,bailleur de fonds,donante,1904
P3342,significant person,notable person,relevante Person,signifikante Person,persona relevante,personne clé,personne liée,persona significativa,15439
P2378,issued by,assigned by,ausgestellt von,vergeben durch,emitido por,délivré par,émis par,expedido por,1797
P1071,location of creation,assembly location,Herstellungsort,Produktionsort,lugar de creación,lieu de fabrication,fabriqué à,lugar de fabricación,79724
P4424,mandates,requires,benötigt,setzt voraus,requiere,demande,mandate,demanda,149
P112,founded by,established by,Gründer,Firmengründer,fundador,fondateur,fondé par,fundadora,73176
P170,creator,created by,Urheber,Künstler,creador,créateur,créé par,creadora,967850
P108,employer,works for,Arbeitgeber,arbeitet an,empleador,employeur,travaille pour,trabaja para,1618361
P1365,replaces,succeeds,ersetzt,löst ab,reemplaza a,remplace,prédécesseur,sustituye a,85769
P22,father,dad,Vater,Papa,padre,père,fils de,hijo de,952062
P1387,political alignment,political position,politische Ausrichtung,politische Stellung,posición política,position politique,allégeance politique,espectro político,4250
P355,subsidiary,parent company of,nachgeordnete Organisation,Tochterunternehmen,filial,organisation fille,filiales,filiales,93001
P6,head of government,president,Leiter der Regierung oder Verwaltung,Ministerpräsident,jefe de gobierno,chef de l'exécutif,maire,jefe del gobierno municipal,37180
P2541,operating area,area of operations,Versorgungsgebiet,Einzugsbereich,área de operación,zone opérationnelle,secteur d'intervention,área operativa,17829
P1344,participant in,took part in,Teilnehmer an,Teilnehmer bei,participó en,participant à,a participé à,participante en,688227
P54,member of sports team,plays for,Mitglied von Sportteam oder -verein,Sportmannschaft,miembro del equipo deportivo,membre de l'équipe de sport,club sportif,juega por,1546197
P31,instance of,is a,ist ein(e),ist Instanz von,instancia de,nature de l'élément,est un,es una,103114325
P185,doctoral student,doctoral candidate,Doktorand,Doktoranden,doctorando,doctorant,étudiant de thèse,estudiante doctoral,297261
P1774,workshop of,studio of,Werkstatt von,Atelier von,taller de,atelier de,studio de,estudio de,7
P9237,reissue of,re-release,Wiederveröffentlichung,Re-Release,reedición de,réédition de,réédition,relanzamiento,202
P915,filming location,filmed at,Drehort,gedreht in,lugar de filmación,lieu du tournage,lieu de tournage,lugar de rodaje,32299
P193,main building contractor,constructed by,Generalbauunternehmer,Bauunternehmen,constructor,maître d'œuvre,entrepreneur principal en bâtiment,contratista principal,2904
P945,allegiance,loyalty,Treuepflicht,Loyalität,lealtad,allégeance envers,a fait allégeance à,deber de lealtad,60876
P4647,location of first performance,first performed at,Ort der Uraufführung oder Erstausstrahlung,Ort der Erstausstrahlung,lugar de primera representación,lieu de la première représentation,lieu de création,lugar de estreno,18266
P1399,convicted of,found guilty of,verurteilt wegen,für schuldig befunden von,condenado por,condamné pour,condamnation,condenada por,10528
P512,academic degree,diploma,akademischer Grad,Titel,grado académico,diplôme universitaire,grade académique,título académico,132400
P4220,order of battle,battle formation,Schlachtordnung,Battle-Formation,orden de batalla,ordre de bataille,formation de combat,formación de batalla,409
P126,maintained by,administered by,Betreuer,Instandhaltung,mantenido por,maintenance assurée par,maintenu par,mantenimiento,528563
P1552,has quality,has property,charakterisiert durch,bestimmende Eigenschaft,caracterizado por,caractérisé par,caractère particulier,característica,173308
P5009,complies with,conforms to,erfüllt,besteht,conforme a,est conforme à,répondre à,cumple con,163
P176,manufacturer,made by,Hersteller,Werft,fabricante,fabricant,constructeur,manufacturador,130741
P2849,produced by,secreted by,produziert durch,abgesondert von,producido por,produit par,sécrété par,secretado por,272
P6758,supported sports team,is a fan of team,unterstützt Sportmannschaft,ist Fan von,equipo deportivo apoyado,supporter de,soutient,fan del equipo deportivo,710
P5059,modified version of,modification of,modifizierte Version von,Adaptation von,versión modificada de,version modifiée de,version remaniée de,adaptación de,1466
P655,translator,is translated by,Übersetzer,Übersetzerin,traductor,traducteur,traductrice,traductora,18384
P912,has facility,has amenity,verfügt über Einrichtung,hat Annehmlichkeit,instalaciones,équipement,a facilité,tiene instalaciones,16547
P3014,laws applied,legal base,angewendete Gesetze,Rechtsgrundlage,leyes aplicadas,lois appliquées,loi appliquée,ley aplicada,173
P4101,dissertation submitted to,thesis submitted to,Abschlussarbeit eingereicht bei,Dissertation eingereicht bei,disertación presentada en,organisme de soutenance,thèse soumise à,tesis presentada en,69721
P2360,intended public,for audience of,Zielgruppe,für Publikum von,público objetivo,audience cible,conçu pour le public,audiencia objetivo,7870
P547,commemorates,in honor of,erinnert an,gedenkt,conmemora,commémore,en l'honneur de,en honor de,26003
P7604,supervised by,is supervisee of,Vorgesetzter,ist Betreuer von,supervisor,encadrant,encadrante,encargado,77
P793,significant event,notable event,Schlüsselereignis,Ereignis,evento significativo,évènement clé,evenement cle,evento significativo,454879
P3032,adjacent building,located next to,Nachbargebäude,benachbartes Gebäude,edificio adyacente,bâtiment adjacent,édifice adjacent,ubicado junto a,5242
P1411,nominated for,nominee for,nominiert für,Kandidat für,nominado a,nommé pour,mis en nomination,nominado para,68638
P1596,penalty,punishment,Strafe,Bestrafung,condena,condamnation,peine,pena,1918
P3373,sibling,is sibling of,Geschwister,Bruder oder Schwester,hermano o hermana,frère ou sœur,frère,hermana o hermano,407131
P5030,talk show guest,participant in talk show,Talkshowgast,Gast der Talkshow,invitado de un talk show,invité d'une émission,invité d'un talk show,invitado del programa de entrevistas,15550
P1027,conferred by,awarded by,verliehen von,vergeben von,conferido por,décerné par,conféré par,otorgado por,15110
P941,inspired by,inspiration,inspiriert von,Vorbild,inspirado por,inspiré de,source d'inspiration,fuente de inspiración,5758
P1877,after a work by,inspiring artist,nach einem Werk von,inspirierender Künstler,inspirado en la obra de,d'après une œuvre de,adapté d'une œuvre de,inspirada en la obra de,12339
P4969,derivative work,is the basis for,abgeleitetes Werk,ist die Basis für,obra derivada,œuvre dérivée,dérivé,es la base para,19804
P520,armament,armed with,Bewaffnung,bewaffnet mit,armamento,armement,armé avec,armado con,5520
P1028,donated by,gift of,gespendet von,Stifter,donado por,donné par,offert par,donada por,9673
P3452,inferred from,implied by,abgeleitet von,inferiert von,deducido de,déduit de,déduit à partir de,deducido a partir de,2
P40,child,offspring,Kind(er),Tochter,hijo o hija,enfant,fils,descendiente,1551742
P3113,does not have part,lacks,enthält nicht,hat nicht,no contiene,ne comprend pas,n'a pas de,no tiene como parte,499
P1478,has immediate cause,immediate effect of,hat unmittelbare Ursache,Ursache,causa inmediata,a pour cause immédiate,a pour causes immédiates,tiene causa inmediata,125023
P2964,right to vote,suffrage,Wahlrecht,wahlberechtigt,derecho de voto,corps électoral,électorat,sufragio,68
P127,owned by,belongs to,Eigentümer,gehört,propietario,propriétaire,appartient à,propietaria,466709
P6153,research site,location of research,Forschungsort,Ort der Untersuchung,sitio de investigación,site de recherche,lieu de recherche,lugar de investigación,266976
P4878,symbolizes,symbol for,symbolisiert,Symbol für,simboliza,symbolise,symbole pour,símbolo para,51
P17,country,sovereign state,Staat,Land,país,pays,État,pais,14800490
P6477,does not have quality,lacks quality,Mangel an,ermangelt an,no tiene la cualidad,caractérisé par l'absence de,n'a pas de qualité,no se caracteriza por,344
P9883,created for,made for,gemacht für,erstellt für,creado para,créé(e) pour,fait(e) pour,hecho para,35
P19,place of birth,born at,Geburtsort,geboren in,lugar de nacimiento,lieu de naissance,né à,nacido en,3035164
P286,head coach,coached by,Cheftrainer,Übungsleiter,entrenador,entraîneur / directeur sportif,directeur sportif,entrenadora,53908
P501,enclave within,enclosed by,Enklave in,umschlossen von,enclave en,enclavé dans,enclave à l'intérieur,enclave dentro,249
P4675,appears in the form of,takes the form of,angenommene Gestalt,verwandelt sich in,aparece bajo la forma de,se métamorphose en,se transforme en,se metamorfosea en,373
P3179,territory overlaps,partially contains territorial extent,Territorium überschneidet sich mit,Gebiet überschneidet sich mit,solapamiento territorial,recouvrement territorial,partiellement situé dans l'entité administrative,el territorio se superpone,8370
P1429,has pet,owns pet,hat Haustier,Haustiere,animal de compañía,animal de compagnie,a un animal de compagnie,mascota (animal),318
P1591,defendant,accused,Angeklagter,Beklagter,imputado,défendeur,accusé,imputada,4610
P1703,is pollinated by,pollinator,bestäubt durch,Bestäuber,polinización,pollinisé par,pollinisation,polinización por,79
P2579,studied by,researched by,Forschungsthema in,wird abgehandelt durch,estudiado por,discipline dont c'est l'objet,étudié par,investigado por,5967
P371,presenter,hosted by,Moderator,Gastgeber,presentador,présentateur,animateur,presentadora,36107
P9899,music created for,music composed for,Musik gemacht für,Musik erstellt für,música creada para,musique créée pour,composé en vue de,música para,182
P5004,in opposition to,opposes,in Opposition zu,gegen,en oposición a,en opposition à,en opposition avec,se opone a,461
P725,voice actor,voiced by,Sprecher,Synchronsprecherin,actor de voz,comédien de doublage,comédienne de doublage,seiyū,63208
P460,said to be the same as,may be equal to,eventuell gleichwertig,gleichgesetzt mit,se dice que es lo mismo que,réputé identique à,identifié à,se dice que es la misma que,285208
P459,determination method,determined by,Bestimmungsmethode,bestimmt durch,método de determinación,méthode de détermination,déterminé par,determinado por,329
P749,parent organization,subsidiary of,übergeordnete Organisation,Muttergesellschaft,organización matriz,organisation mère,entreprise mère,subsidiaria de,122549
P1891,signatory,signed by,Unterzeichner,Unterschreibende,signatario,signataire,premiers signataires,firmado por,17166
P360,is a list of,lists,Liste von,Hauptthema der Liste,lista de,est une liste de,sujet principal de liste,es una lista de,249192
P2842,place of marriage,married at,Ort der Eheschließung,Heiratsort,lugar de matrimonio,lieu du mariage,lieu de mariage,lugar de la boda,3
P1269,facet of,aspect of,Aspekt von,Facette von,faceta de,aspect de,facette de,aspecto de,114378
P1640,curator,curated by,Kurator,Kustos,conservador o comisario,conservateur ou commissaire,conservateur de musée,curador,1600
P366,has use,purpose,Benutzung,Nutzung,uso,usage,utilisé pour,tiene uso,91908
P1046,discovery method,detection method,Nachweismethode,Nachweisverfahren,método de descubrimiento,méthode de découverte,méthode de détection,Método de detección,4253
P1441,present in work,appears in,kommt vor in,Vorkommen in,presente en la obra,présent dans l'œuvre,apparaît dans,aparece en la obra,126749
P676,lyrics by,lyricist,Text von,Texter,letra de,parolier ou parolière,parolière,letrista,41728
P826,tonality,in key,Tonart,in der Tonart,tonalidad,tonalité,en clé,en clave,5039
P1652,referee,umpire,Schiedsrichter,Unparteiischer,árbitro,arbitre,impartial,réferi,19997
P1542,has effect,causes,Ursache von,verursacht,causa de,a pour effet,effet,consecuencia,5715
