id,en,es,fr,de
P1951,investor,inversionista,investisseur,Investor
P1035,honorific suffix,título de cortesía,titre de civilité,Namenszusatz
P2554,production designer,diseñador de producción,chef décorateur,Szenenbildner
P2358,Roman praenomen,praenomen,praenomen,römischer Vorname
P9887,Candomblé nation,nación candomblé,nation candomblé,Candomblé-Nation
P66,ancestral home,hogar ancestral,foyer ancestral,Herkunftsort
P8006,footedness,lateralidad de los pies,agilité des pieds,Füßigkeit
P2853,electrical plug type,tipo de enchufe eléctrico,prise électrique,Stecker-Typ
P7163,typically sells,vende generalmente,vend généralement,verkauft im Allgemeinen
P3275,storyboard artist,guionista gráfico,storyboardeur,Storyboard Artist
P7938,associated electoral district,situado en la entidad territorial electoral,division électorale,Wahlkreis
P786,stipe character,carácter del estipe,caractère du stipe,Stielform
P106,occupation,ocupación,occupation,Tätigkeit
P636,route of administration,forma de administración,voie d'administration,Applikationsform
P85,anthem,himno,hymne,Hymne
P2841,age of onset,edad de aparición,âge d'apparition,Erkrankungsalter
P1811,list of episodes,lista de episodios,liste des épisodes,Episodenliste
P631,structural engineer,ingeniero estructural,ingénieur de structure,Statiker
P5588,invasive to,especie invasora en,envahit,invasiv in
P1158,location of landing,sitio del aterrizaje,site d'atterrissage,Landeplatz
P4608,scenographer,escenógrafo,scénographe,Bühnenbildner
P103,native language,lengua materna,langue maternelle,Muttersprache
P908,PEGI rating,clasificación PEGI,classification PEGI,PEGI-Altersfreigabe
P5995,kit supplier,proveedor de equipación,équipementier,technischer Ausrüster
P37,official language,idioma oficial,langue officielle,Amtssprache
P1435,heritage designation,estatus patrimonial,statut patrimonial,Schutzkategorie
P689,afflicts,afecta,affecte,befällt
P568,overlies,suprayacente a,mur,Liegend
P2502,classification of race,clasificación de,classement de,Gesamtwertung von
P3158,enclosure,recinto,enceinte,Einhausung
P2453,nominee,nominado,nommé,Nominierter
P3402,CNC film rating (Romania),clasificación CNC (Rumania),classification du CNC (Roumanie),CNC-Filmbewertung (Rumänien)
P1855,Wikidata property example,ejemplo de propiedad de Wikidata,exemple d'utilisation sur Wikidata,Wikidata-Eigenschaftsbeispiel
P2614,World Heritage criteria,criterios de Patrimonio de la Humanidad,critère du patrimoine mondial (2005),Kriterien für Welterbe (2005)
P38,currency,moneda,monnaie,Währung
P183,endemic to,endémico en,endémique de,endemisch in
P5996,category for films in this language,categoría para las películas en este idioma,catégorie pour les films dans cette langue,Kategorie für Filme in dieser Sprache
P163,flag,descripción de la bandera,drapeau,Flagge
P4805,make-up artist,maquillador,maquilleur,Visagist
P556,crystal system,sistema cristalino,système cristallin,Kristallsystem
P4988,test method,método de ensayo,méthode de test,Testmethode
P2992,software quality assurance,control de calidad del software,assurance qualité logicielle,Software-Qualitätssicherung
P2438,narrator,narrador,narrateur,Erzähler
P3491,muscle insertion,inserción del músculo,insertion du muscle,Muskelansatz
P282,writing system,alfabeto,système d'écriture,Schrift
P291,place of publication,lugar de publicación,lieu de publication,Erscheinungsort
P2548,strand orientation,orientación de la cadena,orientation des brins,Strangorientierung
P6275,copyright representative,representante de derechos de autor,représentant des droits d'auteurs,urheberrechtliche Vertretung durch
P20,place of death,lugar de fallecimiento,lieu de mort,Sterbeort
P3680,statement supported by,afirmación sostenida por,déclaration soutenue par,Aussage gestützt durch
P5202,adapted by,adaptación de,adaptation par,Bearbeiter
P2184,history of topic,historia,histoire,Geschichte
P3027,open period from,abierto desde,début de la période d'ouverture,geöffnet von Zeitpunkt
P411,canonization status,estado de canonización,étape de canonisation,Status der Selig- oder Heiligsprechung
P450,astronaut mission,misión del astronauta,mission de l'astronaute,Raumfahrtmission
P2813,house publication,órgano de prensa,organe de presse,Hauspublikation
P1455,list of works,lista de obras,liste des œuvres,Werkliste
P6942,animator,animador,animateur,Animator
P1414,GUI toolkit or framework,entorno o componente para GUI,bibliothèque d'interface utilisateur,GUI-Bibliothek
P3712,objective of project or action,objetivo del proyecto o de la acción,objectif du projet ou de la mission,angestrebtes Ziel
P9139,first family name in Portuguese name,primer apellido en nombre portugués,premier nom de famille dans les noms portugais,erster Familienname bei portugiesischen Namen
P8822,epithet,epíteto,épithète,Epitheton
P3764,pole position,pole position,en pole position au départ,Pole Position
P2361,online service,servicio en línea,service en ligne,Onlinedienst
P6606,study or design for,estudio o diseño para,étude ou travail préparatoire pour,Studie oder Entwurf für
P5522,Unicode block,bloque Unicode,bloc Unicode,Unicodeblock
P2838,professional name (Japan),nombre profesional (Japón),nom professionnel japonais,Professioneller Name (Japan)
P5126,assistant director,ayudante de dirección,assistant réalisateur,Regieassistent
P2882,relegated,relegado,relégué,Absteiger
P2634,sitter,modelo,modèle,Modell
P2417,stage classification,clasificación de etapa,classement de l'étape,Etappenergebnis
P1625,has melody,tiene la melodía de,contient une mélodie de,verwendet eine Melodie aus
P5096,member of the crew of,tripulante de,membre de l'équipage de,Mitglied der Besatzung von
P7228,access restriction status,restricción de acceso,conditions d'accès,Zugangsbeschränkung
P2978,wheel arrangement,disposición de ruedas,disposition des essieux,Achsformel
P1990,species kept,especies presentes,espèce conservée,gehaltene Arten
P9972,illustrative content,ilustraciones contenidas,contenu illustratif,illustrativer Inhalt
P6954,online access status,estatus de acceso,type d'accessibilité,Onlineverfügbarkeit
P5438,signum,signum,signum,signum
P136,genre,género,genre,Genre
P452,industry,industria,secteur d'activité,Branche
P4770,hydrated form of,es una forma hidratada de,est une forme hydratée de,ist eine Hydrat-Form von
P1462,standards body,organismo de normalización,organisme de normalisation,standardisiert von
P4510,describes a project that uses,describe un proyecto que usa,décrit un projet qui utilise,beschriebenes Projekt benutzt
P449,original broadcaster,emisora original,diffuseur original,Sender der Erstausstrahlung
P6001,applies to people,válido para,s'applique aux personnes,gilt für Leute
P8989,category for the view of the item,categoría para la vista del elemento,catégorie pour la vue de l'élément,Kategorie für die Ansicht des Gegenstands
P2872,visitor centre,oficina de turismo,office de tourisme,Touristeninformation
P5800,narrative role,función narrativa,rôle narratologique,narrative Funktion
P517,interaction,interacción,interaction,Wechselwirkung
P8875,indexed in bibliographic review,indexado en la base de datos bibliográfica,indexé dans la revue bibliographique,katalogisiert in der bibliographischen Übersicht
P7937,form of creative work,forma artística,forme de l'œuvre,künstlerische Form
P6872,has written for,editor en,rédacteur à,hat geschrieben für
P1884,hair color,color de pelo,couleur des cheveux,Haarfarbe
P3018,located in protected area,localizado en el área protegida,aire protégée,liegt in Schutzgebiet
P483,recorded at studio or venue,grabado en,studio d'enregistrement,Aufnahmeort
P1686,for work,premiado por la obra,récompense pour,für das Werk
P4241,refine date,fecha más precisa,précision sur la date,Datumsverfeinerung
P3975,secretary general,secretario general,secrétaire général,Generalsekretär
P1050,medical condition,condición médica,affection médicale,Erkrankung
P2286,arterial supply,irrigación arterial,artère,arterieller Zustrom
P140,religion or world view,religión,religion ou conception du monde,Konfession oder Weltanschauung
P814,IUCN protected areas category,categoría de áreas protegidas de la IUCN,catégorie des aires protégées de l'UICN,Schutzgebietkategorie der IUCN
P59,constellation,constelación,constellation,Sternbild
P1201,space tug,remolcador espacial,remorqueur spatial,Raketenoberstufe
P8138,located in the statistical territorial entity,situado en la entidad territorial estadística,situé dans l'entité territoriale statistique,liegt in der statistischen Einheit
P1434,takes place in fictional universe,describe el universo ficticio,décrit l'univers de fiction,beschreibt fiktives Universum
P8289,parish church,iglesia parroquial,église paroissiale,Pfarrkirche
P3912,newspaper format,formato de periódico,format de journal,Zeitungsformat
P1923,participating team,equipo participante,équipes participantes,teilnehmendes Team
P7867,category for maps,categoría para los mapas de este elemento,catégorie pour cartes géographiques,Kategorie für Karten
P8933,category for the view from the item,categoría para la vista desde el elemento,catégorie pour la vue depuis l'élément,Kategorie für die Aussicht von diesem Objekt
P930,type of electrification,tipo de electrificación,type d'électrification,Bahnstromsystem
P1546,motto,lema,devise,Wahlspruch
P1792,category of associated people,categoría de personas relacionadas,catégorie de personnalité,Kategorie für Personen mit Bezug zum Ort
P149,architectural style,estilo arquitectónico,style architectural,Architekturstil
P1389,product certification,certificación del producto,certificat de produit,Produktzertifikat
P3803,original film format,formato original de la película,format de film original,Filmformat
P1656,unveiled by,develado por,dévoilé par,enthüllt von
P509,cause of death,causa de muerte,cause de la mort,Todesursache
P967,guest of honor,invitado de honor,invité d'honneur,Ehrengast
P2925,domain of saint or deity,dominio del santo o deidad,domaine du saint ou de la divinité,Patron von
P3026,closed on,cerrado en,jours de fermeture,geschlossen an/am
P3081,damaged,ha dañado,endommage,beschädigt
P6271,demonym of,gentilicio de,gentilé de,Demonym zu
P6086,dramaturge,dramaturgo,dramaturge (de production),Dramaturg
P111,measured physical quantity,cantidad física medida,grandeur physique mesurée,gemessene physikalische Größe
P1013,criterion used,criterio utilizado,critère utilisé,verwendetes Kriterium
P8646,expansion of,expansión de,extension de,Erweiterung von
P7561,category for the interior of the item,categoría para el interior del elemento,catégorie Commons de l'intérieur d'un élément,Commons-Kategorie für das Interieur
P8402,open data portal,portal de datos abiertos,portail open data,Open Data Portal
P1956,takeoff and landing capability,despegue y aterrizaje,décollage et atterrissage,Start- und Landeweise
P5998,distributary,distributario,défluent,Mündungsarm
P538,fracturing,fractura,cassure,Bruch
P4968,relevant qualification,cualificación relevante,qualification pertinente,relevante Qualifikation
P784,mushroom cap shape,tipo de sombrero,type de chapeau,Hutform
P680,molecular function,función molecular,fonction moléculaire,Molekularfunktion
P4443,card network,red de tarjeta,réseau de carte bancaire,Kreditkarten-Netzwerk
P35,head of state,jefe de Estado,chef d'État,Staatsoberhaupt
P2715,elected in,electo en,élection,gewählt in
P1677,index case of,caso índice de,patient zéro de,Indexpatient von
P589,point group,grupo puntual,groupe ponctuel,Punktgruppe
P516,powered by,impulsado por,origine mécanique de l'énergie,angetrieben von
P1142,political ideology,ideología política,idéologie politique,politische Weltanschauung
P7095,end grade,grado final,plus haut niveau scolaire,höchste Klassenstufe
P8345,media franchise,franquicia de medios,franchise médiatique,Medien-Franchise
P2700,protocol,protocolo,protocole d'accès,Protokoll
P1911,increased expression in,expresión incrementada en,expression accrue dans,erhöhte Expression in
P2827,flower color,color de las flores,couleur des fleurs,Blütenfarbe
P2962,title of chess person,título de ajedrecista,titre au jeu d'échecs,Titel (im Schachsport)
P9241,demographics of topic,demografía del elemento,démographie du sujet,Demografie des Objekts
P4688,geomorphological unit,unidad geomorfológica,unité géomorphologique,geomorphologische Einheit
P2159,computes solution to,resuelve,résout,löst
P6437,day of regular release,día de lanzamiento regular,jour de parution,Tag der Veröffentlichung
P2568,repealed by,abrogado por,abrogé par,aufgehoben durch
P3216,ClassInd rating,categoría ClassInd,classification Classificação Indicativa,ClassInd-Bewertung
P823,speaker,orador,orateur,Redner
P4100,parliamentary group,grupo parlamentario,groupe parlementaire,Fraktion
P495,country of origin,país de origen,pays d’origine,Ursprungsland
P1056,product or material produced,producto,produit,Produkt
P5053,fastest lap,vuelta más rápida,auteur du meilleur tour,schnellste Runde
P301,category's main topic,tema principal de la categoría,sujet de la catégorie,Thema der Kategorie
P2758,CNC film rating (France),clasificación CNC (Francia),classification du CNC,CNC-Filmbewertung (Frankreich)
P8115,eligible recipient,posible receptor,bénéficiaire éligible,für Erhalt qualifiziert
P2348,time period,periodo histórico,période,Zeitraum
P3428,INCAA film rating,calificación INCAA,classification INCAA,INCAA-Filmbewertung
P3602,candidacy in election,candidato en la elección,candidat à l'élection,kandidiert(e) für
P3818,KMRB film rating,clasificación KMRB,classification KMRB de film,KMRB-Altersfreigabe
P3610,fare zone,zona tarifaria,zone tarifaire,Tarifzone
P3033,package management system,sistema de gestión de paquetes,gestionnaire de paquets,Paketverwaltung
P6819,calligrapher,calígrafo,calligraphe,Kalligraph
P1412,"languages spoken, written or signed","lenguas habladas, escritas o signadas","langues parlées, écrites ou signées",gesprochene oder publizierte Sprachen
P277,programming language,lenguaje de programación,langage de programmation,Programmiersprache
P1308,officeholder,titular del cargo,titulaire,Amtsinhaber
P750,distributed by,distribuidor,distribué par,Distributor
P4147,conjugate acid,ácido conjugado,acide conjugué,konjugierte Säure
P9191,letterer,letrista,lettreur,Letterer
P453,character role,rol,rôle,Rolle
P787,spore print color,color de espora,couleur de sporée,Sporenpulverabdruck
P840,narrative location,lugar de la narración,lieu de l'action,Handlungsort
P5832,political coalition,coalición política,coalition politique,Koalition
P3437,people or cargo transported,carga o personal transportado,cargaison,transportiertes Gut oder Passagiere
P3103,has tense,tiene como tiempo gramatical,a comme temps grammatical,hat grammatische Zeitform
P364,original language of film or TV show,idioma de la película o programa de televisión,langue originelle du film ou de l'émission de télévision,Originalsprache
P6532,has phenotype,tiene el fenotipo,a un phénotype,hat Phänotyp
P4324,combination classification,clasificación de la combinada,classement du meilleur au combiné,Kombinationswertung
P4543,has listed ingredient,ingrediente listado,ingrédient indiqué,aufgeführter Bestandteil
P5134,evaluation of,evaluación de,évaluation de,Auswertung von
P88,commissioned by,comisionador,commanditaire,Auftraggeber
P3189,innervated by,inervado por,innervé par,innerviert durch
P1885,cathedral,catedral,cathédrale,Kathedrale
P3092,film crew member,miembro del equipo de filmación,membre de l'équipe du film,Mitglied des Filmstabs
P9810,remix of,remezclar de,remix de,Remix von
P427,taxonomic type,tipo taxonómico,type taxinomique,nomenklatorischer Typ
P2587,has phoneme,tiene el fonema,a le phonème,enthält Phonem
P1423,template has topic,tema tiene plantilla,sujet principal d'un modèle,Hauptthema der Vorlage
P1011,excluding,excluyendo,non pris en compte,ausgenommen
P7984,depicted format,formato representado,type de vue,abgebildetes Format
P4586,type foundry,empresa diseñadora de tipos,fonderie typographique,Schriftgießerei
P1918,altered regulation leads to,regulación alterada resulta en,conséquence d'une altération de la régulation,geänderte Regulation führt zu
P1995,health specialty,especialidad sanitaria,spécialité médicale,medizinisches Fachgebiet
P4185,iconographic symbol,símbolo iconográfico,symbole iconographique,ikonografisches Symbol
P415,radio format,formato de radio,format radio,Radioformat
P3833,diaspora,diáspora,diaspora,Diaspora
P5872,perfume note,nota del perfume,note d'un parfum,Duftnote
P1204,Wikimedia portal's main topic,tema principal del portal,sujet du portail Wikimedia,Hauptthema des Portals
P1910,decreased expression in,expresión reducida por,expression réduite par,verringerte Expression in
P654,direction relative to location,dirección relativa a la posición,direction relative au lieu,Richtung relativ zur Position
P1310,statement disputed by,afirmación disputada por,contesté par,Aussage bestritten von
P1444,destination point,lugar de finalización,destination du parcours,geografischer Endpunkt
P1678,has vertex figure,figura de vértice,figure de sommet,Folgefläche beim Abstumpfen
P5353,school district,distrito escolar,district scolaire,Schulbezirk
P4330,contains,contiene,contient,enthält
P1032,Digital Rights Management system,sistema de gestión de derechos digitales,système de mesures techniques de protection,Digital-Rights-Management-System
P803,professorship,cátedra universitaria,chaire universitaire,Professur
P5095,fault,falla,faille,Verwerfung
P118,league,liga,ligue,Liga
P2633,geography of topic,geografía,géographie,Geographie
P800,notable work,obra destacada,œuvre notable,bedeutende Werke
P1775,follower of,seguidor de,suiveur de,Anhänger von
P1606,natural reservoir of,reservorio natural de,réservoir naturel de,Erregerreservoir von
P1264,valid in period,periodo aplicable,période applicable,betroffener Zeitraum
P4774,biological phase,fase biológica,phase biologique,biologische Phase
P3739,inflorescence,inflorescencia,inflorescence,Blütenstand
P27,country of citizenship,país de nacionalidad,pays de citoyenneté,Land der Staatsangehörigkeit
P1660,has index case,tiene como caso índice,patient zéro,hat Indexpatient
P3274,content deliverer,proveedor de contenido,fournisseur du contenu,Serviceprovider
P2679,author of foreword,autor del prefacio,auteur de la préface,Autor des Vorworts
P913,notation,notación,notation,Notation
P1909,side effect,efecto secundario,effet secondaire,Nebenwirkung
P413,position played on team / speciality,posición de juego,position de jeu ou spécialité,Spielerposition/Spezialität
P1534,end cause,causa del fin,motif de fin,Ursache der Beendigung
P2079,fabrication method,método de fabricación,méthode de fabrication,Herstellungsmethode
P1605,has natural reservoir,tiene reservorio natural,a pour réservoir naturel,hat Erregerreservoir
P5052,supervisory board member,miembro del consejo de supervisión,membre du conseil de surveillance,Aufsichtsratmitglied
P8852,facial hair,vello facial,pilosité faciale,Gesichtshaar
P1537,contributing factor of,factor contribuyente de,facteur contributif de,Co-Faktor von
P6104,maintained by WikiProject,mantenido por el wikiproyecto,maintenu par le wikiprojet,betreut von WikiProjekt
P1072,readable file format,formatos de archivo legibles,format de fichier pouvant être lu,lesbare Dateiformate
P6099,clinical trial phase,fase de ensayo clínico,phase d'essai clinique,Studienphase
P5425,Han character in this lexeme,caracter Han en este lexema,sinogramme dans ce lexème,Han-Zeichen in diesem Lexem
P6259,epoch,época,époque,Epoche
P9234,supplement to,suplemento de,supplément de,Beilage
P9745,translation of,traducción de,traduction de,Übersetzung von
P1211,fuel system,sistema de alimentación,type d'alimentation en carburant,Kraftstoffversorgung
P4195,category for employees of the organization,categoría para empleados de la organización,catégorie pour les employés de l'organisation,Kategorie für Angestellte der Organisation
P2881,promoted,promovido,promu,Aufsteiger
P469,lakes on river,lagos y embalses en el curso de agua,lac sur le cours d'eau,See im Verlauf
P542,officially opened by,abierto oficialmente por,officiellement ouvert par,offiziell eröffnet von
P8739,prohibits,prohíbe,interdit,verbietet
P2318,debut participant,debutante,première participation,Debütteilnehmer
P2637,RARS rating,clasificación RSVR,classification RSVR,RSWR-Altersfreigabe
P4290,official app,aplicación oficial,application officielle,offizielle App
P2675,reply to,respuesta a,réponse à,Antwort auf
P3433,biological variant of,variante biológica de,variante biologique de,biologische Nebenform von
P6186,category for eponymous categories,categoría que contiene subcategorías epónimas,catégorie pour catégories éponymes,Kategorie für gleichnamige Kategorien
P275,copyright license,licencia,licence,Lizenz
P87,librettist,libretista,librettiste,Librettist
P1078,Valvetrain configuration,Sistema mecánico,configuration de la commande des soupapes,Ventiltrieb
P1363,points/goal scored by,puntos/goles marcados por,point/but marqué par,Punkt/Treffer erzielt durch
P768,electoral district,circunscripción electoral,circonscription électorale,Wahlbezirk
P1227,astronomical filter,filtro astronómico,filtre astronomique,astronomischer Filter
P1060,pathogen transmission process,proceso de transmisión del patógeno,processus de transmission pathogène,Krankheitserregerübertragungsprozess
P1068,instruction set,conjunto de instrucciones,jeu d'instructions,Befehlssatz
P358,discography,discografía,discographie,Diskografie
P84,architect,arquitecto,architecte,Architekt
P3496,teams classification by points,clasificación de equipos por puntos,classement par équipe aux points,Mannschaftsklassifikation nach Punkten
P6118,season ends,fin de la temporada,fin de la saison,Saisonende
P3985,supports programming language,lenguaje de programación soportado,langage de programmation supporté,unterstützte Programmiersprache
P2667,corresponding template,plantilla correspondiente,modèle correspondant à une propriété Wikidata,entsprechende Vorlage
P8810,parent (unspecified),padres,parent (non spécifié),Elternteil
P4733,produced sound,sonido producido,son émis,erzeugtes Geräusch
P2505,carries,permite el paso de,permet de faire passer,überführt
P1057,chromosome,cromosoma,chromosome,Chromosom
P2680,author of afterword,autor del epílogo,auteur de la postface,Autor des Nachworts
P5054,cabinet,gabinete,gouvernement,Kabinett
P744,asteroid family,familia de asteroides,famille d'astéroïdes,Asteroidenfamilie
P1080,from narrative universe,del universo de ficción,tiré de l'univers de fiction,aus narrativem Universum
P1875,represented by,representante,représenté par,repräsentiert von
P4788,storage device,dispositivo de almacenamiento,type de stockage utilisé,verwendeter Datenspeichertyp
P135,movement,movimiento,mouvement,Bewegung
P1210,supercharger,supercargador,système de suralimentation,Kompressor
P7500,comorbidity,comorbilidad,comorbidité,Komorbidität
P618,source of energy,fuente de energía,source d'énergie,Energiequelle
P923,medical examinations,exámenes posibles,examens possibles,medizinische Untersuchungen
P788,mushroom ecological type,tipo de ecología de la seta,type écologique de champignon,Lebensart des Pilzes
P2632,place of detention,lugar de encarcelamiento,lieu de détention,Haftort
P2935,connector,conector,connecteur,Anschluss
P1012,including,incluyendo,pris en compte,einschließlich
P4322,best sprinter classification,Clasificación de las metas volantes,classement du meilleur sprinteur,Sprintwertung
P171,parent taxon,taxón superior inmediato,taxon supérieur,übergeordnetes Taxon
P1547,depends on software,depende del software,dépend de,abhängig von
P5280,radical,radical,clé d'un sinogramme,Radikal (chinesisch)
P8032,victim,víctima,victime,Opfer
P272,production company,empresa productora,société de production,Produktionsgesellschaft
P1419,shape,forma,forme géométrique,Form
P5824,is retracted by,es retractado por,rétractation,ist zurückgezogen worden von
P2416,sports discipline competed in,disciplina deportiva,discipline sportive pratiquée en compétition,Sportdisziplin
P3828,wears,vestimenta,élément de parure,trägt (Kleidung)
P5389,permanent resident of,residente permanente de,résident permanent de,mit Niederlassungserlaubnis in
P4006,overrules,prevalece sobre,l'emporte sur,überstimmen
P708,diocese,diócesis,diocèse,Diözese
P1145,Lagrangian point,punto de Lagrange,point de Lagrange,Lagrange-Punkt
P69,educated at,educado en,scolarité,besuchte Bildungseinrichtung
P189,location of discovery,lugar de descubrimiento,lieu de découverte,Fundort
P3094,develops from,se desarrolla de,se développe de,entwickelt sich aus
P944,Code of nomenclature,código de nomenclatura,code de nomenclature,nomenklatorischer Code
P2825,via,vía,via,via
P4934,calculated from,calculado a partir de,calculé à partir de,berechnet aus
P2462,member of the deme,miembro del demo,membre du dème,Mitglied im Demos
P2937,parliamentary term,legislatura,législature,Legislaturperiode
P2828,corporate officer,funcionario de la corporación,cadre dirigeant,leitender Angestellter
P1657,MPAA film rating,clasificación MPAA,classification de film MPAA,MPAA-Altersempfehlung
P400,platform,plataforma,plateforme,Plattform
P4353,nominated by,nominado por,nommé à ce poste par,vorgeschlagen von
P690,space group,grupo espacial,groupe spatial,Raumgruppe
P3592,Saros cycle of eclipse,saros,saros,Saroszyklus
P681,cell component,componente celular,composant cellulaire,Zellkomponente
P425,field of this occupation,ámbito de la ocupación,domaine d'occupation,Betätigungsfeld des Berufes
P2061,aspect ratio (W:H),relación de aspecto,format d'image (L/H),Seitenverhältnis
P6364,official color,color oficial,couleur officielle,offizielle Farbe
P1789,chief operating officer,jefe de operaciones,directeur de l'exploitation,Chief Operating Officer
P524,temporal range end,fin del rango temporal,période de disparition,zeitliches Auftreten – Ende
P1049,worshipped by,venerado por,fait l'objet d'une vénération par,Gottheit von
P831,parent club,club principal,club parent,Mutterverein
P1881,list of characters,lista de personajes,liste des personnages,Liste der Charaktere
P2289,venous drainage,drenaje venoso,drainage veineux,venöse Abstrom
P2175,medical condition treated,condición médica tratada,maladie traitée,zur Behandlung von benutzt
P3512,means of locomotion,medio de locomoción,moyen de locomotion,Fortbewegungsweise
P418,"has seal, badge, or sigil",descripción del sello,description du sceau,Siegel (Beschreibung)
P3741,seed dispersal,dispersión de semillas,dissémination des graines,Samenausbreitung
P8701,has census,censo de la población,recensement de la population effectué,hat Volkszählung
P9929,madhhab,madhab,madhhab,Madhhab
P1731,Fach,especialización vocal,Fach,Stimmfach
P1903,volcanic explosivity index,índice de explosividad volcánica,indice d'explosivité volcanique,Vulkanexplosivitätsindex
P2353,statistical unit,unidad estadística,granularité,statistische Einheit
P1571,codomain,codominio,ensemble d'arrivée,Zielmenge
P972,catalog,catálogo,catalogue,Katalog
P3494,points classification,clasificación por puntos,classement par points,Punkte-Klassement
P3461,designated as terrorist by,considerado terrorista por,désigné comme terroriste par,als terroristisch eingestuft von
P688,encodes,codifica,synthètise,codiert
P1898,lowest note,nota más baja,note la plus basse,tiefste Note
P6116,chord progression,progresión armónica,progression d'accords,Akkordprogression
P523,temporal range start,inicio del rango temporal,période d'apparition,zeitliches Auftreten – Anfang
P1592,prosecutor,fiscal,procureur,Ankläger
P5051,towards,destino,destination,Endhaltestelle
P200,inflows,alimentación,alimentation,Zufluss
P1924,vaccine for,vacuna para,vaccin pour,Impfstoff für
P852,ESRB rating,clasificación ESRB,évaluation ESRB,ESRB-Altersfreigabe
P703,found in taxon,hallado en el taxón,trouvé dans le taxon,auffindbar in Taxon
P4954,may prevent,puede prevenir,peut prévenir,kann verhindern
P5816,state of conservation,estado de conservación,état de conservation,Erhaltungszustand
P4614,drainage basin,cuenca hidrográfica,bassin versant,Einzugsgebiet
P2308,class,clase,classe,Klasse
P9073,applicable 'stated in' value,valor «­­afirmado en» aplicable,valeur « affirmé dans » applicable,zugeordnetes „nachgewiesen in“-Datenobjekt
P3501,Christian liturgical rite,rito cristiano,rite catholique,katholischer Ritus
P2673,next crossing upstream,próximo cruce río arriba,précédent franchissement en amont,nächste Querung flussaufwärts
P1706,together with,junto con,avec,zusammen mit
P1318,proved by,probado por,prouvé ou démontré par,bewiesen durch
P2551,used metre,métrica usada,métrique utilisée,Metrum
P2578,studies,estudia,objet de la discipline,studiert
P812,academic major,especialización académica,principale spécialité d'étude,Hauptfach im Studium
P1887,vice-county,vicecondado,vice-comté,Vice-County
P8058,symbol of,símbolo de,symbole de,Symbol von
P8764,port calls,puerto de escala,port d'escale,Angelaufener Hafen
P4584,first appearance,primera aparición,première apparition,erstes Erscheinen
P1456,list of monuments,lista de monumentos,liste de biens patrimoniaux,Liste der Denkmale
P4446,reward program,programa de beneficios,programme de récompense,Bonusprogramm
