_id,label,alias
P9788,performed at,performance location
P31,instance of,is a/is an
P110,illustrator,illustrated by
P185,doctoral student,doctoral candidate
P1576,lifestyle,diet
P1774,workshop of,studio of
P9237,reissue of,re-release
P915,filming location,filmed at
P193,main building contractor,constructed by
P945,allegiance,loyalty
P4647,location of first performance,first performed at
P1079,launch contractor,launch service provider
P1399,convicted of,found guilty of
P512,academic degree,diploma
P4220,order of battle,battle formation
P735,given name,first name
P126,maintained by,administered by
P1552,has quality,has property
P5009,complies with,conforms to
P423,shooting handedness,dominant hand shooting
P7782,category for ship name,Commons category for ship name
P176,manufacturer,made by
P1383,contains settlement,populated places within
P2849,produced by,secreted by
P6569,taxon especially protected in area,taxa especially protected in area
P6758,supported sports team, is a fan of team
P5817,state of use,use status
P5059,modified version of,modification of
P655,translator,is translated by
P912,has facility,has amenity
P8045,organized response related to outbreak,organised response related to outbreak
P3014,laws applied,legal base
P8031,perpetrator,criminal
P4379,youth wing,youth organisation
P4101,dissertation submitted to,thesis submitted to
P2360,intended public,for audience of
P547,commemorates,in honor of
P7604,supervised by,is supervisee of
P793,significant event,notable event
P880,CPU,processor
P2408,set in period,takes place in time
P2239,first aid measures,first aid response
P3032,adjacent building,located next to
P1411,nominated for,nominee for
P1596,penalty,punishment
P3373,sibling,is sibling of
P5030,talk show guest,participant in talk show
P2341,indigenous to,native to
P6106,uses capitalization for,capitalizes
P1027,conferred by,awarded by
P941,inspired by,inspiration
P1877,after a work by,inspiring artist
P4969,derivative work,is the basis for
P520,armament,armed with
P943,programmer,software developer
P1028,donated by,gift of
P3452,inferred from,implied by
P40,child,offspring
P3113,does not have part,lacks
P1478,has immediate cause,immediate effect of
P53,family,house
P859,sponsor,sponsored by
P2964,right to vote,suffrage
P98,editor,edited by
P127,owned by,belongs to
P3148,repeals,cancels
P6153,research site,location of research
P4878,symbolizes,symbol for
P17,country,sovereign state
P6477,does not have quality,lacks quality
P5072,presented in,screened at
P3919,contributed to creative work,contributor to
P9883,created for,made for
P19,place of birth,born at
P286,head coach,coached by
P501,enclave within,enclosed by
P4675,appears in the form of,takes the form of
P3179,territory overlaps,partially contains territorial extent
P1429,has pet,owns pet
P3938,named by,coined by
P1591,defendant,accused
P1703,is pollinated by,pollinator
P2579,studied by,researched by
P371,presenter,hosted by
P184,doctoral advisor,doctoral supervisor
P834,train depot,rail yard
P9899,music created for,music composed for
P2682,is verso of,Backside
P5004,in opposition to,opposes
P725,voice actor,voiced by
P1620,plaintiff,claimant
P460,said to be the same as,may be equal to
P6840,student organization of,student organisation of
P459,determination method,determined by
P1299,depicted by,portrayed by
P749,parent organization,subsidiary of
P1891,signatory,signed by
P360,is a list of,lists
P2842,place of marriage,married at
P734,family name,surname
P1269,facet of,aspect of
P1640,curator,curated by
P366,has use,purpose
P1046,discovery method,detection method
P1441,present in work,appears in
P676,lyrics by,lyricist
P514,interleaves with,interbedded with
P826,tonality,in key
P1652,referee,umpire
P4224,category contains,is set of
P2789,connects with,attaches to
P1542,has effect,causes
P1589,lowest point,deepest point
P924,possible treatment,therapy
P1595,charge,charged with
P1196,manner of death,circumstance of death
P3095,practiced by,done by
P9660,not found in,not attested in
P1536,immediate cause of,has immediate effect
P1535,used by,played by
P1479,has contributing factor,indirectly caused by
P6977,review of,reviews
P974,tributary,has river inflow
P669,located on street or square,is on
P8001,endorsed by,supported by
P8411,set in environment,takes place in
P748,appointed by,named by
P8738,permits,does not prohibit
P1029,crew member(s),member of crew of
P1283,filmography,list of films the person contributed to
P872,printed by,printer
P4967,prerequisite,requirement
P552,handedness,dominant hand
P1557,manifestation of,realization of
P789,edibility,palatiblity
P4032,reviewed by,examined by
P194,legislative body,council
P144,based on,derived from
P50,author,written by
P1268,represents,stands for
P5021,assessment,examination
P1346,winner,won by
P2384,statement describes,statement about
P248,stated in,source of claim
P887,based on heuristic,heuristically based on
P9192,sensors,detector
P6291,advertises,promotes
P1074,fictional analog of,fictional version of
P1593,defender,attorney
P4791,commanded by,has commander
P1303,instrument,player of
P175,performer,played by
P161,cast member,starring
P937,work location,working at
P8956,compatible with,supports
P610,highest point,zenith
P208,executive body,executive branch
P751,introduced feature,new feature
P8670,character designer,character modeler
P398,child astronomical body,orbited by
P807,separated from,seceded from
P737,influenced by,has influence
P1830,owner of,owns
P790,approved by,erected by
P162,producer,produced by
P86,composer,composed by
P7047,enemy of,opponent of
P3822,rules for classification,classification rules
P8627,closing time,closes at
P2770,source of income,income source
P4794,season starts,season begins
