_id,alias,label
P6563,"KPI, measured by, indicator",key performance indicator
P1435,"designation, listing, listed status, protected status, protection, legal protection, heritage designation, heritage status",heritage designation
P689,"affects, afflicts, condition endemic in",afflicts
P2502,classification of cycling race,classification of race
P3402,"CNC film rating, CNC movie rating, CNC rating",CNC film rating (Romania)
P1855,"example of property, example of Wikidata property, property example, Wikidata property sample, Example item for this property, property sample, example, for example, e.g., eg",Wikidata property example
P2614,WHS criteria,World Heritage criteria
P38,"base currency, used money",currency
P183,"endemic in, native to, native in",endemic to
P167,"replaced by (structure), succeeded by (structure)",structure replaced by
P163,flag description,flag
P4805,"visagist, makeup artist",make-up artist
P556,crystal structure,crystal system
P1382,"partially overlaps, partial concurrency, concurrent with, concurrency, overlapping with, partially include, partially in, coincident with, part of (partially), overlaps, overlaps with",partially coincident with
P4988,"method, methodology, estimation method",test method
P6948,"GPU, PPU",video system
P2992,"Software QA, QA",software quality assurance
P2152,"antiparticle of, anti-particle",antiparticle
P2438,narrated by,narrator
P282,"alphabet, script",writing system
P291,"release region, publication region, published in (place), publication place, publication location, location of publication, released in, publication city, printed in, printed at",place of publication
P6275,performance rights organization,copyright representative
P20,"deathplace, died in, death place, POD, location of death, death location, killed in",place of death
P463,"membership, band member of, be member of, member of musical group, in musical group",member of
P3680,"according to, supported by, per, claimed by, stated by, statement is supported by",statement supported by
P5202,"arranger, remixed by, arranged by",adapted by
P2184,"timeline of topic, chronology of topic",history of topic
P3027,"start opening season, start of opening season",open period from
P411,"sainthood status, canonisation status",canonization status
P450,cosmonaut mission,astronaut mission
P2813,"mouth piece, publication, publishes, manifest, has mouthpiece, official media, house organ, propaganda arm, official publication, official newspaper, mouthpiece, house journal, organisation publication, organization publication",house publication
P1455,"bibliography, catalog of works, catalogue of works",list of works
P1414,"default user interface, user interface, GUI toolkit, GUI framework, widget framework, widget toolkit, UI toolkit, UI framework",GUI toolkit or framework
P3712,"objective, goal, desired result, desired outcome, aim, end, purpose, intention, to support, stated goal, mission, aim to",objective of project or action
P1420,"this taxon has as synonym, synonym of this name, taxonomic synonym",taxon synonym
P2545,Bowling,bowling style
P2361,"internet service provider, ISP",online service
P6606,"study for, design for, preparatory work for, draft for, first version of",study or design for
P5522,block in Unicode,Unicode block
P9888,New Zealand Threat Classification System conservation status,NZTCS conservation status
P2882,"competitor relegated, team relegated, player relegated, relegation",relegated
P2634,"posed, model, modeled after",sitter
P1625,"to the tune of, TTTO, uses melody, has tune, uses tune",has melody
P5096,"served aboard, crewmember of, ship appointments",member of the crew of
P1990,"animals housed, animals species kept, resident animals, plant taxon in collection, resident animal species, species holdings, animals at zoo, animals in aquarium, trees in arboretum, plant in herborium, plant taxon in botanical garden, rose varity in rose garden, animals kept, captive animals",species kept
P6657,Canadian Home Video Rating System Classification,CHVRS Classification
P5940,"narrative continued in, sequel, story continued in, prequel",plot expanded in
P6954,"publication access status, open access status, article access status, collection access status, archive access status, access status",online access status
P5278,"gender inflection of family name, family name for other gender",gender inflection of surname
P136,"music genre, film genre, artistic genre, literary genre, kind of music, type of film, genre of music, type of music",genre
P452,"field of action, field of exercise, sector, branch, economic branch",industry
P4770,"is a hydrate of, is a hydrated form of, hydrate of",hydrated form of
P119,"burial place, resting place, place of grave, buried in, grave at, location of burial, tomb, interment, place of interment, buried at, burial location, interment place, interment location, entombed at, interred at, ashes scattered at, remains at, cemetery",place of burial
P186,"medium, made from, constructed from, constructed out of, construction material, media, built from, built out of, manufactured from, manufactured out of, crafted from, crafted out of, formed from, formed out of, made of, ore, source material, raw material, feedstock, reactant, ingredient, ingredients, made in, be made in, material used",made from material
P1462,"standards organisation, standards setting organization, standards setting organisation, standards developing organization, standards developing organisation, standards group, standardized by, standardised by",standards body
P4510,"describes project that uses, uses",describes a project that uses
P449,"original channel, channel, TV channel, radio network, network, television channel, radio station, original air channel, broadcast on, first air channel, original network, aired on, airs on",original broadcaster
P6001,"subgroup, valid to people",applies to people
P8989,view of category,category for the view of the item
P2872,"visitor center, contact station, tourist office",visitor centre
P8875,indexed in bibliographic database,indexed in bibliographic review
P7937,"literary form, artistic form, album type, album format, creative format, creative form, format of creative work, physical format, painted format (landscape, portrait, tondo), song type",form of creative work
P6872,"written for, writes for, wrote for, is writing for, writer for",has written for
P1884,"hair colour, color of hair, colour of hair, haircolour",hair color
P3018,"protected area location, located in national park, located in state park, located in provincial park, located in territorial park, located in conservation area, located in nature reserve, located in natural reserve, located in nature preserve, located in nature conservation area, located in wildlife refuge, located in wildlife sanctuary, located in biosphere reserve, located in bioreserve, located in ecological protection area, national park location, provincial park location, state park location",located in protected area
P483,"studio, recording studio, recording venue",recorded at studio or venue
P1686,"for their work on, nominated for work, awarded for work, citation for award",for work
P4241,"quarter, semester, season of year, refine time, specific time, time of year, hour, local time, date refinement",refine date
P3975,"general secretary, perpetual secretary, leader",secretary general
P1050,"disability, ailment, health problem, disorder, illness, disease, paralympic disability, health condition, suffers from, health issue, condition, suffer from, sickness",medical condition
P2286,artery,arterial supply
P140,"religious affiliation, faith, life stance, denomination, follower of religion, follows religion, has religion",religion or world view
P155,"succeeds to, previous is, before was, predecessor, preceded by, prequel is, sequel of, split from, comes after, successor to, succeeds, prev, previous element, is after",follows
P814,"IUCN Management Category, IUCN category",IUCN protected areas category
P59,part of constellation,constellation
P1201,"payload deliverer, upper stage",space tug
P8138,statistical territorial entity,located in the statistical territorial entity
P1434,"describes fictional universe, fictional universe described, universe described, universe featured, set in fictional universe, describes the fictional universe, continuity",takes place in fictional universe
P1923,teams,participating team
P7867,"Commons maps category, maps category, map category",category for maps
P8933,view from category,category for the view from the item
P930,electrification type,type of electrification
P9344,"has graphic element, graphical element, graphic element, graphical element added, added graphical element, added graphic element",has graphical element
P1546,tourism slogan,motto
P1792,category for people associated with this place,category of associated people
P828,"cause, has causes, has underlying cause, underlying cause, ultimate cause, ultimate causes, initial cause, effect of, outcome of, result of, has reason, reason, caused by, implied by, because, due to, originated due to, had cause, had reason, had underlying cause, why",has cause
P149,"style of architecture, architecture",architectural style
P3803,"film format, film gauge, film size",original film format
P509,"method of murder, death cause, die from, murder method, die of, died of",cause of death
P967,guest of honour,guest of honor
P2925,"saint or deity domain, domain of deity or saint, is patron saint of, patron saint of, god of, goddess of, patron of, guardian of, angel of, sacred domain, divine patron",domain of saint or deity
P1639,pendant to,pendant of
P3026,"days not open, except, closed days",closed on
P3081,structures damaged,damaged
P1431,showrunner,executive producer
P111,"measure of, quantity, physical quantity",measured physical quantity
P4900,"broader concept in this hierarchy, parent concept, is a child concept of, nearest external upward match, broader term, nearest matched item above this one in external hierarchy, wider concept, wider term",broader concept
P1013,"basis, with respect to, by, on the basis of, according to, with reference to, respectively to, criteria used, based on",criterion used
P7469,"direction, alignment, faces, facing, face",orientation
P7561,"Interior category, Commons category for the interior of the item",category for the interior of the item
P8402,od portal,open data portal
P5998,distributary channel,distributary
P538,"fracture, mineral fracture, crystal fracture",fracturing
P8570,"front matter, back matter, back and front matter, preface, foreword, table of contents, glossary of this book, index of this book, addendum, appendix, title page, bibliography of this book, epilogue, abbreviations table, postface, acknowledgment, postscript, introduction in this book, afterword, colophon, prologue",front and back matter
P4968,qualification,relevant qualification
P179,"part of series, series, listed in, collection, issue of",part of the series
P4443,card association,card network
P35,"president, king, queen, emperor, monarch, state headed by, governor, leader, chief of state",head of state
P2715,election,elected in
P263,"lives in, lives at, resides at, home, domicile, presidential palace, presidential mansion, executive residence, executive mansion, gubernatorial mansion, state house, palace",official residence
P6530,"used to investigate, used to study, used to research, used for researching, used for studying, used for investigating, has role in modelling",has role in modeling
P516,"engine, prime mover, drive, powerplant, propulsion, power source",powered by
P1142,"has political ideology, official political ideology, supports political ideology, ideology, political view, supports ideology, official ideology, political viewpoint, editorial viewpoint",political ideology
P8345,media mix,media franchise
P2700,communication protocol,protocol
P2827,"color of the flower, colour of the flower, flower colour",flower color
P2962,chess title,title of chess person
P9241,demography of topic,demographics of topic
P2650,"area of research, field of study, field of research, interests, vested interest, lobbies for, research interests, research area, field of interest, research topic",interested in
P4688,physiographic unit,geomorphological unit
P2159,"algorithm for, problem solved, is an algorithm for, calculates solution to, solves",computes solution to
P6533,"front suspension, suspension (front)",type of front suspension
P2568,revoked by,repealed by
P3216,BARS,ClassInd rating
P4100,"party, faction",parliamentary group
P495,"place of origin, comes from, CoO, originates from, origin country",country of origin
P2670,"has part(s) that are instances of, has parts(P527): instances(P31)of, parts of(P361) subject are some, is built/made with example(s) of, is constructed with members of, composition has pieces that are, of subcomponents whose class is, has part(s) forming subclass of, constitutent(s) are classified as, is assemblage with parts that are, some parts form subclass(P279)of, has part of the class, has parts of class, contains parts of the class",has part or parts of the class
P1056,"material produced, produces, manufactures, makes, has product, product, maker of, manufacturer of, producer of, results in, creates, output, products, work produced, commodity, they make",product or material produced
P5053,performer of the fastest lap,fastest lap
P301,"main article in category, main category topic, main topic of category, category's main article, article with category's topic, page with category's topic, cmt, item for this category, topic of category",category's main topic
P2758,"Commission de classification des œuvres cinématographiques film rating, film classification category (CNC), CNC film rating, CNC movie rating, CNC rating",CNC film rating (France)
P8115,"eligible recipient for award, type of recipient who is eligible for this award",eligible recipient
P2348,"era, historic era, epoch, historical period, sports season, theatre season, legislative period, historic period",time period
P530,"diplomatic relations, ambassadorial relations, foreign relations, foreign relation, diplomatic relation, ambassadorial relation, political relations, political relation",diplomatic relation
P3428,CAEC film rating,INCAA film rating
P3602,"candidate in election, election candidacy, ran in election, running in election, candidate in",candidacy in election
P3610,zone,fare zone
P3033,software package,package management system
P6803,"taxa found at location, taxa present in location, taxon present in location",taxon found at location
P6819,"scribe, copist",calligrapher
P1412,"language spoken, languages of expression, languages signed, language signed, language written, language read, language used, language, speaks language, writes language, signs language, uses language, wrote language, spoke language, used language, signed language, languages spoken, written, or signed, language(s) spoken, written or signed, languages spoken, language of expression","languages spoken, written or signed"
P277,"language, written in",programming language
P1308,"incumbent, position holder, noble title holder, office holder",officeholder
P750,distributor,distributed by
P4147,"deprotonated form of, has conjugate acid",conjugate acid
P453,"role, as, plays, acting role",character role
P840,"setting location, narrative set in, location of narrative, set in location, takes place in, playing in, setting of work, work set in, setting, setting place, set in, place set in, place of setting",narrative location
P195,"art collection, museum collection, archives, archival holdings, GLAM, bibliographic collection, editorial collection",collection
P5832,"political bloc, political alliance, electoral block, electoral alliance, electoral list, alliance, coalition",political coalition
P3437,"cargo carried, passengers transported, cargo transported, payload",people or cargo transported
P287,"has designer, designer",designed by
P364,"original language, language of the original work, created on language, language",original language of film or TV show
P3320,member of the board of directors,board member
P7253,colour produced,color produced
P4543,"has ingredient, listed ingredient, ingredient components",has listed ingredient
P8874,OFNAA film rating,Hong Kong film rating
P88,"client, commissioner, made for, built for, developer, orderer",commissioned by
P1885,"is cathedral of, is cathedral of diocese",cathedral
P9810,"mix of, remixes, mashup of, mashes up, chops and screws",remix of
P427,"type species, type genus, type, type taxon",taxonomic type
P1423,"infobox topic, topic of template, module has topic, template's main topic",template has topic
P1011,"except, with the exception of, does not apply to part, not including",excluding
P1376,"county seat of, county seat for, administrative seat of, seat of, parish seat of, is capital of",capital of
P4586,"font house, foundry",type foundry
P5967,disambiguating reference vocabulary,reference vocabulary
P1995,"medical speciality, medical specialty, medical field",health specialty
P4185,has attribute,iconographic symbol
P415,"format, genre, radio station format",radio format
P3833,"part of diaspora, diaspora of",diaspora
P2567,"has addendum, modified by, changed by, corrected by, updated by, revised by, altered by",amended by
P654,DRTL,direction relative to location
P1310,"disputed by, rejected by, opposed by, refused by, denied by, controversy stated by",statement disputed by
P1444,"destination, to, end of journey, finish, journey destination, ending at, stopping at, end point (journey)",destination point
P7174,"school cohort, cohort, class",school class
P4330,"holds, surrounds, encloses, wraps, contents, has contents, stores",contains
P1032,"DRM system, copy protection system, copy protection mechanism, DRM mechanism",Digital Rights Management system
P803,"chair, endowed chair, named professorship, endowed professorship, named chair, professorship position",professorship
P664,"organiser, event producer, organising body, organizing body, organized by, organised by, promoter, presenter",organizer
P177,"bridge over, tunnel under, over, under, through, spanning, spans",crosses
P118,"division, sports league",league
P800,"major works, famous works, significant works, notable books, famous books, representative work, literary works, bibliography, work, works, known for, famous for, significance, artwork, creator of, representative of artwork type, they wrote, they designed, they discovered, they invented, they created",notable work
P2546,helper of,sidekick of
P1264,"applies to period, time period, period of validity, period of time, period of applicability",valid in period
P27,"subject of (country), citizenship, citizen of, national of, (legal) nationality",country of citizenship
P1660,"index case, patient zero, primary case",has index case
P2679,"foreword by, author of introduction, introduction by, preface by, author of preface",author of foreword
P913,symbol,notation
P2283,"makes use of, item used, using, instrument played, wields, used, made use of, wielded",uses
P2652,collaboration with,partnership with
P413,"fielding position, specialism, position (on team), speciality, player position",position played on team / speciality
P1534,"cause of ending, ended by, end reason, reason for end",end cause
P2079,"fabrication process, manufacturing process, production process, manufacturing method, production method, made by, assembly method, technique used, by method, method used, process used, technology used, by means, creation method, method of fabrication, method of assembly, assembly process, produced by, produced using, method of preparation, preparation method, method of cooking, cooking method, obtained by",fabrication method
P166,"prize received, awards, honorary title, recognition title, award, honours, honors, medals, awarded, award won, prize awarded, awards received, win, winner of",award received
P1605,natural reservoir,has natural reservoir
P559,"termini, end point, terminating connection, trailhead, terminuses, train station at the end of the line",terminus
P8852,"mustache, beard, face hair, moustache",facial hair
P1537,indirectly caused,contributing factor of
P6104,"WikiProject, Wikidata project, Wikimedia project",maintained by WikiProject
P1072,"reads file format, file format readable, can read",readable file format
P5425,"Chinese character in this lexeme, hanzi in this lexeme, kanji in this lexeme, hanja in this lexeme",Han character in this lexeme
P9234,"supplements, extends, is supplement to",supplement to
P3448,"stepfather, step father, step-father, stepmother, step-mother, step mother, step parent, step-parent",stepparent
P4195,category for employees of the organisation,category for employees of the organization
P2881,"competitor promoted, team promoted, player promoted, promotion",promoted
P469,reservoir on this river,lakes on river
P8739,does not permit,prohibits
P2318,"debut country, first-time participant, first appearance for",debut participant
P2637,RSVR rating,RARS rating
P4290,"official application, official mobile application",official app
P2675,"replies to, response to, responds to, in reply to, in response to, comment on",reply to
P6186,container of eponymous categories,category for eponymous categories
P275,"licence, content license, content licence, copyright licence, license, software license",copyright license
P8746,checkout time,check-out time
P87,"libretto by, book by",librettist
P1363,"points scored by, goal scored by, scored by, scorer",points/goal scored by
P768,"constituency, ward, riding, electoral area, electorate, seat",electoral district
P2860,"bibliographic citation, citation",cites work
P1227,"wavelength band, colour filter, filter",astronomical filter
P1060,"transmitted by, transmission process",pathogen transmission process
P1068,"ISA, architecture",instruction set
P358,"discography link, recording catalog",discography
P84,architecture firm,architect
P2667,"template corresponding property, property template",corresponding template
P8810,"parent, parents",parent (unspecified)
P4733,"sound emitted, call, makes call, makes sound",produced sound
P150,"contains, divides into, divided into, has towns, has shires, has cities, has rural cities, has municipalities, has wards, has local government areas, has districts, has boroughs, subdivided into, has counties, has administrative divisions, has arrondissements, has villages, has regions, has states, has members, has countries",contains administrative territorial entity
P4628,virus group,ICTV virus genome composition
P1057,on chromosome,chromosome
P2680,afterword by,author of afterword
P4428,"implements, is an implementation of, is implementation of",implementation of
P1080,"from universe, universe, featured in universe, appears in universe, fictional universe where entity is from, from mythology, mythology, continuity, in continuity, cycle, in cycle, in world of, story cycle, from narrative, from fictional universe, narrative universe",from narrative universe
P1875,"agent, representative, manager, managing agent, rep, talent agency, managed by",represented by
P8030,"unit size, military unit size designation",size designation
P461,"inverse, opposite, is the opposite of, inverse of, contrasted to, contrast of, is opposite of",opposite of
P4788,"uses data storage type, data storage type, storage type, memory card",storage device
P135,"school, trend, music scene, artistic movement, philosophical movement, scientific movement, literary movement, artistic school, art movement",movement
P598,commands,commander of (DEPRECATED)
P9793,"set list, performances, performance list, works performed, songs performed, music performed, concert program",setlist
P618,"fuel type, energy source, nutrient, power source, source of power",source of energy
P923,"possible examinations, examinations",medical examinations
P2632,"prison, jail, gaol, imprisoned in, in jail, penitentiary, detention place, detained at, incarcerated at, forced exile to, place of internment, internment at, internment place, place of imprisonment, imprisoned at, jailed at, gaoled in, gaoled at, penal, place of incarceration, place of confinemant, inmate of",place of detention
P2935,"ports, has connector, electrical connector",connector
P131,"located in the administrative unit, located in administrative unit, is in administrative unit, is located in, is in the state of, is in the province of, is in the county of, is in the district of, is in the department of, is in the region of, is in the borough of, is in the city of, is in the town of, is in the village of, is in the municipality of, is in the territory of, is in the prefecture of, is in the voivodeship of, is in the Indian reservation of, is in the Indian reserve of, is in the ward of, is in the administrative region of, is in the settlement of, is in the local government area of, is in the rural city of, is in the shire of, happens in, is in the commune of, in administrative unit, in, is in the administrative unit, administrative territorial entity, city, town, state, Indian reservation, in the administrative unit, locality, is in the parish of, location (administrative territorial entity), is in the principal area of, based in, located in the administrative territorial entity, located in the territorial entity, region, is in the arrondissement of, administrative territory, territory",located in the administrative territorial entity
P1012,"with, inclusive",including
P171,"taxon parent, higher taxon",parent taxon
P9926,template applies category,template populates category
P825,"dedication, tribute to, dedicatee",dedicated to
P1547,"dependency, software dependency, interfaces with, requires, runs on, software framework, has dependency, depends on, has software dependency, requires software",depends on software
P159,"head office location, HQ, garrison, admin HQ, seat, principle office, headquarters, head quarters, HQ location, based in, location of headquarters",headquarters location
P8032,"crime victim, murder victim, shooting victim, casualty, torture victim, kidnapping victim, sexual abuse victim, war crime victim, victims, assassination victim, terrorist victim",victim
P272,"film studio, studio, motion picture studio, movie studio, production house, theatre company, theater company, theatrical troupe, ballet company, broadcasting company, produced by (company), producer (company)",production company
P1419,form factor,shape
P5824,retracted by,is retracted by
P2416,"sport disciplines competed in, sport discipline competed in, sport discipline, sports discipline, sporting event, event in sports, sports event, sports disciplines competed in, discipline of sport, sport event",sports discipline competed in
P3828,"clothing, garment, accessory, wore, outfit, wearing, uniform, fashion accessories",wears
P5389,"PR, landed immigrant of",permanent resident of
P4006,overruled,overrules
P708,"bishopric, archdiocese, archbishopric",diocese
P1145,"libration point, Lagrange point, L-point",Lagrangian point
P404,"mode, gameplay",game mode
P488,"leader, headed by, chairwoman, president, chair, chairman, dean",chairperson
P69,"alma mater, education, alumni of, alumna of, college attended, university attended, school attended, studied at, graduate of, graduated from, faculty, place of education, alumnus of, attended, went to school at, schooled at, attended school at, schooling place, education place",educated at
P189,"findspot, location of discovered object, discovery place, place of discovery, discovered at:, find location, find spot, found in, site of discovery",location of discovery
P3094,"developed from, antecedent anatomical structure, evolves from, evolved from",develops from
P2825,"journey via, intermediate point, waystation, routing point, route via, calling at, called at, stopover, journey stopover, calling point",via
P4934,computed from,calculated from
P2462,"of the deme, deme",member of the deme
P2937,legislative term,parliamentary term
P2828,executive officer,corporate officer
P1416,"affiliated with, sister society, affiliated to",affiliation
P2094,"class for competition, qualification class, qualifies for, compclass, weight class, disability sport classifications, rated at",competition class
P180,"depiction of, painting of, motif, portrait of, landscape of, represents, portrays, subject, depicting, pictures, shows, show of, plot, resembles, displays",depicts
P9047,type of archaeological site,archaeological site of
P451,"girlfriend, boyfriend, lover, cohabitant, partner, domestic partner, significant other, enbyfriend, sex partner, romantic partner, life partner, partners, is partner of, is the partner of, SO, partner of, posslq",unmarried partner
P1657,Motion Picture Association of America film rating,MPAA film rating
P400,"platforms, computing platform, game platform, environment, runtime, published on, hardware",platform
P197,"next station, previous station, next stop, neighbouring station",adjacent station
P681,"subcellular localization, present in the cell component",cell component
P425,"profession's field, activity corresponding to this occupation, field of this profession, practices, practice, field of occupation, field of profession, works in",field of this occupation
P2061,"image aspect ratio, ratio, aspect ratio",aspect ratio (W:H)
P6364,"official colors, signature color, signature colors",official color
P8786,"has museum, associated heritage entity",dedicated heritage entity
P1789,COO,chief operating officer
P802,"students, teacher of, pupil, pupils, disciple, disciples, teacher to",student
P1049,deity of,worshipped by
P831,"parent team, major league affiliate, affiliate of",parent club
P2289,"vein, venous return",venous drainage
P2175,"disease treated, treats, treats medical condition, treats disease, capable of inhibiting or preventing pathological process",medical condition treated
P3512,"locomotion, locomotion method",means of locomotion
P5475,"variant Chinese character, variant character, simplified character, traditional character, Z-variant",CJKV variant character
P9161,dissertation committee member,thesis committee member
P4843,development,development of anatomical structure
P1336,"claimed by, sovereignty claimed by, territorial claim by",territory claimed by
P1066,"teacher, professor, pupil of, supervisor, academic supervisor, disciple of, studied under, master, mentor, advisor, tutor, apprentice of, degree advisor, degree supervisor, thesis advisor, master's thesis advisor, master's supervisor, master's advisor",student of
P418,"seal, seal description","has seal, badge, or sigil"
P121,"fleet, aircraft in fleet, aircraft operated, equipment operated, facility operated, service operated, operator of, operated, operates, eq, acop, aircraft carried, item used, uses item, runs, controls",item operated
P156,"continued as, prequel of, succeded by, next is, precedes, sequel is, successor, preceeds, comes before, next, next element, then",followed by
P61,"inventor, discoverer, inventor or discoverer, developer, coined, first described, invented by, created by, invented, discovered by, developed by, introduced by, devised by",discoverer or inventor
P8701,has human population census,has census
P9929,"madhab, mazhab, school of thought",madhhab
P1731,vocal specialization,Fach
P1343,"described in source, written about in, entry, subject of, described by encyclopedia, described by reference work, described by biography, reviewed in, source of item, described by obituary, mentioned in news article",described by source
P1903,VEI,volcanic explosivity index
P2353,unit,statistical unit
P1571,"range, function codomain, codomain of a function",codomain
P972,"catalogue, registry, exhibition catalogue",catalog
P2375,"superpartner, has sparticle, sparticle, has supersymmetric particle, supersymmetric particle",has superpartner
P47,"bordered by, adjacent to, next to, border, borders clockwise",shares border with
P39,"political office held, political seat, public office, office held, position occupied, holds position, function, held position",position held
P3461,"designated as terrorist group by, designated as terrorist organization by",designated as terrorist by
P688,codes for,encodes
P6116,changes,chord progression
P5051,"destination, terminus, termini, in the direction of, terminating station, last stop, final station",towards
P276,"moveable object location, located in, event location, venue, is in, location of item, place held, based in, neighborhood, region, in, located, locality, locale, from",location
P200,"inflow, inflows, lake inflow, river inflows",inflows
P1924,target disease,vaccine for
P852,"Entertainment Software Rating Board rating, ESRB",ESRB rating
P703,"found in species, present in taxon",found in taxon
P5816,conservation status,state of conservation
P2210,"from, compared to, in relation to, with respect to, compared object, compared with",relative to
P4614,"river basin, water basin, catchment area, river basin district, watershed",drainage basin
P2308,type,class
P9073,"applicable stated in value, applicable ""stated in"" value, applicable P248 value, corresponding P248 value",applicable 'stated in' value
P3501,"Catholic liturgical rite, Christian rite, Catholic rite",Christian liturgical rite
P2673,upstream crossing adjacent,next crossing upstream
P1706,"shared with, award shared with, tied with, featuring, feat., accompanied by, with, roommate, room mate",together with
P1318,"proven by, proof by, author of proof",proved by
P1327,"collaborator, professional partner, sports partner, sport partner, partner in sports, team mate, team-mate, work partner, business partner, partnership with, partnered with, partner in business, writing partner, colleague",partner in business or sport
P2551,"metre used, used meter, meter used, scansion",used metre
P2578,"learning what?, working on what?, is a study of, academic field for, scholarly field for, study of, research, researches",studies
P5125,outline,Wikimedia outline
P138,"eponym, named for, namesake, etymology, toponym, name after, named in honor of, linked with",named after
P812,"major, academic field, academic subject, subject, field of study, studied",academic major
P201,"outflows, outflow",lake outflow
P1887,"Watsonian vice-county, Praeger vice-county, vice county",vice-county
